origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,167,2,2,0,0,0,4,9,12,23,15,16,5,10,8,6,4,8,9,10,10,10,2,2,0,1,154,0,0,0,0,0,2,2,3,9,8,16,6,6,5,12,11,10,11,13,10,13,9,5,3
2,288,1,0,2,0,0,5,12,27,19,14,19,14,18,16,19,20,28,17,17,14,13,7,6,0,2,302,0,3,1,0,0,1,6,8,14,13,12,17,26,12,21,25,23,27,30,24,11,16,9,2
3,387,2,0,1,1,3,6,9,13,26,15,15,28,25,20,26,26,30,40,23,29,18,21,9,1,3,384,0,4,0,1,0,5,7,19,29,20,31,26,30,19,21,20,21,28,31,20,22,15,8,6
4,21,1,0,1,0,0,0,1,0,1,3,2,1,1,0,4,0,1,1,2,0,1,1,0,0,4,19,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,3,2,2,1,1,0,1,1,0
5,57,0,0,0,0,0,4,2,3,2,2,3,4,6,4,1,6,2,6,4,3,5,0,0,0,5,61,0,0,1,0,1,0,4,1,1,5,5,4,2,3,6,1,5,5,7,2,2,3,1,1
6,25,0,0,0,0,0,0,0,1,4,0,2,4,1,2,2,1,1,2,2,2,1,0,0,0,6,23,0,0,0,0,0,1,1,2,0,2,2,2,2,3,1,1,1,1,1,0,1,1,1,0
7,27,0,0,0,0,0,1,1,3,4,0,2,2,2,1,0,2,2,0,2,0,0,3,2,0,7,25,0,0,0,0,0,0,1,0,1,0,1,0,2,3,3,3,1,2,3,4,1,0,0,0
8,119,1,2,2,0,0,2,1,3,1,6,6,7,10,9,5,7,5,12,12,8,7,7,5,1,8,138,0,1,0,0,0,0,3,3,8,10,5,9,11,5,8,8,9,14,12,10,8,7,4,3
9,29,0,0,0,0,1,1,1,3,2,1,3,3,0,2,4,1,2,1,0,2,0,0,2,0,9,28,0,0,0,0,0,2,0,1,3,3,1,3,3,1,1,1,0,1,4,2,0,1,1,0
11,33,0,0,0,0,0,0,2,2,4,1,3,4,2,4,1,2,1,2,2,0,2,1,0,0,11,37,0,0,0,0,0,0,1,0,3,4,0,1,5,2,1,4,2,4,1,3,3,2,1,0
12,157,0,0,1,0,2,5,22,14,13,10,7,7,6,10,8,8,8,15,6,0,5,2,7,1,12,146,0,0,0,0,0,0,3,6,6,6,7,7,9,3,13,9,14,13,16,12,8,5,5,3
13,239,0,0,0,0,1,8,12,18,26,18,20,13,15,13,4,9,12,17,15,17,11,3,5,2,13,242,0,0,1,1,0,1,3,5,9,12,12,8,7,15,16,16,21,25,27,17,14,14,8,9
14,27,0,0,0,0,0,1,0,1,2,1,1,2,2,0,5,2,2,2,4,1,1,0,0,0,14,28,0,0,0,0,0,0,1,0,1,2,2,1,2,1,1,3,2,2,3,2,1,0,2,2
15,11,0,0,0,0,0,1,1,0,0,1,1,2,0,1,1,0,1,1,0,0,1,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,1,1,0,1,0,0
16,15,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,2,2,0,1,2,0,1,16,14,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,2,0,1,1,2,0,2,0,0
17,455,1,1,0,0,0,3,3,9,11,18,23,18,30,39,27,39,38,51,35,33,34,24,15,3,17,483,0,1,0,0,0,1,5,11,26,40,28,36,27,40,33,39,37,39,31,34,26,12,10,5
18,125,1,0,0,0,1,5,8,6,9,10,3,12,12,3,11,8,8,7,11,2,4,1,2,1,18,120,0,0,1,0,0,1,7,5,12,5,6,4,6,14,3,6,12,8,3,8,3,7,7,1
19,92,2,0,0,0,1,4,4,8,4,0,3,9,7,7,6,5,7,7,4,5,4,1,3,1,19,97,0,3,0,0,0,2,4,2,10,5,2,6,8,8,6,7,7,7,5,4,3,3,1,4
20,66,0,2,1,0,0,0,4,5,1,6,2,3,2,3,7,4,5,4,3,4,2,4,2,2,20,64,0,0,0,0,0,0,1,3,3,6,3,5,2,3,4,6,7,2,4,2,3,5,4,0
21,75,1,0,0,0,0,1,3,1,4,3,3,7,8,7,5,7,5,8,3,2,5,1,1,0,21,75,0,0,0,0,0,0,2,7,5,5,8,4,6,5,6,4,6,6,3,3,3,2,0,0
22,40,1,1,1,2,0,0,0,1,2,1,3,3,2,1,2,3,2,2,3,1,2,3,2,2,22,43,0,0,0,0,0,0,1,1,1,2,2,2,3,2,5,2,2,1,8,1,4,3,2,1
23,43,1,0,0,0,0,0,1,2,2,3,5,3,3,4,2,3,2,4,0,1,4,2,1,0,23,42,0,0,0,0,0,0,0,0,4,2,4,2,2,3,5,4,2,0,4,4,0,3,1,2
24,85,0,0,0,0,0,4,3,8,5,7,7,2,1,3,3,4,4,3,6,12,3,9,1,0,24,89,0,0,0,1,0,0,0,3,6,2,6,7,6,0,10,5,5,8,7,7,6,6,1,3
25,273,0,0,0,0,3,4,8,14,15,9,5,7,23,32,29,14,16,27,5,9,20,21,11,1,25,247,0,1,0,0,0,0,10,16,19,9,10,14,21,20,15,17,15,19,15,10,14,9,9,2
26,78,0,0,0,0,0,1,3,4,9,6,6,4,0,5,7,5,7,4,4,4,3,5,1,0,26,83,0,1,0,2,0,0,1,3,4,6,1,3,4,5,4,3,6,8,11,2,5,5,7,2
27,257,3,1,0,0,0,6,12,12,10,17,10,9,9,11,16,13,20,30,22,15,8,20,9,4,27,296,0,1,0,0,0,0,2,8,17,15,11,15,16,24,17,14,18,28,25,28,22,15,14,6
28,27,0,0,0,0,0,0,1,0,2,1,0,1,1,3,0,1,4,0,2,3,5,2,1,0,28,28,0,0,0,0,0,0,0,0,1,1,0,1,2,4,4,1,3,2,2,3,4,0,0,0
29,10,0,0,0,0,0,0,1,0,1,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,29,11,0,0,0,0,0,0,0,1,2,2,3,0,0,1,0,0,0,0,0,2,0,0,0,0
30,213,0,1,0,0,1,7,10,12,18,10,12,13,8,13,18,15,23,11,15,14,6,5,1,0,30,232,0,1,2,3,0,0,4,2,11,10,10,11,10,16,12,17,14,29,25,16,17,8,8,6
31,120,0,0,0,0,1,1,11,9,15,4,6,5,8,10,7,10,4,10,9,3,4,2,1,0,31,104,0,0,1,0,0,1,2,6,10,6,1,2,8,3,7,10,3,12,9,6,3,4,9,1
32,79,0,0,0,0,0,0,3,9,6,5,3,5,5,10,5,7,4,2,5,3,5,1,1,0,32,70,0,2,0,0,0,0,3,3,5,6,6,3,8,5,1,1,8,5,4,3,3,0,3,1
33,136,3,0,1,0,1,3,3,5,6,7,7,11,8,7,10,12,21,10,5,4,7,3,1,1,33,124,0,0,0,0,0,1,4,7,10,13,7,6,9,11,6,5,8,6,10,9,5,1,4,2
34,71,1,0,0,0,1,2,5,4,4,3,6,9,5,3,4,3,6,3,3,3,4,1,1,0,34,77,0,0,0,0,0,0,1,4,3,7,4,9,8,3,1,2,1,5,9,7,2,5,3,3
35,69,1,1,2,0,0,1,2,3,1,7,6,5,3,2,4,7,6,5,4,3,2,2,1,1,35,69,0,0,0,0,0,0,1,3,6,1,4,7,2,7,3,9,4,7,4,5,3,2,1,0
36,168,2,0,0,0,1,6,13,10,17,11,11,9,6,8,10,12,14,12,13,6,3,3,1,0,36,174,0,2,1,1,0,1,4,5,5,7,5,8,8,13,12,22,17,11,16,8,6,9,8,4
37,231,0,0,0,0,2,5,12,16,18,15,15,13,21,17,18,20,21,15,8,3,6,4,2,0,37,243,0,0,0,0,0,3,1,12,15,26,11,17,10,12,17,18,22,18,16,13,11,10,3,8
38,387,1,1,1,0,3,2,20,20,8,19,14,23,18,24,18,32,44,37,29,23,17,16,12,5,38,383,0,2,0,1,0,1,10,20,39,30,22,26,19,18,15,29,23,26,32,18,14,12,16,8
39,251,0,2,0,0,0,5,5,9,9,12,8,17,10,10,20,19,30,39,15,12,10,12,6,1,39,239,0,0,0,0,0,0,7,19,22,30,26,18,16,19,9,14,6,8,16,9,6,8,3,2
40,212,0,0,0,1,0,3,8,7,13,15,11,14,14,13,16,26,19,19,13,4,9,4,3,0,40,222,0,0,0,0,0,0,5,7,20,18,15,17,21,15,14,12,15,15,9,15,5,7,6,4
41,151,2,1,0,0,0,4,10,13,10,9,8,8,19,8,6,10,10,4,8,5,4,8,4,0,41,145,0,2,0,0,0,0,4,7,10,5,11,7,5,10,12,7,9,9,9,8,7,12,6,5
