origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,154,17,3,18,13,1,22,76,3,1
2,315,35,10,47,41,12,24,137,1,8
3,347,14,31,39,58,16,14,142,6,27
4,28,5,0,5,0,1,2,14,1,0
5,69,8,5,10,5,0,12,20,5,4
6,23,3,1,2,3,0,4,5,0,5
7,35,9,1,3,4,0,10,6,0,2
8,91,5,10,5,24,3,2,36,2,4
9,20,2,2,3,2,0,4,5,0,2
10,1,0,0,0,0,0,0,1,0,0
11,49,3,3,9,5,0,3,22,0,4
12,149,23,3,39,13,2,28,36,2,3
13,261,38,7,61,30,7,28,84,1,5
14,27,1,5,3,3,1,4,9,0,1
15,18,2,1,3,0,0,1,10,1,0
16,7,0,0,1,2,0,0,4,0,0
17,430,16,38,18,119,19,16,173,4,27
18,141,6,11,23,16,4,28,34,5,14
19,80,11,8,5,10,3,10,26,1,6
20,54,3,3,9,4,1,13,20,0,1
21,52,0,4,7,9,3,3,20,3,3
22,33,2,3,1,10,1,2,12,0,2
23,52,3,5,2,8,2,8,17,1,6
24,55,7,4,12,3,0,11,14,2,2
25,269,22,7,29,20,2,23,161,3,2
26,136,11,6,13,10,5,3,80,3,5
27,239,25,18,32,36,8,18,81,5,16
28,13,0,2,2,5,1,0,3,0,0
29,16,0,2,2,3,3,0,5,0,1
30,210,32,9,52,25,7,25,51,1,8
31,116,26,9,18,5,7,16,26,0,9
32,70,8,7,8,12,2,3,20,1,9
33,122,10,15,12,24,5,17,27,1,11
34,69,6,3,10,15,4,8,16,2,5
35,60,5,7,7,8,2,10,16,2,3
36,149,23,5,42,15,2,22,38,0,2
37,276,35,29,42,25,5,37,70,9,24
38,419,20,70,41,49,12,28,127,12,60
39,234,10,52,12,35,2,14,67,4,38
40,192,16,16,25,22,9,22,56,4,22
41,139,14,6,22,11,6,32,38,7,3
42,80,16,9,10,5,2,12,17,3,6
43,107,10,12,16,12,4,13,30,0,10
44,51,3,14,5,4,1,3,13,0,8
45,110,2,14,5,31,4,5,29,6,14
46,29,2,2,6,3,2,1,12,0,1
47,107,11,14,13,12,4,5,31,2,15
48,303,12,7,9,25,8,16,205,9,12
49,369,10,76,24,61,18,16,103,6,55
50,111,12,6,20,6,2,13,43,1,8
51,54,6,1,12,9,3,9,13,0,1
52,35,7,0,5,5,1,8,8,1,0
53,185,23,11,26,20,8,40,51,3,3
54,192,22,7,24,45,8,22,54,5,5
55,157,14,15,19,15,2,24,49,11,8
56,22,0,1,1,0,0,12,6,0,2
57,16,1,1,3,0,1,1,5,3,1
58,18,0,0,1,0,2,2,13,0,0
59,111,17,4,31,10,2,19,24,0,4
60,121,21,1,21,9,4,23,36,1,5
61,41,3,2,6,4,1,3,20,0,2
62,41,4,6,6,6,1,6,11,0,1
63,216,11,37,21,27,3,13,82,4,18
64,419,22,30,30,96,22,20,167,6,26
65,149,11,10,24,26,8,9,46,5,10
66,38,3,0,6,2,4,8,15,0,0
67,235,12,36,7,48,7,19,72,5,29
68,133,18,11,20,21,8,11,32,1,11
69,55,9,2,10,3,1,10,15,3,2
70,137,19,2,37,17,6,19,36,0,1
71,176,17,33,16,15,2,14,52,2,25
72,120,18,12,30,7,3,13,26,0,11
73,180,19,17,41,18,7,25,36,4,13
74,69,18,9,16,3,1,7,12,0,3
75,258,27,26,40,47,10,24,64,4,16
76,68,2,7,2,9,3,6,21,4,14
77,110,24,2,13,13,2,11,45,0,0
78,116,20,4,28,16,4,7,26,1,10
79,24,3,0,2,6,0,4,3,0,6
80,30,2,2,3,4,3,1,13,0,2
81,116,17,8,25,8,4,12,34,1,7
82,147,24,7,20,10,4,24,48,3,7
83,2,0,1,0,0,0,0,1,0,0
84,89,11,2,15,4,6,14,33,2,2
85,50,8,0,8,5,1,16,11,0,1
86,285,52,8,62,25,8,48,68,7,7
87,195,11,16,25,36,11,21,66,1,8
88,249,42,17,56,24,6,23,65,4,12
89,285,24,33,35,47,9,19,99,1,18
90,134,12,10,32,9,7,11,50,0,3
91,82,8,10,17,10,1,13,17,0,6
92,42,8,3,3,5,2,3,11,1,6
93,162,22,13,25,26,4,16,35,7,14
94,49,4,6,3,13,2,8,10,1,2
95,128,16,11,17,25,5,11,31,5,7
96,87,16,8,11,8,2,12,21,2,7
97,93,13,5,15,8,6,15,27,0,4
98,18,2,3,3,1,1,0,4,1,3
99,153,13,30,19,22,5,16,25,4,19
100,162,19,15,23,32,8,15,42,1,7
