origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,145,15,2,30,18,5,13,57,2,3
2,276,33,11,32,48,15,15,109,3,10
3,364,19,33,36,67,12,16,143,5,33
4,24,4,1,6,0,1,4,7,1,0
5,39,7,2,7,1,0,7,9,2,4
6,30,3,1,4,1,2,5,8,2,4
7,38,8,2,5,3,1,4,12,0,3
8,151,3,9,2,50,4,8,60,4,11
9,28,2,2,3,6,1,5,7,2,0
11,39,3,2,6,2,2,5,12,2,5
12,138,23,2,31,7,4,31,37,0,3
13,256,39,5,58,32,6,32,75,5,4
14,22,3,2,2,4,0,2,6,0,3
15,13,3,0,5,2,0,0,3,0,0
16,12,0,0,2,5,0,4,0,0,1
17,342,13,27,20,98,16,15,128,4,21
18,112,12,9,23,14,3,15,21,2,13
19,125,11,11,9,14,2,16,52,6,4
20,74,6,7,12,9,1,12,21,2,4
21,54,1,2,3,20,4,3,19,1,1
22,43,0,3,2,13,2,4,13,2,4
23,30,1,3,3,5,1,5,10,1,1
24,74,7,2,15,10,5,11,21,1,2
25,251,22,7,26,24,5,20,140,2,5
26,96,10,3,11,8,2,5,50,1,6
27,219,22,30,29,33,10,17,62,5,11
28,15,0,2,0,5,1,0,7,0,0
29,12,0,3,0,2,1,1,4,1,0
30,191,25,5,47,22,6,22,54,0,10
31,123,27,8,20,5,2,23,31,0,7
32,78,7,13,6,9,1,5,29,4,4
33,111,10,7,17,22,2,10,30,4,9
34,78,6,3,13,15,2,9,25,0,5
35,53,6,1,9,8,0,3,24,0,2
36,115,29,2,28,8,0,25,22,0,1
37,263,36,22,44,19,9,27,78,6,22
38,384,28,66,30,52,16,21,120,7,44
39,271,12,66,16,29,8,14,80,7,39
40,170,14,17,15,26,8,20,45,3,22
41,150,19,10,28,9,7,32,37,6,2
42,66,7,8,3,2,3,16,18,1,8
43,121,18,11,20,17,3,8,29,3,12
44,50,0,7,3,14,2,8,7,0,9
45,93,3,18,7,20,5,2,27,2,9
46,37,2,3,2,1,5,5,15,2,2
47,102,8,22,9,13,1,8,28,5,8
48,346,10,12,15,32,7,17,225,17,11
49,388,14,71,19,70,16,25,117,8,48
50,102,13,8,17,11,7,10,28,1,7
51,28,2,1,4,3,1,6,10,0,1
52,49,6,1,7,4,1,13,16,0,1
53,180,25,13,26,25,5,32,49,2,3
54,205,25,11,33,20,19,22,57,6,12
55,138,10,14,26,9,4,24,44,2,5
56,32,1,3,5,1,1,2,9,5,5
57,17,0,1,0,1,2,7,4,1,1
58,28,0,0,4,2,2,1,19,0,0
59,119,24,4,26,7,2,23,29,1,3
60,104,15,5,23,3,5,18,31,2,2
61,38,3,4,4,3,3,8,10,0,3
62,43,2,5,6,8,2,1,13,0,6
63,222,14,45,22,19,7,11,78,5,21
64,394,17,40,30,83,18,21,145,6,34
65,149,9,8,22,38,8,13,38,4,9
66,39,5,2,5,1,3,15,7,0,1
67,236,9,25,22,52,10,24,62,6,26
68,144,18,15,11,22,5,13,47,5,8
69,62,8,2,12,4,2,13,13,3,5
70,141,25,2,26,13,1,18,53,0,3
71,161,18,34,11,11,5,11,46,4,21
72,103,16,7,22,14,3,10,17,5,9
73,161,25,19,20,24,5,13,39,2,14
74,71,14,6,13,8,2,8,15,1,4
75,270,26,24,39,45,14,25,72,5,20
76,85,1,8,6,15,0,5,28,9,13
77,109,24,1,23,7,2,12,36,0,4
78,110,24,5,21,9,7,12,26,1,5
79,19,3,1,0,3,1,1,5,0,5
80,31,2,1,4,2,3,3,10,0,6
81,121,20,9,24,12,7,17,22,1,9
82,148,19,10,16,7,5,28,50,5,8
83,1,0,0,0,0,0,0,1,0,0
84,90,7,5,20,8,1,20,25,3,1
85,46,1,0,6,6,3,18,10,0,2
86,270,45,5,57,18,7,46,81,4,7
87,181,10,20,26,29,5,23,55,4,9
88,256,43,14,48,37,8,26,66,4,10
89,310,31,32,41,46,10,19,111,2,18
90,152,10,6,26,19,4,15,70,0,2
91,121,9,17,21,13,3,19,30,3,6
92,55,9,2,6,12,3,3,12,1,7
93,120,18,14,16,11,1,12,35,4,9
94,49,4,4,6,8,2,4,14,0,7
95,109,16,10,20,20,1,7,25,3,7
96,96,11,9,17,7,6,15,19,1,11
97,71,11,3,9,11,4,8,16,2,7
98,23,1,2,3,2,0,6,4,1,4
99,137,15,25,14,14,1,17,30,3,18
100,130,18,8,19,20,8,16,30,3,8
101,57,5,3,13,11,2,7,14,0,2
102,111,8,13,14,17,2,7,41,1,8
103,114,8,9,11,18,7,11,34,3,13
104,11,1,0,0,1,1,2,5,0,1
105,171,5,25,5,23,10,14,61,4,24
106,113,4,21,7,28,4,3,35,2,9
107,28,0,4,2,5,3,2,8,1,3
108,260,15,60,12,56,5,18,58,5,31
109,109,13,5,19,17,6,14,32,0,3
110,117,16,10,27,6,2,23,29,2,2
111,134,25,5,38,17,4,19,21,1,4
112,349,44,15,80,50,6,33,96,4,21
113,4,2,0,0,0,0,1,1,0,0
114,63,7,4,6,7,2,9,27,1,0
115,127,20,8,28,8,5,24,33,1,0
116,70,12,1,12,3,2,14,25,0,1
117,196,28,9,44,15,5,24,58,6,7
118,143,17,8,32,28,3,14,38,1,2
119,126,15,11,29,18,4,13,24,0,12
120,184,17,15,35,37,8,26,37,1,8
121,33,2,4,7,3,1,4,9,0,3
122,116,7,18,12,26,3,23,16,3,8
123,88,12,3,15,14,4,8,29,0,3
124,308,31,29,25,42,10,20,114,4,33
125,229,17,17,17,55,11,9,94,1,8
126,301,17,23,27,80,7,13,112,1,21
127,171,26,26,30,13,4,16,45,1,10
128,103,6,5,4,30,7,8,37,1,5
129,67,7,3,12,9,3,9,16,3,5
130,91,2,12,6,29,4,8,19,0,11
131,52,6,6,10,6,0,9,10,3,2
132,38,0,3,9,5,0,5,12,1,3
133,96,6,10,5,22,3,12,27,1,10
134,21,1,3,1,4,3,0,7,0,2
135,50,2,3,10,2,1,6,16,1,9
136,261,42,13,72,23,9,31,51,5,15
137,147,29,8,51,7,5,13,28,2,4
138,13,0,1,2,1,0,3,6,0,0
139,70,12,0,18,14,1,11,13,0,1
140,102,20,4,31,6,1,16,21,3,0
141,208,42,5,45,22,6,26,57,0,5
142,128,17,5,30,10,1,18,38,2,7
143,285,9,31,18,72,6,22,102,3,22
144,167,24,9,28,26,6,18,46,1,9
145,180,36,5,40,20,5,20,42,3,9
146,71,12,2,16,11,2,12,15,1,0
147,147,8,6,8,39,10,9,59,0,8
148,240,26,15,32,50,11,24,66,2,14
149,98,5,10,14,15,6,7,34,1,6
