origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,110,13,5,21,9,1,19,37,2,3
2,247,33,10,29,37,12,20,89,3,14
3,320,20,29,42,63,9,17,111,2,27
4,25,6,4,1,2,1,7,4,0,0
5,79,10,7,7,8,1,15,25,2,4
6,18,1,2,4,1,0,4,2,2,2
7,37,8,2,2,2,0,5,15,1,2
8,98,6,9,5,22,9,9,30,1,7
9,25,3,3,1,1,0,8,5,1,3
10,1,0,0,0,0,0,0,1,0,0
11,37,3,3,7,2,2,5,10,3,2
12,158,31,2,37,6,2,38,39,1,2
13,211,40,4,49,8,10,35,55,3,7
14,29,3,6,2,6,1,3,5,0,3
15,17,2,1,4,2,1,2,4,1,0
16,9,0,0,1,0,1,1,5,0,1
17,350,14,37,20,99,12,7,139,5,17
18,105,8,11,15,16,4,18,21,3,9
19,104,10,9,8,11,2,8,48,3,5
20,52,6,3,4,12,0,12,11,3,1
21,49,0,3,5,16,0,5,19,0,1
22,37,0,3,2,8,1,6,14,0,3
23,35,2,5,4,5,1,6,11,0,1
24,51,9,2,15,8,3,8,6,0,0
25,132,18,5,17,8,2,26,51,1,4
26,66,9,7,7,8,2,3,19,3,8
27,199,23,27,27,30,7,26,50,2,7
28,13,0,4,1,2,0,0,5,0,1
29,11,0,4,0,1,1,0,5,0,0
30,182,35,6,35,14,12,29,47,0,4
31,136,20,13,21,12,6,17,38,2,7
32,67,11,5,7,11,4,7,12,2,8
33,115,11,13,7,24,5,18,27,2,8
34,62,7,12,8,6,4,11,11,1,2
35,41,2,4,7,8,0,3,10,2,5
36,102,24,2,21,8,2,22,18,2,3
37,254,35,25,45,19,8,33,63,2,24
38,342,24,66,27,38,9,28,101,6,43
39,250,17,57,14,36,6,16,60,8,36
40,157,21,20,16,20,5,18,43,2,12
41,126,18,7,26,8,2,31,26,5,3
42,61,7,8,4,5,2,13,18,0,4
43,98,16,15,12,8,4,8,15,4,16
44,51,1,13,8,6,2,6,8,3,4
45,123,6,16,4,31,2,11,37,1,15
46,29,2,3,3,2,0,10,6,2,1
47,98,9,21,11,12,3,10,19,3,10
48,158,12,11,11,18,4,15,69,8,10
49,314,12,65,17,55,9,12,93,9,42
50,92,16,10,13,11,4,14,19,2,3
51,28,2,2,3,3,0,8,8,1,1
52,53,9,2,3,6,2,18,10,2,1
53,165,23,8,26,15,6,42,32,6,7
54,162,27,6,23,26,8,21,47,2,2
55,129,10,18,18,13,2,22,31,9,6
56,15,0,1,2,0,2,2,4,0,4
57,20,1,1,2,3,1,6,4,2,0
58,24,1,0,2,1,0,9,11,0,0
59,107,19,7,13,11,2,17,36,0,2
60,118,26,2,18,9,2,16,39,2,4
61,39,4,2,5,6,1,3,14,2,2
62,47,4,7,2,7,2,6,15,0,4
63,205,15,40,16,26,7,16,61,4,20
64,377,26,44,27,73,19,16,140,4,28
65,144,8,19,22,25,4,13,33,0,20
66,23,5,1,2,1,3,5,6,0,0
67,231,5,28,16,51,16,16,64,7,28
68,152,13,15,22,30,6,13,39,2,12
69,62,10,2,5,2,6,13,11,8,5
70,112,18,3,18,11,5,18,34,1,4
71,155,13,40,12,15,6,8,37,3,21
72,91,19,6,23,11,1,8,14,3,6
73,153,24,19,25,17,6,18,29,2,13
74,66,11,6,13,8,0,11,12,0,5
75,245,28,26,31,39,12,14,70,3,22
76,80,3,11,4,10,2,4,31,3,12
77,115,28,0,21,9,3,17,33,2,2
78,94,27,6,14,7,4,8,27,1,0
79,18,0,4,3,1,0,2,4,0,4
80,36,5,2,4,8,4,2,10,0,1
81,102,12,6,28,9,5,13,23,0,6
82,146,21,10,19,9,6,31,39,4,7
83,2,0,1,0,0,0,0,0,0,1
84,88,20,2,17,5,4,15,21,3,1
85,32,3,0,1,5,2,11,10,0,0
86,257,54,7,55,14,7,48,58,6,8
87,174,14,18,15,43,5,19,49,2,9
88,210,38,15,42,27,6,24,49,2,7
89,257,29,30,37,46,7,15,70,3,20
90,131,15,8,21,18,5,14,38,5,7
91,95,10,15,16,11,2,16,18,2,5
92,71,9,9,12,16,2,4,10,4,5
93,145,27,14,22,13,7,16,33,5,8
94,37,0,4,1,8,1,3,14,2,4
95,127,23,13,23,12,3,12,27,2,12
96,96,18,11,11,9,3,11,30,1,2
97,60,11,4,14,5,1,6,15,0,4
98,19,2,3,4,0,1,3,2,1,3
99,139,10,24,16,19,3,18,30,4,15
100,134,21,13,15,23,11,16,29,3,3
101,60,10,10,8,11,1,5,11,1,3
102,112,5,12,19,12,4,10,36,3,11
103,102,10,14,9,12,6,5,36,2,8
104,14,3,1,0,6,1,0,2,0,1
105,160,6,32,5,31,9,7,39,4,27
106,105,5,17,4,16,6,3,37,1,16
107,21,0,2,1,5,0,3,6,0,4
108,241,13,52,16,39,12,12,68,9,20
109,116,16,7,25,12,2,18,32,0,4
110,120,18,6,35,10,2,15,27,3,4
111,134,29,7,31,19,2,18,23,0,5
112,285,45,15,59,31,2,30,81,3,19
113,5,3,0,0,1,0,0,1,0,0
114,58,5,3,9,6,4,8,22,0,1
115,132,23,8,29,9,6,28,25,1,3
116,53,12,2,13,4,2,6,12,1,1
117,188,26,8,49,20,8,25,38,4,10
118,142,22,5,30,22,7,17,33,1,5
119,112,12,18,20,20,4,14,19,0,5
120,182,19,18,31,31,7,27,40,3,6
121,25,3,1,6,3,1,3,8,0,0
122,112,10,17,8,15,3,16,27,2,14
123,68,8,7,8,8,1,7,26,0,3
124,285,28,33,19,52,8,22,95,5,23
125,198,13,16,5,61,12,4,80,0,7
126,284,14,37,23,58,6,13,117,3,13
127,162,24,21,22,17,3,19,43,1,12
128,106,11,7,4,28,7,11,33,0,5
129,68,5,4,12,9,3,10,19,2,4
130,83,9,9,8,13,4,1,31,0,8
131,50,6,8,10,5,0,6,12,1,2
132,25,1,2,3,9,2,1,7,0,0
133,110,2,18,11,26,5,9,24,4,11
134,19,0,2,3,5,0,1,7,0,1
135,36,1,4,7,2,2,6,10,0,4
136,290,33,19,72,36,13,34,56,8,19
137,133,25,4,31,9,5,30,27,1,1
138,16,0,1,2,3,0,2,8,0,0
139,58,18,0,16,4,0,9,8,1,2
140,105,23,3,23,10,1,14,30,0,1
141,193,45,7,41,17,3,26,51,1,2
142,113,16,3,26,10,7,18,30,0,3
143,261,10,30,8,69,14,12,90,8,20
144,159,23,15,18,28,4,16,43,5,7
145,193,34,9,46,8,13,38,33,8,4
146,46,10,1,8,7,1,6,11,1,1
147,147,13,12,7,43,5,7,54,0,6
148,214,28,18,24,42,8,20,61,2,11
149,69,7,6,7,21,0,2,18,0,8
150,158,21,13,13,42,4,6,53,0,6
151,45,4,0,10,5,1,15,10,0,0
152,17,5,0,2,0,1,3,5,1,0
153,43,7,0,10,2,1,15,8,0,0
154,278,41,24,47,37,12,37,66,4,10
155,68,6,5,15,10,5,6,15,2,4
156,61,3,8,10,5,1,9,20,1,4
157,56,2,11,9,6,3,8,10,3,4
158,63,7,3,3,6,4,7,33,0,0
159,88,8,8,8,15,4,7,28,3,7
160,16,4,4,1,1,0,2,3,0,1
161,28,6,2,6,5,1,6,2,0,0
162,85,13,6,16,13,1,9,18,2,7
163,42,5,0,3,13,3,3,13,0,2
164,38,1,6,3,6,2,1,15,0,4
165,72,18,2,12,4,2,11,18,0,5
166,39,10,5,8,2,0,2,10,1,1
