origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,134,0,0,1,0,1,9,10,15,16,9,10,10,8,6,9,3,5,6,6,3,3,3,1,0,1,140,0,0,0,1,0,0,3,4,10,6,5,5,8,10,10,14,10,9,17,13,5,7,1,2
2,293,0,0,0,0,1,6,13,14,26,17,23,15,23,20,21,25,17,20,20,12,10,6,4,0,2,292,0,1,0,0,1,3,6,11,11,17,15,14,14,25,27,32,21,19,18,17,17,13,6,2
3,323,3,0,0,1,0,5,10,15,20,20,20,22,18,23,20,18,31,37,29,10,12,7,1,1,3,289,0,0,1,0,2,1,10,16,21,21,22,16,17,14,21,21,23,18,20,16,13,6,6,3
4,19,0,0,0,1,0,1,4,1,0,0,3,0,3,0,0,1,1,2,0,1,1,0,0,0,4,16,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,2,1,1,2,0,2,1,1,0
5,67,0,1,0,0,0,2,3,5,3,3,5,5,5,4,6,3,4,7,4,1,2,2,2,0,5,64,0,2,0,0,0,0,0,5,3,2,5,3,5,4,5,6,6,3,4,2,3,4,1,1
6,25,0,0,0,0,0,0,2,1,3,2,1,0,1,3,3,2,1,4,0,1,1,0,0,0,6,26,0,0,0,0,0,0,1,2,3,2,1,2,2,2,4,1,0,2,0,0,2,2,0,0
7,34,0,0,0,0,0,1,1,2,1,5,4,2,2,3,2,3,2,4,2,0,0,0,0,0,7,22,0,0,0,0,0,0,1,1,0,2,1,0,2,1,3,1,1,1,3,2,2,1,0,0
8,105,2,0,0,0,1,0,1,1,3,6,7,8,9,10,8,12,12,11,5,3,2,3,1,0,8,113,0,0,0,0,0,2,7,6,5,12,6,8,11,8,14,5,8,2,5,5,4,4,1,0
9,36,1,0,0,0,1,1,1,3,0,2,2,1,5,2,2,2,5,6,0,1,1,0,0,0,9,36,0,1,0,0,0,1,1,2,2,4,2,1,1,4,3,1,3,3,2,2,0,2,1,0
10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
