origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
439,170,0,0,0,0,0,1,3,6,11,8,13,9,8,12,11,22,22,17,6,10,5,4,0,2
440,76,0,0,0,0,0,2,1,3,5,2,6,8,6,6,5,8,9,8,4,1,1,1,0,0
441,149,0,0,0,0,0,4,2,11,13,9,11,9,11,5,11,20,12,8,6,3,9,2,2,1
442,42,0,0,0,0,0,0,3,3,1,1,3,0,3,2,3,5,2,4,4,2,3,2,1,0
443,223,0,0,0,0,1,3,1,5,11,15,11,15,13,16,13,15,21,30,22,15,7,6,2,1
444,24,0,0,0,0,0,2,1,0,2,2,1,1,2,2,1,2,1,1,2,1,1,2,0,0
445,141,0,0,0,0,0,1,5,6,16,10,9,8,7,10,9,12,8,14,3,11,6,5,0,1
446,65,0,0,0,0,0,1,2,4,4,2,3,9,4,4,7,2,8,5,5,0,1,3,1,0
447,76,0,0,0,0,0,0,2,6,2,3,1,3,9,10,6,7,6,3,3,6,4,5,0,0
448,247,0,0,0,0,1,2,2,8,11,15,17,12,22,12,18,23,25,28,18,13,8,9,3,0
449,60,0,0,0,0,3,0,2,2,6,3,3,2,3,2,6,7,5,4,2,3,4,3,0,0
450,115,0,0,0,0,1,2,2,2,4,3,6,9,5,8,12,12,11,11,12,4,3,5,3,0
451,29,0,0,0,0,0,0,1,0,3,5,1,1,2,1,0,1,3,2,6,1,1,1,0,0
452,60,0,0,0,0,0,1,0,1,1,2,5,4,4,3,4,2,5,5,6,4,6,5,2,0
453,58,0,0,0,0,0,0,0,1,1,2,4,0,3,3,4,2,10,11,0,4,5,6,1,1
454,81,0,0,0,0,0,0,1,3,1,3,0,3,4,6,6,8,9,11,7,4,9,5,0,1
455,121,0,0,0,0,2,1,1,2,5,7,6,8,10,10,12,10,7,16,9,5,5,4,1,0
456,9,0,0,0,0,0,1,1,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0
457,195,0,0,0,0,0,1,0,5,6,8,11,10,12,16,17,14,23,16,12,17,15,8,4,0
458,146,0,0,0,0,0,0,0,4,7,6,2,4,14,10,17,15,9,15,6,7,11,13,5,1
459,57,0,0,0,0,0,0,1,1,1,4,1,9,4,4,3,8,5,5,3,3,5,0,0,0
460,87,0,0,0,0,2,1,0,1,2,5,5,12,8,8,10,8,8,6,4,2,2,2,1,0
461,70,0,0,0,0,0,0,1,2,4,1,1,5,7,2,9,4,5,10,6,2,3,4,3,1
462,62,0,0,0,0,0,0,1,3,1,3,4,4,5,2,5,8,4,7,3,3,6,2,1,0
463,106,0,0,0,0,1,0,0,4,2,0,4,4,5,7,6,7,13,9,11,10,12,7,2,2
464,62,0,0,0,0,0,2,2,1,7,6,4,5,1,6,4,6,3,4,4,6,0,0,1,0
465,21,0,0,0,0,0,0,0,1,1,0,1,4,3,1,1,2,0,2,2,2,0,0,1,0
466,36,0,0,0,0,0,0,2,2,2,4,1,2,0,2,4,5,2,3,2,2,1,1,1,0
467,47,0,0,0,0,0,1,2,2,1,4,3,3,3,4,6,2,3,6,1,1,2,2,1,0
468,57,0,0,0,0,0,0,4,5,9,2,2,3,5,4,1,2,2,4,4,5,2,0,2,1
469,284,0,0,0,0,0,4,1,14,10,17,17,16,19,13,29,17,33,26,23,13,18,8,6,0
470,79,0,0,0,0,0,0,2,2,6,2,6,5,8,3,5,6,6,8,5,6,5,3,1,0
471,84,0,0,0,0,0,0,2,5,6,4,4,4,5,8,9,9,7,7,3,4,5,2,0,0
472,220,0,0,0,0,2,3,7,8,11,11,12,11,19,18,35,13,26,11,12,13,4,4,0,0
473,54,0,0,0,0,0,2,2,3,2,5,2,2,2,1,2,1,4,7,3,6,3,4,2,1
474,148,0,0,0,0,3,0,3,10,16,6,12,10,16,11,10,5,4,10,9,6,10,5,1,1
475,42,0,0,0,0,0,0,1,0,4,2,3,4,4,0,1,3,6,3,3,1,7,0,0,0
476,152,0,0,0,0,1,1,4,5,6,3,5,8,11,7,9,12,21,21,8,8,14,6,2,0
477,217,0,0,0,0,1,8,6,19,11,7,17,10,10,24,10,12,20,16,16,10,10,6,4,0
478,17,0,0,0,0,0,1,0,1,1,2,1,1,1,0,3,1,0,2,0,1,2,0,0,0
479,73,0,0,0,0,0,0,3,7,3,7,8,3,5,6,4,4,4,5,5,2,5,1,1,0
480,54,0,0,0,0,0,2,1,1,4,0,1,2,3,7,2,4,7,8,4,3,3,1,1,0
481,153,0,0,0,0,0,1,2,6,5,4,12,8,12,7,11,13,14,19,10,7,9,10,2,1
482,416,0,0,0,0,0,5,18,14,15,15,25,20,29,20,37,24,41,42,31,31,22,15,11,1
483,134,0,0,0,0,0,2,3,7,8,6,4,11,13,8,12,10,15,12,7,4,6,3,3,0
484,57,0,0,0,0,0,1,1,1,4,3,2,1,2,4,5,7,6,1,2,6,4,5,2,0
485,148,0,0,0,0,4,3,6,12,11,8,9,6,11,6,13,7,16,10,10,4,5,3,4,0
486,169,0,0,0,0,0,2,8,11,15,11,9,8,14,12,14,11,8,9,10,9,7,7,4,0
487,143,0,0,0,0,1,4,10,11,11,13,11,13,10,10,8,8,6,11,4,7,0,3,2,0
488,47,0,0,0,0,0,0,2,5,1,4,4,2,2,5,2,4,2,1,4,2,3,3,1,0
489,175,0,0,0,0,0,4,11,17,9,12,10,12,9,10,13,13,14,13,7,9,7,3,2,0
490,133,0,0,0,0,1,5,4,13,15,12,14,6,8,9,3,10,7,3,6,7,3,7,0,0
491,94,0,0,0,0,0,0,2,4,6,7,3,8,9,7,7,4,6,9,8,4,6,3,1,0
492,257,0,0,0,0,2,3,16,22,23,14,26,11,19,12,12,18,15,15,13,11,9,6,8,2
493,205,0,0,0,0,0,1,8,14,22,13,13,18,15,10,13,11,16,19,9,12,1,5,4,1
494,183,0,0,0,0,1,3,7,11,15,22,13,14,12,13,8,10,12,9,11,10,6,3,3,0
495,254,0,0,0,0,1,2,9,12,14,21,14,14,24,17,9,15,17,14,16,16,16,7,13,3
496,569,0,0,0,0,2,7,9,20,24,18,19,38,38,37,32,36,62,64,55,30,31,20,20,7
497,32,0,0,0,0,0,1,2,0,1,2,1,4,0,2,4,2,5,3,2,1,1,1,0,0
498,102,0,0,0,0,0,1,3,6,5,3,5,5,6,9,13,9,12,9,5,3,5,2,1,0
499,1503,0,0,0,0,0,4,12,26,41,43,72,77,105,108,109,132,154,162,109,108,114,63,48,16
500,876,0,0,0,0,1,8,16,30,49,44,48,77,48,54,52,80,86,99,59,34,36,34,19,2
501,370,0,0,0,0,3,15,18,29,31,33,25,25,18,18,15,27,28,17,19,14,15,8,10,2
502,81,0,0,0,0,2,1,6,10,7,5,2,3,3,3,5,4,4,2,1,5,4,5,8,1
503,100,0,0,0,0,1,4,8,6,9,9,6,2,5,7,1,13,8,7,5,5,2,1,1,0
504,32,0,0,0,0,0,2,3,1,2,2,2,5,1,1,1,4,4,1,1,0,1,1,0,0
505,23,0,0,0,0,0,0,0,2,3,5,0,1,0,0,1,2,4,3,2,0,0,0,0,0
506,229,0,0,0,0,1,8,13,12,7,14,10,10,18,10,12,18,19,26,14,9,9,8,8,3
507,160,0,0,0,0,4,4,12,13,16,14,9,6,6,10,8,8,7,15,11,7,2,3,2,3
508,53,0,0,0,0,1,1,3,4,0,4,2,1,4,2,4,3,3,5,8,1,2,4,1,0
509,61,0,0,0,0,0,2,5,3,9,5,3,1,2,4,0,4,4,6,2,0,5,3,2,1
510,140,0,0,0,0,0,0,6,4,7,6,4,7,3,9,13,13,16,15,9,8,11,6,3,0
511,46,0,0,0,0,1,2,1,8,2,5,4,1,2,1,3,3,4,3,0,4,1,0,1,0
512,201,0,0,0,0,0,2,11,10,10,13,10,12,17,25,10,13,17,17,11,12,3,5,3,0
513,95,0,0,0,0,0,1,3,5,7,6,4,4,6,10,7,11,4,7,7,5,3,2,3,0
514,382,0,0,0,0,2,4,10,21,13,10,19,36,36,35,62,25,27,24,18,21,9,7,3,0
515,11,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,3,0,0,1,0,0,1,0
516,101,0,0,0,0,1,2,5,5,12,2,4,4,6,7,4,7,10,9,7,7,2,7,0,0
517,52,0,0,0,0,1,2,2,1,6,1,2,4,2,2,3,6,5,7,2,2,3,1,0,0
518,94,0,0,0,0,0,0,1,2,3,7,10,15,18,7,6,7,7,6,1,2,0,1,1,0
519,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
520,14,0,0,0,0,0,0,1,0,0,2,1,1,2,0,0,0,3,2,1,0,0,1,0,0
521,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
522,15,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,1,5,0,1,1,0,0,0,0
523,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,2,0,0,0,1,0,0
524,15,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,2,1,2,0,0,1,0,1,1
525,11,0,0,0,0,0,0,0,1,1,2,0,2,0,1,0,2,1,0,0,0,0,1,0,0
526,38,0,0,0,0,0,2,1,5,2,4,3,1,5,2,1,1,2,2,2,1,2,1,1,0
527,9,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,2,0,1,0,0,1,0
528,30,0,0,0,0,0,0,0,3,2,1,4,3,1,4,3,0,2,3,1,0,3,0,0,0
529,8,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0
530,17,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2,1,2,2,1,0,0,2,0,0
531,25,0,0,0,0,0,0,3,3,1,1,1,2,3,1,3,2,1,2,0,1,0,0,1,0
532,39,0,0,0,0,0,0,3,1,3,3,2,1,0,6,5,4,3,2,4,1,0,1,0,0
533,19,0,0,0,0,0,0,0,0,1,1,3,1,2,2,0,1,4,1,0,0,2,1,0,0
534,45,0,0,0,0,0,1,3,2,3,5,2,4,1,1,6,5,4,2,0,2,1,3,0,0
535,37,0,0,0,0,0,1,2,1,1,1,2,1,2,0,3,5,1,7,2,1,2,5,0,0
536,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
537,17,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,3,2,1,2,2,0,0,0
538,17,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,5,2,0,2,0,1,1,0,0
539,24,0,0,0,0,0,0,0,2,0,1,0,1,2,2,4,3,1,1,2,4,0,0,1,0
540,48,0,0,0,0,0,0,3,4,2,5,1,2,3,4,3,3,3,2,3,3,2,2,3,0
541,36,0,0,0,0,0,3,4,2,3,2,2,1,2,3,1,4,3,1,1,3,0,1,0,0
542,11,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,2,0,0,1,0,0,0,0
543,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
544,70,0,0,0,0,0,1,3,4,3,1,1,4,4,1,6,6,9,10,8,1,5,1,1,1
545,41,0,0,0,0,0,1,5,2,3,1,1,3,4,3,3,2,2,3,4,1,2,1,0,0
546,42,0,0,0,0,0,0,0,1,1,2,2,2,4,4,1,4,6,4,2,2,4,2,0,1
547,29,0,0,0,0,0,0,0,2,1,1,1,2,3,1,3,3,3,2,3,1,1,0,2,0
548,20,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,1,3,2,1,1,1,2,1,0
549,48,0,0,0,0,0,5,5,3,8,2,2,4,3,1,0,2,3,3,4,1,1,0,1,0
550,58,0,0,0,0,1,1,5,6,5,4,2,3,2,3,3,4,5,2,3,2,3,3,0,1
551,18,0,0,0,0,0,2,0,1,1,0,0,0,0,3,1,2,2,1,2,2,0,1,0,0
552,45,0,0,0,0,0,1,0,2,2,2,2,5,1,5,7,0,6,2,4,1,1,2,1,1
553,18,0,0,0,0,0,0,0,1,0,0,2,2,1,1,2,4,1,0,2,1,1,0,0,0
554,46,0,0,0,0,0,2,5,8,5,1,0,5,2,1,3,1,2,2,3,2,2,2,0,0
555,54,0,0,0,0,0,2,6,4,1,3,5,4,3,6,3,3,4,2,1,3,1,1,2,0
556,69,0,0,0,0,1,3,6,6,5,8,3,3,1,3,2,3,6,3,5,5,4,0,2,0
557,44,0,0,0,0,0,0,3,4,1,3,3,2,1,2,4,2,3,2,6,1,3,2,2,0
558,39,0,0,0,0,1,2,1,2,3,1,3,3,3,1,5,2,2,4,2,1,1,2,0,0
559,55,0,0,0,0,0,1,4,3,3,1,6,5,1,1,6,5,6,5,4,0,1,1,2,0
560,80,0,0,0,0,1,5,3,7,6,6,5,4,2,8,2,8,8,5,2,0,3,2,2,1
561,82,0,0,0,0,3,2,6,9,3,6,4,5,5,3,4,5,6,5,4,7,2,3,0,0
562,18,0,0,0,0,1,0,0,2,2,1,0,1,1,1,2,2,3,2,0,0,0,0,0,0
563,34,0,0,0,0,1,0,2,2,3,1,1,4,2,0,3,2,2,3,3,2,1,1,1,0
564,28,0,0,0,0,0,1,2,1,2,1,1,0,0,2,3,2,2,3,3,2,0,0,3,0
565,10,0,0,0,0,0,0,2,1,0,0,2,0,0,1,0,1,1,1,0,1,0,0,0,0
566,17,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,3,2,1,2,0,0,0
567,9,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,1
568,104,0,0,0,0,0,1,6,5,9,4,4,8,8,6,9,9,11,4,7,1,9,0,2,1
569,14,0,0,0,0,0,0,0,1,1,1,2,1,1,2,0,0,1,2,2,0,0,0,0,0
570,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0
571,22,0,0,0,0,2,1,1,4,1,0,2,1,0,3,0,0,1,2,0,1,0,2,1,0
572,30,0,0,0,0,1,1,0,0,4,1,2,4,3,0,3,4,1,3,0,1,1,0,0,1
573,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
574,100,0,0,0,0,2,3,2,8,4,4,5,6,7,5,8,12,10,9,2,2,3,4,4,0
575,44,0,0,0,0,1,0,0,1,2,5,1,6,4,2,4,4,2,8,1,0,1,1,1,0
576,37,0,0,0,0,0,1,4,2,3,1,3,3,3,2,0,2,2,5,5,1,0,0,0,0
577,12,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,2,2,1,0,0,0,0,0
578,135,0,0,0,0,1,1,5,7,2,7,5,13,7,12,8,19,17,15,7,1,3,2,2,1
579,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
580,17,0,0,0,0,0,0,1,3,1,0,1,0,1,1,0,2,3,1,1,0,1,0,1,0
581,17,0,0,0,0,1,1,0,1,3,0,0,0,1,3,0,1,3,1,2,0,0,0,0,0
582,13,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,3,2,0,1,0,0,0,0,0
583,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
584,49,0,0,0,0,0,1,2,2,2,0,4,5,4,4,3,4,3,5,5,2,3,0,0,0
585,198,0,0,0,0,1,2,4,10,8,15,12,13,16,7,15,17,18,20,8,12,12,5,3,0
586,75,0,0,0,0,1,0,1,4,6,3,4,7,2,4,9,3,10,4,6,3,4,2,2,0
587,69,0,0,0,0,0,3,4,7,1,5,6,9,4,2,7,4,1,8,2,3,2,1,0,0
588,23,0,0,0,0,0,0,3,1,1,1,1,1,1,1,3,3,2,0,1,2,1,1,0,0
589,351,0,0,0,0,4,11,17,26,21,10,12,22,21,25,20,26,30,18,29,15,17,20,7,0
590,80,0,0,0,0,0,1,2,6,9,7,4,4,7,6,6,4,4,4,3,6,2,4,1,0
591,56,0,0,0,0,1,0,2,3,2,7,5,4,3,4,3,1,6,5,4,1,4,0,0,1
592,28,0,0,0,0,0,0,1,2,0,1,5,1,1,0,4,2,3,0,5,1,2,0,0,0
593,261,0,0,0,0,1,6,5,12,9,8,14,15,15,17,23,33,25,26,18,17,9,6,2,0
594,107,0,0,0,0,0,1,2,5,4,10,11,6,4,4,8,6,8,9,6,11,6,3,3,0
595,40,0,0,0,0,0,0,2,3,4,2,1,2,0,2,2,6,4,4,4,0,1,2,1,0
596,110,0,0,0,0,1,2,5,4,8,5,7,9,7,6,11,5,13,10,6,3,2,5,0,1
597,97,0,0,0,0,0,4,2,4,2,5,6,7,8,4,9,6,11,12,9,4,1,3,0,0
598,135,0,0,0,0,0,0,2,7,5,5,3,11,6,14,8,12,14,14,11,6,7,6,4,0
599,144,0,0,0,0,1,1,1,5,8,7,7,8,11,8,9,12,20,20,9,2,6,7,2,0
600,81,0,0,0,0,0,0,0,2,4,1,6,6,6,4,6,14,11,6,4,6,1,4,0,0
601,69,0,0,0,0,0,0,2,2,1,4,5,2,8,6,5,6,5,6,11,2,2,1,1,0
602,40,0,0,0,0,0,0,3,1,3,5,3,4,4,1,5,4,0,2,3,0,2,0,0,0
603,49,0,0,0,0,0,1,3,4,3,3,3,5,2,1,5,5,4,3,2,1,0,1,2,1
604,89,0,0,0,0,0,0,4,4,7,5,5,7,5,6,5,6,6,7,5,7,4,4,2,0
605,118,0,0,0,0,0,1,5,12,6,4,10,8,5,7,9,10,8,8,7,4,4,5,4,1
606,15,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1,1,0,0,1,0,1,1,2,0
607,45,0,0,0,0,1,1,1,1,2,4,3,5,4,5,2,3,1,4,3,4,1,0,0,0
608,26,0,0,0,0,0,1,0,0,3,2,1,1,2,3,2,1,3,2,2,1,0,2,0,0
609,32,0,0,0,0,0,0,1,2,3,4,0,4,2,3,2,0,1,2,5,1,0,2,0,0
610,21,0,0,0,0,0,2,0,2,3,0,1,2,0,1,1,0,1,0,4,1,0,1,1,1
611,156,0,0,0,0,2,1,1,2,5,5,7,6,12,9,14,14,17,17,14,14,5,7,3,1
612,181,0,0,0,0,0,1,0,4,13,5,6,11,15,17,15,15,15,14,8,12,20,8,2,0
613,69,0,0,0,0,0,0,4,5,5,3,3,5,3,3,3,4,8,6,6,6,3,1,1,0
614,54,0,0,0,0,1,0,1,7,6,2,2,3,3,3,4,6,4,5,2,2,3,0,0,0
615,65,0,0,0,0,0,0,2,2,3,3,5,6,4,2,7,6,8,3,5,3,5,1,0,0
616,21,0,0,0,0,0,1,4,0,1,2,1,2,2,1,1,1,2,2,0,1,0,0,0,0
617,10,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0
618,44,0,0,0,0,0,0,3,1,3,2,4,4,4,5,3,4,4,1,1,1,2,1,1,0
619,42,0,0,0,0,0,0,1,3,4,3,3,1,2,2,2,0,3,4,4,3,2,5,0,0
620,184,0,0,0,0,0,0,4,5,11,11,12,13,13,9,9,23,18,15,6,12,8,11,4,0
621,87,0,0,0,0,0,0,3,3,3,1,5,6,6,8,12,7,5,9,5,4,5,3,2,0
622,142,0,0,0,0,0,3,1,5,13,9,7,7,8,12,11,12,13,14,9,3,9,4,2,0
623,141,0,0,0,0,1,3,2,7,8,4,7,10,10,9,19,8,16,15,4,10,3,5,0,0
624,90,0,0,0,0,1,3,1,4,4,4,6,6,8,5,4,8,5,14,5,5,0,4,3,0
625,17,0,0,0,0,0,2,1,2,2,0,4,3,0,1,1,0,0,0,0,0,1,0,0,0
626,214,0,0,0,0,1,5,8,14,22,14,14,11,16,17,13,11,15,22,8,8,10,2,3,0
627,201,0,0,0,0,0,9,10,15,12,14,14,14,10,13,11,15,13,15,9,10,7,6,3,1
628,499,0,0,0,0,2,11,14,20,34,34,24,24,39,33,42,38,38,45,37,32,18,7,7,0
629,259,0,0,0,0,0,4,5,12,14,18,7,14,23,12,15,24,17,17,26,11,19,14,6,1
630,268,0,0,0,0,1,2,8,11,15,15,15,16,28,11,15,19,22,23,18,18,13,17,1,0
631,230,0,0,0,0,1,4,4,18,17,13,14,15,17,17,21,20,19,12,11,9,7,4,7,0
632,883,0,0,0,0,1,9,21,40,30,44,43,49,48,71,62,60,69,80,64,61,59,43,27,2
633,407,0,0,0,0,2,7,17,14,22,25,23,32,23,21,21,21,33,30,35,26,26,19,9,1
634,108,0,0,0,0,0,3,6,12,15,4,8,3,6,4,5,7,5,6,9,1,4,4,4,2
635,750,0,0,0,0,2,21,48,57,59,69,44,46,52,49,45,38,33,60,36,33,22,21,13,2
636,166,0,0,0,0,1,14,14,13,12,14,7,7,10,4,7,5,12,10,7,8,8,4,6,3
637,167,0,0,0,0,0,2,11,14,12,10,6,13,12,8,7,12,25,11,8,3,6,5,2,0
638,36,0,0,0,0,1,3,0,1,3,2,3,1,0,3,3,0,4,3,2,2,1,3,1,0
639,27,0,0,0,0,0,3,0,0,5,2,1,2,2,2,1,1,1,2,1,2,0,2,0,0
640,54,0,0,0,0,0,4,5,6,2,5,3,3,3,3,3,4,8,2,1,1,0,0,0,1
641,445,0,0,0,0,1,16,26,30,34,28,18,23,29,27,31,22,33,37,22,27,17,14,9,1
642,49,0,0,0,0,0,2,0,2,5,6,1,3,6,4,3,4,7,0,0,1,1,1,3,0
643,129,0,0,0,0,1,5,9,5,7,7,12,9,14,8,7,5,4,7,7,5,8,2,5,2
644,33,0,0,0,0,0,1,2,4,4,6,0,3,4,1,1,2,0,1,1,2,0,1,0,0
645,182,0,0,0,0,0,5,11,25,18,6,12,10,8,9,13,12,11,8,9,11,9,3,1,1
646,211,0,0,0,0,1,8,9,12,8,13,14,17,10,14,23,8,17,16,8,10,11,9,3,0
647,25,0,0,0,0,0,1,0,1,0,2,3,4,1,1,1,1,3,1,2,4,0,0,0,0
648,51,0,0,0,0,0,0,5,4,8,1,3,4,5,5,2,3,0,7,0,0,2,2,0,0
649,9,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,2,1,0,0
650,82,0,0,0,0,0,2,5,7,8,5,4,7,5,3,4,5,6,4,5,3,5,3,1,0
651,45,0,0,0,0,0,1,3,4,1,4,4,4,1,4,2,2,5,4,2,1,1,0,1,1
652,9,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0
653,16,0,0,0,0,0,0,3,1,2,2,0,0,2,2,1,1,0,0,0,0,1,0,0,1
654,88,0,0,0,0,0,4,5,6,7,8,7,1,6,2,7,7,4,10,2,6,3,2,1,0
655,266,0,0,0,0,2,7,18,18,35,13,15,16,19,13,18,19,21,17,5,13,6,8,2,1
656,51,0,0,0,0,0,2,0,2,6,4,4,2,4,2,5,2,5,3,5,2,2,1,0,0
657,33,0,0,0,0,0,0,3,1,1,2,2,3,3,2,1,3,4,5,0,0,1,1,1,0
658,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
659,158,0,0,0,0,1,2,10,16,16,8,11,9,15,9,11,13,10,5,6,5,6,2,3,0
660,11,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0
661,98,0,0,0,0,1,3,5,9,9,5,7,2,4,10,3,3,7,4,5,8,6,4,2,1
662,169,0,0,0,0,1,4,7,11,14,13,9,8,11,8,10,23,16,10,6,5,6,2,5,0
663,68,0,0,0,0,0,3,2,3,4,3,2,3,8,3,0,7,10,7,6,2,3,1,1,0
664,222,0,0,0,0,1,6,6,19,19,18,14,15,11,11,16,10,20,20,14,8,8,3,3,0
665,165,0,0,0,0,0,2,4,6,10,7,10,8,14,12,14,16,16,14,14,7,4,4,2,1
666,161,0,0,0,0,0,6,12,11,17,15,9,10,4,10,16,8,7,7,12,6,6,4,1,0
667,777,0,0,0,0,4,13,23,34,39,31,43,55,55,55,54,62,52,77,57,46,40,22,11,4
668,361,0,0,0,0,4,9,16,23,30,31,23,23,27,25,15,23,21,29,19,11,12,11,8,1
669,180,0,0,0,0,1,7,8,11,19,10,10,13,15,7,6,14,14,15,10,5,3,6,5,1
670,61,0,0,0,0,0,1,0,0,2,1,4,5,3,3,5,3,5,8,7,10,1,2,1,0
671,177,0,0,0,0,0,1,7,7,11,8,6,10,15,12,14,13,16,16,20,8,5,5,3,0
672,76,0,0,0,0,0,5,5,3,4,6,4,3,3,7,0,4,9,3,4,4,6,5,1,0
673,258,0,0,0,0,2,4,14,16,19,16,17,15,14,25,11,11,20,22,15,15,10,4,5,3
674,163,0,0,0,0,1,3,7,13,11,11,6,10,11,9,13,7,15,7,12,7,10,8,2,0
675,143,0,0,0,0,0,8,6,10,12,10,16,8,13,6,10,7,12,9,3,5,3,4,1,0
676,137,0,0,0,0,0,1,6,10,10,6,4,17,8,10,7,9,11,12,10,7,6,2,1,0
677,22,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,5,4,3,0,2,1,1,0,0
678,10,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,0,0,1,0,1,1,0
679,26,0,0,0,0,0,3,0,0,3,0,2,1,2,0,2,0,1,2,4,2,3,1,0,0
680,40,0,0,0,0,0,0,3,5,2,4,4,2,0,3,1,2,3,1,2,2,3,2,1,0
681,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0
682,199,0,0,0,0,2,3,7,8,7,8,14,8,13,17,13,29,19,19,13,9,6,3,1,0
683,218,0,0,0,0,1,2,5,5,8,5,17,16,17,14,17,24,24,25,7,8,17,4,2,0
684,159,0,0,0,0,1,1,5,7,4,5,7,9,14,14,15,12,17,16,12,3,8,7,2,0
685,47,0,0,0,0,0,1,3,4,1,3,2,3,3,2,5,1,6,3,3,3,2,1,1,0
686,108,0,0,0,0,2,0,8,6,11,7,3,8,9,5,4,6,4,7,14,4,4,4,2,0
687,105,0,0,0,0,1,0,1,5,4,7,12,8,10,6,7,8,4,7,5,8,9,3,0,0
688,230,0,0,0,0,1,0,7,10,12,10,9,30,24,23,17,31,11,9,5,6,17,7,1,0
689,80,0,0,0,0,0,1,1,1,1,4,5,4,7,6,5,6,7,11,5,3,4,9,0,0
690,41,0,0,0,0,2,0,0,3,2,1,2,3,6,1,3,1,7,3,3,1,0,1,2,0
691,56,0,0,0,0,0,1,2,5,6,2,4,1,1,2,5,5,3,2,3,5,5,2,2,0
692,28,0,0,0,0,0,2,0,1,0,1,3,2,2,2,1,1,4,3,1,1,4,0,0,0
693,54,0,0,0,0,0,0,2,3,6,3,2,4,3,2,8,3,4,6,3,4,0,1,0,0
694,90,0,0,0,0,0,3,0,4,5,5,6,6,7,4,7,8,9,12,4,1,6,2,0,1
695,96,0,0,0,0,0,1,0,1,2,4,3,3,5,13,7,11,12,15,8,4,2,2,3,0
696,34,0,0,0,0,0,1,2,1,1,1,0,2,2,0,1,5,2,9,1,2,4,0,0,0
697,20,0,0,0,0,0,0,2,2,0,2,2,0,2,1,4,0,1,2,2,0,0,0,0,0
698,37,0,0,0,0,0,1,2,2,2,0,3,3,4,1,2,0,8,2,3,2,1,0,1,0
699,41,0,0,0,0,0,1,0,4,4,1,1,3,3,3,5,0,4,4,3,2,1,2,0,0
700,66,0,0,0,0,2,1,2,2,7,3,0,4,6,4,4,7,5,4,2,3,4,3,3,0
701,36,0,0,0,0,0,1,1,1,4,3,0,2,2,2,2,4,2,5,2,3,0,0,2,0
702,59,0,0,0,0,1,1,2,5,7,0,1,2,5,5,3,3,8,6,5,1,2,1,1,0
703,21,0,0,0,0,0,1,1,0,1,0,1,2,2,3,0,1,2,2,1,3,0,0,1,0
704,58,0,0,0,0,0,1,3,5,3,3,4,6,3,5,2,4,4,5,4,2,3,1,0,0
705,31,0,0,0,0,0,0,1,2,1,0,1,5,2,0,2,0,5,2,2,3,2,1,2,0
