origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
175,15,0,0,0,0,0,0,0,1,1,0,0,4,0,1,1,1,1,2,1,2,0,0,0,0
176,75,0,0,0,0,0,1,3,2,13,4,3,1,7,9,5,3,6,4,5,3,2,0,4,0
177,209,0,0,0,0,0,4,10,12,15,11,12,8,17,15,17,12,15,20,11,9,10,6,4,1
178,123,0,0,0,0,1,4,9,12,11,10,9,6,12,2,4,7,8,7,11,3,3,1,3,0
179,21,0,0,0,0,0,0,0,0,2,1,0,1,0,3,3,4,2,1,3,1,0,0,0,0
180,65,0,0,0,0,0,2,2,9,4,2,5,2,3,5,2,3,3,5,4,6,4,1,1,2
181,64,0,0,0,0,0,2,3,5,5,4,6,4,3,4,0,5,5,4,4,5,1,4,0,0
182,56,0,0,0,0,0,2,7,2,9,1,4,5,3,4,5,3,5,3,2,1,0,0,0,0
183,53,0,0,0,0,1,2,1,4,8,7,2,3,1,4,2,2,3,4,2,4,2,0,0,1
184,74,0,0,0,0,0,0,7,11,6,6,6,2,2,4,3,2,0,7,4,3,5,4,2,0
185,167,0,0,0,0,0,5,8,19,13,15,12,4,13,6,5,9,11,14,9,7,7,5,5,0
186,93,0,0,0,0,1,1,6,3,10,10,4,6,3,8,3,10,2,10,4,5,1,4,2,0
187,281,0,0,0,0,0,3,7,12,17,11,15,19,20,19,22,19,23,31,18,13,14,10,8,0
188,229,0,0,0,0,0,2,6,13,9,17,14,15,12,23,19,13,23,17,16,8,9,9,4,0
189,216,0,0,0,0,1,3,15,14,18,13,7,11,18,12,17,9,10,22,15,11,5,9,5,1
190,92,0,0,0,0,0,2,5,6,10,12,5,4,9,3,2,3,4,10,5,7,2,1,2,0
191,70,0,0,0,0,0,0,2,7,8,6,5,6,3,4,0,2,3,10,5,2,3,2,2,0
192,392,0,0,0,0,1,5,6,16,23,20,25,21,25,27,39,25,34,35,30,22,20,9,6,3
193,238,0,0,0,0,1,5,12,18,16,14,10,11,11,11,18,17,23,23,23,9,3,7,4,2
194,37,0,0,0,0,0,1,5,2,3,2,2,2,2,0,0,2,2,1,5,4,1,1,1,1
195,180,0,0,0,0,2,1,11,17,13,13,11,13,9,13,11,11,14,11,6,10,4,7,3,0
196,11,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,1,1,1,0,0,1,0,0,0
197,354,0,0,0,0,0,6,10,28,23,25,22,27,22,25,17,22,34,30,15,13,19,12,3,1
198,250,0,0,0,0,0,5,15,18,17,12,19,16,11,17,14,15,20,21,15,8,12,7,6,2
199,223,0,0,0,0,1,4,11,14,15,18,16,10,11,16,9,9,26,16,15,4,9,9,9,1
200,48,0,0,0,0,0,2,2,9,5,3,5,0,2,1,3,3,2,5,1,1,2,1,1,0
201,109,0,0,0,0,0,3,7,11,5,8,4,7,9,10,7,11,3,8,2,5,2,3,4,0
202,60,0,0,0,0,0,2,3,4,5,4,7,2,5,4,4,4,3,3,5,2,1,2,0,0
203,298,0,0,0,0,1,3,12,25,25,18,17,12,17,14,16,21,24,27,15,18,15,12,5,1
204,65,0,0,0,0,0,2,5,10,5,6,2,1,3,8,1,4,4,5,2,3,3,0,1,0
205,136,0,0,0,0,1,3,11,9,13,8,12,6,8,9,12,11,13,3,3,2,8,2,2,0
206,220,0,0,0,0,1,1,12,19,17,17,20,14,13,13,12,10,21,14,11,8,9,4,4,0
207,196,0,0,0,0,2,4,7,25,21,9,17,6,13,9,7,14,13,10,16,10,8,4,1,0
208,377,0,0,0,0,5,9,19,25,34,19,26,18,15,29,24,18,26,24,23,22,21,12,7,1
