origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,145,2,1,20,16,3,18,82,3,0
2,298,12,7,52,39,3,30,148,1,6
3,380,9,11,23,70,9,23,219,2,14
4,26,1,1,2,2,0,6,13,0,1
5,54,5,2,9,8,1,14,14,1,0
6,18,1,0,6,5,1,2,3,0,0
7,35,4,0,5,4,1,5,16,0,0
8,82,4,2,6,33,3,5,26,1,2
9,24,0,1,1,1,0,10,10,1,0
11,28,1,0,7,5,0,7,8,0,0
12,163,7,1,40,23,0,30,62,0,0
13,246,7,4,52,37,6,33,102,1,4
14,19,0,2,3,2,0,0,11,0,1
15,10,0,0,1,1,0,4,4,0,0
16,15,0,0,0,2,0,3,10,0,0
17,405,7,19,23,146,15,17,170,1,7
18,79,4,3,21,8,3,14,23,3,0
19,68,7,1,7,9,0,10,32,0,2
20,41,2,2,6,5,1,5,20,0,0
21,65,0,2,5,10,1,4,41,1,1
22,31,2,0,0,18,0,0,9,0,2
23,37,4,3,5,7,0,6,10,0,2
24,64,2,1,18,12,0,14,15,0,2
25,162,6,3,28,11,2,17,94,1,0
26,78,3,3,9,10,1,9,40,1,2
27,199,12,3,34,31,1,24,88,1,5
28,21,0,2,1,5,1,1,10,0,1
29,9,0,0,1,1,1,0,5,0,1
30,211,9,7,61,31,3,25,68,0,7
31,89,10,4,26,5,2,18,23,0,1
32,62,5,2,12,5,0,7,29,1,1
33,74,1,5,13,9,2,14,26,1,3
34,55,3,3,15,6,1,10,17,0,0
35,51,1,2,6,12,3,6,19,2,0
36,120,6,2,41,8,2,28,29,2,2
37,188,12,2,47,16,6,29,63,3,10
38,245,6,13,40,34,4,26,111,1,10
39,120,6,12,19,15,1,8,51,2,6
40,159,7,6,22,26,7,24,61,1,5
41,139,6,6,32,8,2,31,45,6,3
42,48,4,3,6,5,3,10,16,0,1
43,89,4,7,17,9,1,10,34,1,6
44,23,2,2,4,4,0,4,6,0,1
45,69,0,6,10,18,1,5,26,0,3
46,25,0,1,6,2,2,5,9,0,0
47,67,1,8,13,11,0,10,19,1,4
48,218,5,5,19,17,2,13,149,5,3
49,207,11,17,18,45,7,14,91,0,4
50,78,1,1,15,14,1,8,32,1,5
51,35,2,0,5,10,1,10,6,0,1
52,48,4,2,14,3,1,10,13,1,0
53,192,11,9,45,28,2,34,56,5,2
54,162,8,5,18,37,2,31,54,2,5
55,87,6,5,15,5,1,19,26,7,3
56,20,2,1,2,1,0,7,6,0,1
57,17,0,0,1,3,0,3,10,0,0
58,18,0,0,1,2,1,2,12,0,0
59,105,6,1,31,13,3,13,38,0,0
60,97,4,0,27,11,1,16,35,3,0
61,25,2,0,1,2,0,5,14,0,1
62,34,2,5,4,5,0,6,12,0,0
63,145,12,5,19,15,1,15,74,2,2
64,323,8,20,30,92,3,21,129,4,16
65,97,6,4,27,17,0,10,30,0,3
66,41,1,2,6,5,2,6,18,1,0
67,121,6,4,16,19,7,21,42,2,4
68,135,2,7,15,30,4,10,62,1,4
69,58,1,0,12,3,1,21,16,0,4
70,130,3,1,40,9,0,25,52,0,0
71,97,7,6,11,8,1,13,51,0,0
72,85,5,4,35,3,1,15,20,1,1
73,122,6,4,38,10,6,18,35,0,5
74,49,0,1,16,7,1,12,11,0,1
75,138,10,2,56,13,0,21,31,0,5
76,59,1,6,10,7,2,5,20,1,7
77,112,5,0,25,13,3,15,51,0,0
78,101,8,2,33,9,0,25,19,0,5
79,13,1,1,2,1,0,0,7,0,1
80,36,1,3,5,5,0,3,16,0,3
81,140,4,4,24,24,4,21,55,0,4
82,130,12,1,21,8,2,26,58,2,0
83,2,0,0,0,0,0,0,2,0,0
84,76,3,3,18,5,1,23,19,3,1
85,50,2,0,10,5,2,16,15,0,0
86,314,15,5,82,30,2,54,119,4,3
87,172,2,11,28,33,2,29,56,2,9
88,211,9,9,59,37,0,29,64,1,3
89,194,6,9,36,32,4,16,87,1,3
90,156,4,4,31,16,3,15,78,1,4
91,69,3,3,17,11,0,17,14,1,3
92,50,6,3,10,8,0,5,18,0,0
93,127,9,5,38,13,1,15,39,1,6
94,29,0,1,1,6,1,6,13,1,0
95,109,6,7,24,19,2,14,30,0,7
96,86,9,2,17,9,1,15,32,0,1
97,57,5,0,10,4,0,15,21,0,2
98,10,1,1,2,1,1,1,3,0,0
99,68,4,4,11,16,1,9,23,0,0
100,147,7,7,29,18,3,21,55,1,6
101,49,1,3,11,10,0,9,15,0,0
102,95,6,4,15,14,1,16,37,0,2
103,102,2,2,14,23,1,4,55,0,1
104,16,0,3,2,5,0,0,6,0,0
105,54,7,2,10,12,2,5,14,0,2
106,41,3,4,4,13,1,1,12,1,2
107,11,0,0,0,5,0,2,3,0,1
108,133,5,11,15,36,2,10,46,2,6
109,120,6,1,23,22,0,22,41,1,4
110,86,2,5,29,10,2,16,22,0,0
111,157,8,4,50,24,2,22,45,1,1
112,285,12,4,88,44,5,36,89,0,7
113,7,0,0,3,1,1,0,2,0,0
114,73,1,1,15,7,1,11,35,0,2
115,125,4,2,35,12,1,25,42,1,3
116,62,6,0,14,3,1,16,21,0,1
117,144,6,5,39,15,2,21,51,2,3
118,103,8,2,26,20,2,18,22,1,4
119,105,3,5,23,17,2,17,34,1,3
120,186,7,10,29,48,5,21,59,0,7
121,28,0,1,5,7,1,2,12,0,0
122,86,2,5,12,24,0,12,29,0,2
123,76,1,1,22,10,1,11,27,1,2
124,279,5,17,35,55,7,16,136,0,8
125,261,5,6,14,78,2,9,143,0,4
126,366,3,15,23,129,11,20,157,2,6
127,111,7,1,29,15,3,20,35,0,1
128,143,4,7,8,56,6,8,50,0,4
129,61,5,2,6,7,1,15,24,0,1
130,64,4,3,9,16,2,5,23,1,1
131,32,2,0,4,4,0,13,6,0,3
132,34,1,3,8,6,0,2,14,0,0
133,79,4,2,12,20,2,12,21,2,4
134,7,0,0,0,2,0,0,5,0,0
135,30,1,2,7,7,0,5,8,0,0
136,253,10,8,83,27,3,39,74,3,6
137,141,8,4,48,10,1,32,32,2,4
138,16,1,0,4,0,0,6,5,0,0
139,56,2,0,18,9,0,13,13,0,1
140,114,4,0,27,11,5,23,39,1,4
141,176,6,3,51,19,3,32,61,0,1
142,108,1,2,37,9,0,25,30,0,4
143,248,5,13,19,94,3,10,90,2,12
144,145,1,5,30,28,3,20,55,0,3
145,181,5,9,49,16,1,35,57,2,7
146,34,0,0,13,4,1,4,11,0,1
147,132,2,6,14,32,5,4,68,0,1
148,218,8,13,37,55,5,30,63,2,5
149,85,3,6,16,25,1,8,26,0,0
150,164,6,8,20,40,4,14,68,1,3
151,41,0,0,11,6,0,11,13,0,0
152,17,0,1,6,1,0,5,4,0,0
153,50,2,2,10,7,2,8,19,0,0
154,202,10,9,51,26,3,39,55,1,8
155,64,1,1,7,7,2,8,36,0,2
156,67,1,3,14,5,0,7,36,1,0
157,39,0,3,11,3,0,4,17,0,1
158,89,1,1,12,26,1,3,45,0,0
159,98,2,4,16,28,3,2,37,1,5
160,13,0,0,1,1,0,5,6,0,0
161,51,1,2,7,12,0,6,23,0,0
162,77,7,4,11,17,0,14,19,0,5
163,47,1,4,5,13,2,4,17,0,1
164,24,2,1,5,4,1,3,7,0,1
165,66,4,1,21,7,1,18,13,0,1
166,44,3,1,11,2,1,5,21,0,0
167,114,9,3,25,32,3,7,31,2,2
168,26,1,2,6,0,1,8,7,0,1
169,58,2,2,11,13,1,13,15,0,1
170,46,3,1,5,12,1,3,18,0,3
171,67,3,1,9,15,2,8,25,1,3
172,105,2,3,21,21,0,19,36,1,2
173,25,1,0,3,3,2,4,10,0,2
174,12,0,1,0,2,0,0,9,0,0
175,10,0,1,2,2,1,3,1,0,0
176,78,3,2,12,14,3,17,25,2,0
177,193,15,9,37,41,4,15,64,1,7
178,83,4,3,32,6,1,21,15,0,1
179,14,0,2,1,5,0,1,4,0,1
180,58,4,1,10,8,0,8,24,0,3
181,57,1,0,13,6,1,16,19,0,1
182,52,3,1,16,5,2,6,16,1,2
183,65,1,0,22,9,1,14,18,0,0
184,70,6,0,16,10,2,12,23,0,1
185,205,8,5,49,38,2,24,73,0,6
186,98,6,5,22,18,2,15,29,1,0
187,269,3,12,25,84,3,22,107,2,11
188,145,5,5,22,31,3,19,58,0,2
189,205,19,7,49,42,5,25,55,1,2
190,83,2,1,15,20,7,11,27,0,0
191,60,4,1,18,5,1,10,21,0,0
192,323,10,19,62,86,7,27,103,0,9
193,230,12,5,53,41,9,37,67,2,4
194,25,5,1,7,1,2,5,4,0,0
195,168,6,4,57,19,5,26,49,0,2
196,17,0,0,2,3,0,4,5,2,1
197,283,11,6,68,55,4,36,91,1,11
198,183,10,9,43,27,2,25,55,1,11
199,202,16,14,41,40,1,22,59,4,5
200,52,6,1,14,6,0,12,12,0,1
201,106,7,5,30,9,0,15,36,2,2
202,57,1,0,18,9,0,8,18,1,2
203,251,15,8,42,50,6,31,86,3,10
204,55,7,1,24,4,0,8,10,0,1
205,112,7,1,40,9,0,17,35,0,3
206,235,14,5,78,30,5,36,61,1,5
207,223,13,4,70,29,6,33,59,1,8
208,318,25,11,91,48,5,36,92,2,8
209,278,8,11,47,59,8,25,114,2,4
210,203,10,5,37,58,2,15,71,0,5
211,97,5,3,15,11,6,24,28,1,4
212,65,2,4,11,12,2,7,26,0,1
213,530,23,8,204,46,6,56,166,9,12
214,263,5,3,93,27,6,55,68,4,2
215,132,4,0,35,18,1,26,42,2,4
216,66,4,1,16,5,0,18,22,0,0
217,61,3,0,12,10,2,11,22,1,0
218,281,17,2,119,21,2,43,70,1,6
219,52,3,0,12,3,1,20,13,0,0
220,36,0,0,6,2,0,18,8,0,2
