origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,145,3,0,0,0,3,1,3,7,12,13,17,8,8,12,8,9,14,7,2,5,4,4,3,2,1,131,0,4,1,1,0,2,3,3,4,8,11,9,8,13,7,8,7,6,6,7,4,9,4,3
2,298,2,0,0,0,2,2,2,14,14,19,26,21,31,31,15,23,18,17,19,15,11,6,10,0,2,278,0,2,1,1,0,0,4,3,7,23,20,22,30,17,17,18,15,17,18,18,11,13,11,8
3,380,4,0,0,0,0,2,6,12,20,40,34,37,30,35,23,27,18,20,19,16,12,12,13,0,3,318,0,6,0,0,0,2,7,10,23,18,31,29,30,27,13,11,20,19,16,20,7,13,4,11
4,26,0,0,1,0,0,0,1,3,2,0,5,3,5,0,1,1,1,1,0,0,1,1,0,0,4,20,0,0,0,0,0,0,1,1,1,0,2,1,2,1,2,1,1,2,1,1,0,3,0,0
5,54,2,1,0,0,0,2,1,6,3,5,6,4,2,2,3,1,4,1,1,0,5,3,2,0,5,45,0,0,0,0,0,1,3,2,2,2,2,5,3,4,2,1,3,2,2,3,2,2,2,2
6,18,0,0,0,0,0,0,0,2,1,0,2,1,2,2,1,1,1,2,0,0,1,1,0,1,6,16,0,1,0,0,0,0,0,0,1,2,1,1,3,0,1,1,0,0,1,1,2,0,0,1
7,35,0,0,0,0,0,0,2,0,2,3,1,5,1,5,3,3,4,3,0,1,0,0,2,0,7,30,0,1,0,0,0,0,0,2,0,2,0,1,4,2,3,2,5,3,1,0,1,0,2,1
8,82,2,1,0,1,1,0,0,2,2,3,6,7,3,1,5,5,4,2,8,7,6,10,3,3,8,114,0,1,0,0,0,0,1,4,2,5,5,6,7,6,9,13,7,7,8,9,9,7,3,4
9,24,0,0,0,0,0,0,0,2,1,2,2,1,3,1,2,1,1,1,0,2,2,2,1,0,9,21,0,0,0,0,0,1,0,1,2,2,2,1,2,1,0,1,1,1,1,2,1,1,1,0
11,28,0,0,0,0,1,1,1,3,0,4,3,3,0,0,4,2,3,0,1,0,2,0,0,0,11,30,0,0,0,0,0,1,1,0,0,2,4,3,6,1,3,1,2,0,0,1,0,1,0,2
12,163,2,0,1,0,1,2,6,6,13,12,12,15,10,9,9,10,12,8,11,7,5,7,3,2,12,156,0,1,1,0,0,2,1,1,6,8,6,13,11,11,10,17,6,7,11,9,10,9,5,10
13,246,2,0,0,1,2,5,7,11,17,16,23,28,18,19,16,18,16,10,9,9,7,11,0,1,13,237,0,1,1,0,0,1,3,6,8,16,27,14,13,20,28,17,13,9,10,15,9,9,12,4
14,19,0,0,0,0,0,1,0,1,2,0,0,1,1,2,2,2,2,2,0,2,1,0,0,0,14,23,0,1,0,0,0,0,1,0,2,1,2,0,3,2,1,2,0,2,0,1,1,1,3,0
15,10,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,15,9,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1
16,15,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,3,2,0,1,3,0,0,1,16,16,0,0,0,0,0,0,1,1,0,0,1,2,0,2,0,2,1,1,3,0,2,0,0,0
17,405,2,0,0,0,0,4,4,4,7,14,13,22,28,23,32,43,41,30,37,31,36,19,10,5,17,420,0,3,0,0,1,2,4,6,16,29,37,46,44,35,27,27,28,35,28,20,13,8,6,4
18,79,0,0,0,0,0,1,1,2,15,9,6,7,6,5,3,4,4,3,3,3,2,4,1,0,18,73,0,3,1,0,0,0,0,0,5,4,6,10,7,2,1,5,4,2,3,5,7,2,4,1
19,68,0,0,0,0,1,0,3,6,2,4,8,3,3,3,5,6,3,6,1,3,3,3,3,2,19,76,0,1,0,0,0,0,0,2,4,4,9,5,2,5,4,2,6,3,5,5,4,4,6,5
20,41,2,0,0,0,0,3,5,2,1,4,4,2,1,3,2,3,1,2,1,1,1,1,1,1,20,44,0,0,0,0,0,0,3,0,1,5,7,5,0,1,3,0,3,2,3,1,0,4,4,2
21,65,3,0,0,0,0,0,2,2,0,6,5,5,5,5,6,6,2,4,6,2,4,2,0,0,21,59,0,0,0,0,0,0,0,1,0,4,5,6,8,6,9,4,3,4,3,1,2,1,2,0
22,31,1,1,0,0,0,0,0,0,0,0,2,2,2,5,1,4,4,1,0,3,2,1,1,1,22,34,0,0,0,0,0,0,0,2,1,4,5,2,1,4,0,4,1,0,2,0,1,4,1,1
23,37,1,0,0,0,0,1,2,0,1,3,3,2,4,5,0,3,2,4,2,2,2,0,0,0,23,39,0,0,0,0,0,0,2,0,2,3,4,3,5,4,5,2,2,0,0,4,1,1,1,0
24,64,1,0,0,0,1,0,0,1,3,6,6,8,4,3,5,4,3,4,4,4,4,2,1,0,24,76,0,1,0,0,1,1,2,3,3,3,4,8,4,4,3,6,4,3,5,2,4,5,5,3
