origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,136,19,2,20,16,5,22,49,2,1
2,288,31,13,33,45,11,28,115,2,10
3,337,21,32,24,64,13,22,134,4,23
4,24,4,2,2,0,1,0,14,1,0
5,62,12,4,6,9,0,11,11,3,6
6,21,3,1,2,2,1,5,6,0,1
7,33,8,3,3,3,1,6,8,0,1
8,94,5,12,5,16,7,7,32,1,9
9,23,3,2,4,2,0,4,4,1,3
10,1,0,0,1,0,0,0,0,0,0
11,38,2,0,8,5,0,7,13,1,2
12,140,20,2,34,6,5,27,38,2,6
13,236,39,4,54,22,5,34,69,3,6
14,19,1,2,2,3,1,3,6,0,1
15,20,2,0,7,3,0,2,6,0,0
16,10,0,0,1,2,0,1,6,0,0
17,372,9,35,17,116,21,12,138,3,21
18,92,7,10,27,4,2,13,20,1,8
19,115,9,15,4,16,8,14,38,5,6
20,73,6,1,11,17,1,12,20,5,0
21,54,1,5,4,18,2,5,16,2,1
22,32,1,4,0,7,0,0,12,2,6
23,45,2,3,9,4,0,4,18,0,5
24,43,4,3,8,6,4,7,10,0,1
25,177,27,6,25,10,7,26,67,2,7
26,102,9,7,17,14,1,5,42,2,5
27,217,20,28,25,34,3,17,72,2,16
28,18,1,1,1,7,0,0,8,0,0
29,13,2,1,0,3,0,0,5,0,2
30,196,29,7,46,26,8,22,50,3,5
31,120,23,12,23,5,5,22,23,0,7
32,64,8,10,6,9,3,4,20,1,3
33,101,4,9,11,22,5,15,23,1,11
34,65,7,5,9,10,5,5,19,3,2
35,73,6,5,15,17,2,11,14,1,2
36,131,23,2,36,6,3,25,34,0,2
37,252,30,32,37,22,6,29,63,8,25
38,357,18,64,32,40,10,15,114,11,53
39,246,9,63,13,30,4,10,75,3,39
40,188,15,20,27,27,8,21,60,0,10
41,129,21,7,25,6,6,26,31,3,4
42,79,8,7,11,4,2,11,26,3,7
43,107,15,9,11,16,4,14,24,2,12
44,46,2,12,7,3,1,6,7,1,7
45,98,2,16,1,17,4,7,38,0,13
46,33,1,4,4,6,1,3,12,1,1
47,99,9,22,7,10,3,15,17,3,13
48,172,16,10,6,14,1,11,98,4,12
49,359,5,63,27,68,13,12,114,11,46
50,111,10,9,16,11,5,16,33,5,6
51,28,6,1,4,2,0,6,7,0,2
52,41,5,2,10,5,1,4,14,0,0
53,197,28,10,28,25,6,35,52,5,8
54,150,20,8,23,31,5,14,44,2,3
55,114,12,14,19,9,4,14,25,8,9
56,26,0,3,2,1,0,8,10,2,0
57,14,0,2,0,0,2,0,5,2,3
58,15,0,0,2,2,0,2,9,0,0
59,104,18,7,22,10,0,17,29,0,1
60,129,20,4,20,8,4,21,47,2,3
61,41,5,3,2,5,0,5,15,1,5
62,34,6,9,1,3,0,4,8,2,1
63,227,12,40,30,23,2,10,87,3,20
64,413,21,30,34,88,18,22,168,5,27
65,166,13,13,26,31,5,20,40,0,18
66,23,3,0,8,1,0,4,6,0,1
67,245,14,28,20,45,13,20,72,6,27
68,120,17,14,8,19,4,12,35,2,9
69,58,9,2,10,1,2,16,17,1,0
70,138,16,5,33,8,7,19,41,4,5
71,147,18,34,10,10,0,8,45,2,20
72,101,13,15,29,7,2,17,10,1,7
73,158,19,20,22,24,7,22,27,2,15
74,70,16,10,13,7,1,4,12,3,4
75,276,25,24,35,45,15,25,82,6,19
76,59,2,7,6,5,1,3,27,2,6
77,111,23,3,21,10,2,15,33,0,4
78,120,24,4,28,15,5,8,26,4,6
79,32,1,5,6,4,1,4,7,0,4
