origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,136,21,1,24,11,7,24,46,1,1
2,274,41,8,29,41,9,20,113,1,12
3,349,23,29,32,67,15,13,136,6,28
4,25,3,2,4,0,0,2,12,2,0
5,46,6,2,5,1,3,10,13,2,4
6,28,2,1,4,4,2,3,12,0,0
7,44,8,2,8,3,1,5,11,4,2
8,95,4,9,4,21,3,7,38,5,4
9,26,1,4,2,2,0,6,6,5,0
10,2,0,0,0,0,0,0,2,0,0
11,46,6,3,4,3,1,6,19,3,1
12,137,26,0,27,14,2,29,38,0,1
13,274,39,7,54,31,11,40,78,5,9
14,29,2,7,1,6,3,2,5,0,3
15,17,2,1,2,0,1,5,4,0,2
16,5,0,0,1,3,0,1,0,0,0
17,352,13,32,18,104,18,20,123,4,20
18,117,12,9,18,8,3,22,31,3,11
19,103,11,8,9,15,6,12,32,4,6
20,59,3,2,6,8,5,11,22,0,2
21,84,1,7,4,15,2,8,40,2,5
22,33,2,3,0,4,2,2,13,1,6
23,39,4,6,2,9,1,4,9,1,3
24,72,9,2,22,9,1,9,15,3,2
25,193,25,10,19,12,6,22,92,1,6
26,95,8,4,8,11,1,3,46,5,9
27,247,32,38,28,36,9,12,80,5,7
28,13,0,2,1,4,1,0,5,0,0
29,14,1,3,0,1,0,1,6,0,2
30,183,32,12,47,17,6,23,42,0,4
31,110,20,10,29,5,6,8,25,0,7
32,65,9,5,10,12,3,4,18,0,4
33,107,9,14,13,15,5,19,18,2,12
34,59,6,6,10,14,1,7,13,0,2
35,67,4,5,9,17,1,8,17,2,4
36,124,24,2,28,9,6,25,29,0,1
37,251,41,28,29,28,12,29,59,3,22
38,376,25,68,34,43,9,20,129,8,40
39,209,11,41,11,28,4,10,59,5,40
40,184,22,18,25,22,10,15,57,1,14
41,130,17,6,24,8,2,29,40,3,1
42,71,10,6,10,8,5,13,14,0,5
43,84,11,6,11,7,4,10,22,1,12
44,46,2,8,6,6,2,5,13,1,3
45,106,3,18,10,19,3,9,28,3,13
46,23,0,4,2,1,2,2,7,3,2
47,104,11,14,16,12,3,9,21,6,12
48,224,10,11,14,20,5,17,122,11,14
49,389,10,70,13,71,15,21,134,5,50
50,106,12,7,17,13,1,15,27,4,10
51,37,3,1,1,5,2,7,17,0,1
52,51,12,1,9,2,1,12,12,1,1
53,175,28,14,32,23,6,29,36,3,4
54,171,18,8,27,33,4,26,42,2,11
55,114,17,11,17,11,2,20,25,4,7
56,15,0,1,0,2,2,2,5,2,1
57,17,0,0,1,2,1,4,6,1,2
58,32,0,0,3,2,1,4,22,0,0
59,104,19,7,21,8,3,14,29,0,3
60,122,19,2,17,9,8,22,35,5,5
61,36,0,5,7,7,0,0,14,3,0
62,43,4,3,6,7,0,2,14,1,6
63,202,16,38,14,30,6,21,53,6,18
64,361,19,40,32,89,15,13,118,4,31
65,140,9,11,28,22,8,17,33,2,10
66,36,5,2,4,4,1,10,10,0,0
67,247,6,29,12,69,15,14,71,6,25
68,130,15,12,16,20,3,14,37,1,12
69,68,9,3,15,3,2,17,9,8,2
70,116,23,4,26,5,4,18,36,0,0
71,143,12,32,13,11,4,13,39,2,17
72,96,16,8,20,6,2,9,27,0,8
73,160,22,21,25,25,7,26,17,4,13
74,76,11,5,18,5,2,17,16,0,2
75,232,33,22,33,38,9,17,54,9,17
76,93,2,7,10,12,3,7,35,3,14
77,109,25,1,28,7,4,7,35,0,2
78,113,24,4,25,13,4,12,27,0,4
79,26,1,3,1,6,3,4,4,1,3
80,21,2,2,2,3,1,2,4,2,3
81,130,25,10,19,21,4,15,29,2,5
82,164,23,11,19,12,8,34,45,7,5
84,90,18,1,22,11,3,11,20,2,2
85,44,5,3,6,6,0,11,10,1,2
86,285,52,6,61,17,10,49,80,8,2
87,205,18,18,28,40,6,27,44,4,20
88,249,40,12,62,31,7,27,53,3,14
89,254,28,24,36,44,10,21,69,5,17
90,145,19,8,34,12,8,13,45,2,4
91,113,10,11,23,18,2,15,24,4,6
92,51,6,7,8,9,1,3,15,0,2
93,153,26,13,24,15,5,17,42,0,11
94,45,2,9,3,6,0,7,10,1,7
95,127,17,11,21,27,3,14,25,3,6
96,100,16,8,21,8,2,11,23,2,9
97,78,9,4,17,7,2,13,23,2,1
98,25,2,3,1,0,0,8,10,0,1
99,137,12,22,16,25,2,20,27,3,10
100,177,23,20,31,26,5,23,43,3,3
101,62,10,4,6,16,4,4,16,0,2
102,121,9,12,11,25,4,12,32,3,13
103,106,3,11,11,18,5,9,43,1,5
104,11,1,0,1,1,0,1,6,0,1
105,165,6,25,12,27,5,6,49,5,30
106,111,4,20,4,33,3,2,31,3,11
107,19,1,3,2,5,0,1,6,0,1
108,237,12,52,16,50,8,10,63,4,22
109,115,17,6,19,16,3,18,33,0,3
110,137,18,12,36,11,3,18,27,6,6
111,131,26,1,36,17,6,17,22,1,5
112,318,49,33,67,44,8,30,67,5,15
113,2,0,0,0,1,0,1,0,0,0
114,63,6,3,9,6,6,11,22,0,0
115,128,20,6,38,12,6,26,18,1,1
116,69,15,1,19,6,1,9,17,0,1
117,195,33,4,46,19,13,22,48,2,8
118,154,22,5,25,27,7,14,50,2,2
119,124,15,22,27,11,5,11,24,2,7
120,152,16,14,37,17,7,16,38,2,5
121,27,2,0,9,5,0,5,6,0,0
122,146,10,21,22,29,1,17,33,3,10
123,105,10,7,15,15,3,10,43,0,2
124,307,25,29,28,50,11,11,126,7,20
125,229,9,23,11,56,11,10,99,2,8
126,247,17,25,22,69,7,13,75,2,17
127,154,27,17,32,10,4,10,38,1,15
128,98,8,10,6,28,6,6,28,2,4
129,51,8,5,5,5,3,8,14,0,3
130,117,4,14,11,28,3,3,37,0,17
131,42,4,9,7,4,0,5,4,2,7
132,38,3,3,3,7,2,5,9,1,5
133,110,1,22,10,24,3,14,16,8,12
134,15,0,3,1,4,1,0,4,2,0
135,49,2,2,10,7,1,3,18,3,3
136,289,31,10,77,31,10,30,83,6,11
137,161,29,4,50,10,4,19,39,1,5
138,10,0,1,2,1,0,2,4,0,0
139,52,9,1,19,4,1,11,7,0,0
140,96,21,2,23,9,1,14,22,2,2
141,180,40,4,26,21,3,27,55,0,4
142,111,15,4,26,8,3,22,28,1,4
143,251,11,23,12,83,10,16,70,8,18
144,172,19,8,30,27,8,15,45,4,16
145,180,39,9,39,8,9,30,35,2,9
146,49,9,1,9,8,1,8,10,1,2
147,133,7,9,9,34,12,6,43,1,12
148,231,26,20,23,52,9,17,71,1,12
149,73,5,7,7,21,5,4,23,0,1
150,143,14,7,14,34,5,9,51,0,9
151,36,5,2,4,3,1,9,10,1,1
152,15,2,0,4,1,0,3,5,0,0
153,45,7,1,8,3,3,8,13,0,2
154,312,59,20,58,40,6,34,79,1,15
155,69,3,11,13,5,3,10,17,0,7
156,58,6,7,14,1,1,6,19,1,3
157,57,5,6,11,2,1,5,17,1,9
158,68,7,3,6,11,2,4,30,1,4
159,91,5,15,9,20,4,10,25,1,2
160,13,1,1,1,2,1,0,3,1,3
161,32,4,1,7,8,0,1,11,0,0
162,81,18,7,13,10,3,6,14,2,8
163,52,5,4,4,9,5,3,18,1,3
164,37,1,3,1,10,6,3,12,0,1
165,69,15,4,9,10,2,9,17,0,3
166,40,8,1,9,1,2,8,10,0,1
167,174,22,18,22,33,5,12,36,1,25
168,41,5,2,6,7,1,4,14,0,2
169,108,11,16,12,18,7,9,18,2,15
170,38,2,3,1,10,0,2,19,0,1
171,74,4,8,8,13,9,4,20,4,4
172,119,14,11,25,15,5,16,29,1,3
173,24,1,4,0,8,1,0,6,1,3
174,12,0,1,0,5,1,1,4,0,0
175,16,3,1,1,3,1,0,4,1,2
176,71,7,4,12,9,1,9,24,2,3
177,200,24,8,20,44,15,15,50,10,14
178,118,25,3,28,14,8,17,20,1,2
179,26,5,3,4,6,0,1,4,1,2
180,75,10,6,12,3,3,12,19,1,9
181,58,7,1,8,9,1,8,21,1,2
182,55,10,3,15,1,0,12,11,0,3
183,60,14,0,17,6,0,9,12,0,2
184,46,12,0,12,5,2,6,9,0,0
185,159,19,5,32,29,4,24,39,3,4
186,107,18,5,31,14,2,14,21,0,2
187,279,17,29,18,73,10,19,95,4,14
188,231,14,46,18,37,12,29,55,9,11
189,240,38,14,44,47,6,18,58,4,11
190,80,8,6,19,14,3,8,20,0,2
191,72,11,3,20,5,1,4,27,0,1
192,404,37,49,56,94,19,35,90,6,18
193,256,44,16,40,45,6,24,67,3,11
194,21,5,0,8,0,1,4,3,0,0
195,156,24,9,36,11,4,26,37,2,7
196,14,4,0,1,1,1,1,6,0,0
197,364,35,20,69,58,20,36,99,4,23
198,241,32,12,28,55,9,18,72,4,11
199,243,40,12,50,45,11,28,45,3,9
200,59,13,1,15,4,0,16,10,0,0
201,111,17,3,24,16,4,16,30,1,0
202,67,8,1,15,15,1,12,15,0,0
203,321,35,18,53,78,14,24,78,6,15
