origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,154,0,0,0,0,1,5,7,18,17,9,7,6,9,8,9,9,15,10,8,5,4,4,3,0,1,134,0,0,0,0,0,1,2,6,4,9,10,7,10,5,6,14,7,10,10,10,9,5,8,1
2,315,1,0,0,0,0,4,14,14,23,23,23,24,20,17,25,22,13,20,23,17,11,14,6,1,2,317,0,5,0,0,0,1,7,5,17,13,20,20,19,22,31,24,18,23,30,21,18,11,6,5
3,347,1,1,0,1,0,6,3,17,25,28,21,16,28,25,17,27,24,29,18,18,18,14,8,2,3,349,0,3,1,0,0,0,9,14,25,23,30,32,31,21,15,23,28,15,18,18,14,13,7,8
4,28,0,0,0,0,0,1,5,2,1,2,1,1,2,1,4,2,2,2,0,1,1,0,0,0,4,20,0,0,0,0,0,0,1,0,1,1,2,2,1,2,1,0,2,1,0,2,1,1,2,0
5,69,0,1,0,0,2,1,5,2,2,4,7,7,2,2,3,9,2,7,1,4,3,3,1,1,5,66,0,0,0,1,0,2,1,4,4,3,3,3,3,4,3,2,5,5,5,5,4,4,3,2
6,23,0,0,0,0,0,0,1,3,1,2,1,0,0,2,3,0,2,3,2,0,1,1,1,0,6,19,0,0,0,0,0,0,1,2,2,1,0,1,1,0,1,1,3,1,0,1,1,2,0,1
7,35,0,0,0,0,0,1,2,4,2,4,2,1,2,1,3,4,4,2,0,0,2,1,0,0,7,32,0,0,1,0,0,0,0,1,3,1,2,0,2,1,4,1,3,2,3,4,1,2,1,0
8,91,1,0,0,0,0,0,1,4,1,2,9,5,5,8,10,4,10,6,4,4,5,7,5,0,8,113,0,0,0,0,0,0,1,3,10,5,8,3,9,11,2,5,3,13,16,9,3,9,2,1
9,20,0,0,0,0,0,2,1,5,1,1,0,1,0,0,0,1,2,2,1,1,1,1,0,0,9,19,0,0,0,0,0,0,1,0,5,1,0,0,2,0,0,2,3,1,0,2,0,1,0,1
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
