origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,114,0,0,0,0,1,7,6,12,11,11,10,5,8,5,8,6,10,5,3,0,3,1,0,2,1,132,0,0,0,0,0,0,1,1,6,6,8,8,11,6,5,11,11,18,10,7,5,9,8,1
2,238,1,0,0,0,2,6,11,25,18,12,11,16,25,12,13,23,17,12,14,5,5,6,3,1,2,255,0,2,0,1,0,4,5,11,14,16,16,15,18,14,13,19,15,22,27,17,10,7,4,4
3,284,1,0,1,1,1,7,13,7,15,19,21,14,19,19,23,25,21,30,15,12,12,4,3,1,3,289,0,3,0,0,0,1,6,13,24,28,19,26,19,13,24,16,22,16,18,17,10,10,4,0
4,18,0,0,0,0,0,0,2,1,2,2,0,2,4,0,1,0,0,1,2,1,0,0,0,0,4,20,0,0,0,0,0,0,0,1,1,0,2,3,1,4,0,2,2,1,0,1,1,0,1,0
5,58,0,0,1,0,0,1,6,6,2,6,1,5,2,7,2,2,1,4,2,2,3,3,1,1,5,60,0,0,0,0,0,0,2,1,4,4,4,3,4,3,6,2,4,5,3,4,1,3,4,2
6,29,0,0,0,0,0,0,0,1,2,2,1,3,2,5,3,1,0,5,1,1,0,2,0,0,6,26,0,0,0,0,0,0,0,0,2,3,0,3,2,2,1,2,3,0,3,1,3,0,1,0
7,31,0,0,0,0,0,3,3,1,1,2,4,1,1,2,1,3,2,4,0,0,3,0,0,0,7,28,0,0,0,1,0,1,0,4,1,0,1,1,2,0,2,4,1,2,5,3,0,0,0,0
8,79,0,0,0,0,1,0,3,1,4,3,5,6,8,11,5,6,8,4,5,2,5,1,0,1,8,81,0,0,0,0,0,0,0,3,3,14,5,7,7,10,4,7,3,6,3,4,1,2,0,2
9,15,0,0,0,0,3,1,0,1,2,1,0,2,0,0,0,2,2,1,0,0,0,0,0,0,9,11,0,0,0,0,0,1,1,1,2,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0
10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,30,0,0,0,0,0,0,4,1,5,1,1,1,3,2,1,0,3,3,0,2,0,2,1,0,11,30,0,0,0,0,0,0,0,1,2,1,2,2,2,3,0,2,1,0,3,2,5,2,2,0
12,131,1,0,0,0,0,11,19,11,8,4,11,4,6,15,5,6,7,11,5,1,3,3,0,0,12,140,0,3,0,0,0,1,4,6,5,8,3,13,9,6,9,9,9,17,13,10,4,5,5,1
13,237,2,0,0,1,0,8,14,24,18,18,12,20,12,13,8,13,18,20,14,9,5,5,3,0,13,228,0,0,0,0,0,2,6,6,7,9,14,11,6,10,15,26,23,26,21,16,16,8,3,3
14,27,0,0,0,0,0,2,2,4,1,1,1,2,1,2,1,2,5,2,0,0,0,1,0,0,14,23,0,0,0,0,0,0,0,2,4,1,1,1,2,2,1,4,1,0,1,1,1,0,1,0
15,15,0,0,0,0,0,2,0,0,0,3,0,0,1,0,1,1,1,0,2,1,2,0,1,0,15,18,0,0,0,0,0,0,1,0,1,4,2,0,1,0,1,1,2,0,1,0,1,0,2,1
16,5,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1
17,346,3,0,0,0,0,0,3,10,11,16,13,18,20,29,28,34,23,46,32,23,22,10,4,1,17,335,0,0,0,0,0,0,4,14,15,21,25,22,31,24,27,27,29,37,19,17,11,5,6,1
18,113,0,1,1,0,1,2,6,6,6,7,5,7,11,1,11,7,9,14,3,10,3,2,0,0,18,101,0,0,1,0,1,2,1,5,6,10,6,8,7,8,9,5,5,3,9,1,7,4,2,1
19,112,2,0,0,0,1,3,5,6,4,4,3,5,7,8,8,11,13,10,6,4,3,4,2,3,19,108,0,2,0,0,0,2,6,8,11,6,4,8,8,4,6,5,6,6,7,8,0,5,1,3
20,50,1,0,0,0,0,1,1,3,1,8,4,3,2,2,5,3,3,3,1,0,4,2,3,0,20,48,0,0,0,1,0,0,1,3,3,2,4,3,2,2,2,2,4,3,2,3,2,1,6,1
21,56,0,0,0,0,0,2,1,0,3,3,6,4,4,4,5,6,3,9,1,2,0,1,2,0,21,58,0,0,0,0,0,0,1,1,1,5,2,7,8,1,5,9,5,3,5,1,1,1,1,1
22,39,0,0,0,0,0,0,0,2,1,3,0,3,3,3,4,3,4,3,4,6,0,0,0,0,22,43,0,0,0,0,0,0,3,2,5,1,1,3,1,5,2,5,2,4,2,3,1,1,0,2
23,32,0,0,0,0,0,0,1,2,5,1,4,2,3,0,1,1,7,1,1,2,0,1,0,0,23,35,0,0,0,0,0,1,0,2,5,2,0,3,4,3,5,3,1,2,0,0,1,2,0,1
24,48,0,0,0,0,0,1,1,8,3,4,2,1,1,2,2,4,3,9,5,0,0,1,1,0,24,57,0,1,0,0,0,0,2,3,4,0,1,5,5,5,3,5,4,4,4,4,1,4,0,1
25,128,0,0,1,0,0,5,7,9,13,8,6,7,7,7,16,11,5,6,7,5,5,3,0,0,25,123,0,0,1,0,0,0,5,7,8,8,2,6,5,8,9,16,8,9,10,4,5,7,5,0
26,76,1,0,0,0,0,2,3,3,3,4,5,3,5,5,5,10,7,6,2,3,3,4,2,0,26,66,0,0,0,0,0,0,1,1,4,5,2,2,4,4,7,5,6,7,7,3,6,2,0,0
27,223,2,0,0,0,0,5,12,14,12,8,14,12,12,14,19,14,15,24,14,10,13,3,3,3,27,223,0,0,1,0,0,1,3,6,18,13,20,14,13,15,14,23,13,12,23,12,10,7,3,1
28,9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,0,1,0,1,0,0,0,28,8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0
29,10,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,2,3,0,0,0,0,0,29,10,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,1,0,1,0,0,0,0,0
30,180,0,0,0,0,1,7,9,14,16,17,14,8,16,9,14,10,10,8,11,6,4,4,2,0,30,186,0,0,0,0,0,0,1,5,8,11,6,5,17,10,12,20,19,19,14,13,8,8,7,1
31,141,0,0,0,0,1,1,15,13,16,4,4,2,9,5,11,12,12,13,11,4,3,4,0,1,31,136,0,0,0,1,0,0,2,11,10,4,3,8,7,11,10,13,10,14,8,9,5,6,4,0
32,54,0,0,0,0,0,2,4,4,4,1,2,5,2,0,6,5,5,6,5,2,1,0,0,0,32,49,0,0,0,0,0,0,4,6,4,4,1,2,3,2,1,3,2,6,4,3,2,2,0,0
33,107,1,0,0,0,1,2,2,0,8,7,5,8,9,11,4,10,15,6,7,5,5,1,0,0,33,102,0,0,0,0,0,0,0,2,12,6,7,5,12,6,10,9,4,4,10,8,2,1,3,1
34,57,0,0,0,0,1,1,3,7,2,6,5,2,1,8,3,7,6,2,1,0,1,0,1,0,34,50,0,0,0,0,0,1,0,4,2,9,5,5,0,4,3,3,2,2,3,0,3,2,2,0
35,53,0,0,0,0,0,1,1,2,5,4,4,2,5,4,4,2,4,4,5,3,3,0,0,0,35,52,0,0,0,0,1,0,0,1,3,5,6,2,3,5,2,0,3,4,8,1,2,5,1,0
36,142,2,0,0,0,0,4,12,18,15,8,9,13,3,4,5,10,11,7,6,7,3,4,0,1,36,151,0,3,0,0,0,1,0,5,4,9,5,8,10,2,15,13,10,7,17,8,13,10,9,1
