origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
144,142,15,5,30,18,8,20,33,4,9
145,175,36,2,52,10,3,31,36,2,3
146,56,6,3,14,8,1,6,11,3,4
147,153,10,9,14,34,8,13,46,2,17
148,256,24,16,39,52,11,23,84,0,7
149,110,7,10,8,26,4,12,32,3,8
150,162,14,11,19,22,6,11,73,0,6
151,40,2,0,7,5,1,11,14,0,0
152,10,3,0,1,0,0,2,4,0,0
153,51,9,3,8,3,2,12,11,1,2
154,264,34,18,52,39,12,31,60,4,14
155,57,1,6,14,10,4,6,13,0,3
156,83,8,7,8,7,1,4,39,3,6
157,79,4,9,19,3,1,9,29,1,4
158,90,5,4,6,16,3,6,50,0,0
159,92,10,9,7,18,6,4,31,1,6
160,10,1,1,2,1,0,2,3,0,0
161,55,4,4,7,10,2,5,21,0,2
162,89,14,9,14,19,1,7,18,2,5
163,48,6,3,0,12,1,2,21,0,3
164,34,4,3,3,4,1,1,18,0,0
165,80,14,3,9,8,5,14,22,0,5
166,36,8,1,6,0,4,9,5,1,2
167,143,17,15,16,21,5,12,40,4,13
168,38,9,1,10,5,0,4,7,1,1
169,105,10,13,18,14,5,12,27,1,5
170,46,2,2,3,16,1,1,19,0,2
171,61,2,7,8,10,2,3,22,0,7
172,140,13,9,28,16,5,14,46,0,9
173,53,4,6,3,13,1,4,17,3,2
174,13,0,1,2,3,2,0,5,0,0
175,13,1,0,2,4,1,1,4,0,0
176,71,10,4,13,4,1,12,25,1,1
177,223,20,20,31,45,13,22,57,4,11
178,128,26,5,36,9,3,15,28,1,5
179,17,2,1,2,5,0,2,5,0,0
180,76,8,4,13,4,4,14,25,0,4
181,76,13,3,19,3,4,7,21,3,3
182,59,7,3,11,0,3,16,14,2,3
183,66,15,0,15,7,0,7,21,0,1
184,82,16,1,21,3,2,11,26,2,0
185,178,28,6,35,28,6,18,53,2,2
186,115,15,8,32,11,2,15,29,1,2
187,299,19,31,19,78,14,17,99,4,18
188,239,5,36,18,57,8,25,56,6,28
189,222,41,8,31,50,8,18,59,2,5
190,80,8,5,9,21,3,9,19,2,4
191,76,8,2,23,4,5,6,25,0,3
192,402,24,44,56,80,11,36,116,4,31
193,268,31,17,36,47,16,24,83,1,13
194,21,6,2,1,5,1,4,2,0,0
195,195,29,14,38,17,12,21,56,3,5
196,11,0,1,1,2,0,2,3,1,1
197,351,33,16,48,60,20,36,112,3,23
198,226,29,10,36,35,5,26,74,2,9
199,253,37,12,51,37,4,32,71,2,7
200,68,9,4,19,5,0,14,17,0,0
201,130,15,1,31,14,5,19,42,1,2
202,67,4,5,16,2,0,10,29,1,0
203,325,37,19,52,55,14,35,95,6,12
204,64,11,1,18,4,3,14,10,2,1
205,135,14,7,28,8,3,18,49,1,7
206,224,25,12,50,17,2,39,61,5,13
207,219,28,10,68,19,6,28,53,1,6
208,391,52,28,70,65,15,37,106,4,14
209,323,27,15,51,68,17,32,93,5,15
210,219,20,16,35,42,5,22,68,1,10
211,105,9,4,22,14,5,16,32,1,2
212,57,4,1,17,8,2,4,20,0,1
213,635,68,39,169,61,14,70,160,14,40
214,274,35,5,62,25,13,49,70,1,14
215,177,16,8,49,23,4,26,41,3,7
216,76,6,1,16,8,3,20,22,0,0
217,64,9,0,11,8,1,11,22,0,2
218,327,59,3,92,26,5,42,86,2,12
219,50,6,0,12,8,2,8,12,1,1
220,52,6,1,6,5,0,14,11,5,4
221,116,9,7,16,18,9,10,36,0,11
222,45,2,3,1,13,4,3,18,0,1
223,7,0,0,1,3,0,0,3,0,0
224,61,5,10,2,15,3,3,19,1,3
225,142,8,14,12,25,6,13,46,5,13
226,85,3,10,15,4,6,9,31,1,6
227,57,1,6,9,7,3,7,18,2,4
228,54,0,2,0,20,3,0,28,0,1
229,215,33,11,43,27,9,28,52,0,12
230,68,12,4,10,6,4,8,20,1,3
301,100,16,2,16,5,2,24,30,2,3
302,192,20,4,27,22,6,26,76,2,9
303,7,2,0,1,0,0,3,1,0,0
304,378,53,9,96,34,6,51,101,12,16
305,198,24,11,22,29,9,22,71,4,6
306,53,6,1,8,3,2,10,19,3,1
307,64,8,4,6,1,2,15,15,8,5
308,163,30,2,32,7,4,24,52,2,10
309,382,47,15,78,31,18,51,116,12,14
310,236,22,25,40,21,4,35,64,5,20
311,126,17,7,21,8,5,23,43,0,2
312,175,38,2,46,12,5,20,50,0,2
313,70,7,3,17,6,3,19,13,1,1
314,12,0,1,1,3,0,1,4,0,2
315,71,7,1,13,6,3,12,21,2,6
316,164,17,10,37,22,9,26,32,4,7
317,30,2,2,7,3,1,6,6,0,3
318,131,6,11,11,27,7,7,53,1,8
319,40,3,2,4,9,0,2,17,0,3
320,42,9,5,2,4,2,4,13,2,1
321,92,7,3,15,14,3,11,33,2,4
322,67,6,1,18,7,0,11,21,0,3
323,187,19,11,20,45,13,16,52,0,11
324,284,28,10,58,45,10,27,98,2,6
325,195,11,13,28,37,7,14,58,4,23
326,24,3,0,3,3,1,5,9,0,0
327,24,1,0,4,8,3,5,1,2,0
328,200,32,9,30,19,5,37,52,5,11
329,53,9,2,9,7,0,12,9,0,5
330,73,15,0,17,7,1,12,18,1,2
331,7,0,1,0,0,0,1,2,1,2
332,92,6,3,5,32,5,3,35,1,2
334,72,13,1,21,6,0,13,12,3,3
335,83,14,1,20,4,3,21,18,0,2
336,43,4,0,6,5,4,12,12,0,0
337,11,1,0,2,0,0,4,4,0,0
338,41,8,0,9,3,0,15,6,0,0
339,47,3,3,11,12,1,4,12,1,0
340,228,42,16,60,25,6,21,38,4,16
341,85,9,8,10,9,2,13,22,2,10
342,221,28,15,52,19,7,24,56,6,14
343,32,2,5,2,5,0,3,14,0,1
344,168,26,10,46,19,5,22,32,2,6
345,71,1,7,11,10,6,8,22,1,5
346,120,19,13,21,9,3,9,26,2,18
347,275,32,34,47,28,4,25,70,6,29
348,60,4,5,7,10,1,9,14,2,8
349,46,4,3,9,10,0,4,14,0,2
350,68,3,5,5,11,9,4,29,1,1
351,61,1,5,11,10,3,8,17,2,4
352,304,12,61,13,26,6,17,107,7,55
353,54,1,14,0,8,0,2,13,5,11
354,393,13,72,16,50,6,14,134,8,80
355,18,0,2,1,1,1,0,9,1,3
356,22,1,3,2,3,2,1,9,0,1
357,17,1,2,2,1,0,1,3,1,6
358,21,0,3,1,3,0,1,8,0,5
359,12,0,3,1,0,1,1,1,2,3
360,38,1,6,9,4,1,0,5,8,4
361,20,0,3,4,1,0,4,3,2,3
362,24,0,0,3,5,1,5,9,0,1
363,5,0,0,1,0,0,0,4,0,0
364,127,12,7,23,23,1,8,36,3,14
365,46,4,4,6,6,2,2,17,1,4
366,80,10,8,10,9,1,11,24,2,5
367,182,5,33,10,30,5,11,60,6,22
368,16,0,1,1,6,0,3,3,1,1
369,12,0,1,1,1,0,1,7,0,1
370,55,5,10,5,10,1,4,9,3,8
371,137,6,7,15,20,11,21,47,2,8
372,115,7,17,18,18,4,6,34,2,9
373,46,1,11,0,11,3,1,16,1,2
374,81,6,3,6,16,5,10,26,3,6
375,9,0,0,3,0,0,2,4,0,0
376,35,5,3,4,6,2,8,5,0,2
377,33,5,1,4,2,1,6,12,0,2
378,42,6,2,6,4,0,10,12,0,2
379,32,4,0,6,5,1,3,9,0,4
380,93,9,0,21,6,6,20,26,3,2
381,94,5,5,10,18,6,8,33,1,8
382,117,12,3,26,6,1,28,33,5,3
384,24,2,3,3,6,0,2,7,0,1
385,3,1,0,2,0,0,0,0,0,0
386,35,2,4,5,9,3,1,10,0,1
387,22,1,0,2,8,2,1,7,0,1
388,159,14,15,34,18,4,20,37,5,12
389,7,2,0,2,0,0,2,1,0,0
390,12,1,0,3,1,0,4,2,0,1
