origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,143,16,3,21,16,5,17,61,4,0
2,314,21,9,40,52,17,21,140,1,13
3,344,12,34,25,67,16,19,149,6,16
4,22,2,0,2,1,0,4,13,0,0
5,62,5,6,7,8,4,7,18,4,3
6,18,2,2,2,1,1,8,1,0,1
7,27,5,0,4,2,0,10,6,0,0
8,102,3,9,7,29,4,4,41,1,4
9,18,2,1,4,0,1,4,5,0,1
10,2,0,0,1,0,0,0,1,0,0
11,37,1,1,11,2,1,5,13,1,2
12,164,18,0,39,14,3,39,45,2,4
13,219,25,3,58,15,4,33,72,5,4
14,22,2,1,4,1,0,3,10,0,1
15,15,4,2,2,0,0,5,2,0,0
16,13,1,1,1,4,0,1,4,0,1
17,524,9,34,27,169,23,17,221,6,18
18,123,9,8,27,15,4,14,37,3,6
19,86,9,6,9,13,3,6,31,5,4
20,69,5,3,6,16,3,9,23,0,4
21,61,0,5,4,11,3,4,31,1,2
22,36,1,4,2,13,2,1,10,1,2
23,29,2,4,2,4,1,6,6,3,1
24,66,8,5,13,4,2,14,15,0,5
25,253,17,5,24,21,2,22,159,0,3
26,120,11,3,11,7,2,11,68,2,5
27,216,17,15,33,31,3,20,79,2,16
28,22,0,1,1,7,0,1,11,0,1
29,23,0,4,0,6,1,0,12,0,0
30,217,23,9,42,25,10,27,71,2,8
31,120,13,12,25,9,3,23,30,2,3
32,64,5,7,7,8,2,9,23,0,3
33,95,9,5,19,25,3,9,20,2,3
34,64,3,4,16,14,3,7,15,0,2
35,59,4,4,9,11,0,6,18,1,6
36,138,16,2,35,14,1,29,40,0,1
37,223,23,16,53,24,3,25,62,2,15
38,354,13,51,37,36,5,25,140,7,40
39,212,8,28,18,31,7,11,65,6,38
40,196,22,13,15,24,8,17,74,5,18
41,145,13,3,27,8,3,48,37,3,3
42,64,7,4,11,6,3,3,19,5,6
43,92,7,7,14,15,4,11,29,2,3
44,26,1,1,5,0,0,6,12,0,1
