origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,135,0,0,0,0,1,1,7,13,14,14,11,7,7,9,11,9,9,1,5,4,4,4,4,0,1,143,0,0,0,0,0,1,3,4,7,11,9,3,6,8,14,9,5,8,12,10,13,10,7,3
2,258,1,0,0,0,0,2,15,10,25,21,20,16,14,14,25,18,17,15,20,13,6,3,3,0,2,260,0,3,1,0,1,2,5,7,15,13,15,16,16,18,17,23,19,20,27,22,6,6,8,0
3,328,3,1,1,0,0,6,8,14,19,16,19,25,20,18,24,26,28,37,19,14,10,13,7,0,3,321,0,2,2,1,1,0,7,10,20,25,16,21,28,28,17,20,24,21,22,13,16,6,11,7
4,25,0,0,0,0,0,1,1,3,2,1,4,3,1,1,0,1,1,0,2,2,2,0,0,0,4,25,0,1,0,0,0,0,1,0,1,2,3,1,1,0,1,1,1,1,3,2,1,4,1,0
5,75,0,1,0,0,1,1,4,9,5,1,3,3,5,6,3,3,7,6,5,6,2,2,1,1,5,74,0,0,0,0,0,2,1,6,5,1,5,3,3,3,6,7,2,5,6,7,5,2,3,2
6,26,1,0,0,0,1,0,0,4,2,3,0,1,3,4,1,2,0,1,1,1,0,0,1,0,6,22,0,0,0,0,0,0,0,0,2,1,3,1,3,0,3,2,1,2,1,1,0,0,1,1
7,43,0,0,1,0,0,1,1,3,4,5,4,2,4,4,4,1,1,4,0,0,3,1,0,0,7,41,0,0,0,0,0,0,1,3,4,1,5,1,2,4,4,2,1,1,4,3,0,4,1,0
8,88,1,0,0,0,1,0,2,3,3,5,4,5,9,10,4,5,9,12,6,3,4,1,0,1,8,87,0,0,0,0,0,0,3,4,8,7,10,8,5,9,7,3,7,1,7,3,1,2,0,2
9,26,0,0,0,0,0,1,0,1,2,1,2,2,2,1,1,1,5,2,1,0,1,2,1,0,9,24,0,0,0,0,0,1,0,0,1,1,3,1,1,1,2,1,1,1,1,3,0,2,2,2
11,38,1,0,0,0,0,2,3,1,3,4,3,2,4,0,1,1,4,1,2,4,0,1,1,0,11,33,0,0,0,0,0,2,0,1,2,3,1,1,1,3,1,2,1,3,4,1,1,3,2,1
12,174,2,0,0,1,2,15,21,14,16,5,9,7,11,6,10,8,7,7,5,9,7,8,2,2,12,166,0,4,0,0,0,1,6,5,4,8,3,5,14,9,9,9,16,12,15,12,15,9,4,3
13,221,2,0,0,0,0,3,23,19,22,12,15,17,13,9,14,10,17,12,5,8,13,4,2,1,13,227,0,2,0,0,0,0,5,8,7,10,9,19,15,11,14,24,18,20,21,14,13,9,5,3
14,28,0,0,0,0,0,2,2,2,2,1,0,1,4,1,0,2,3,4,0,2,1,1,0,0,14,24,0,0,0,0,0,0,1,1,4,2,3,0,1,2,0,2,2,1,2,2,0,0,0,1
15,12,0,0,0,0,0,0,2,0,0,2,2,0,1,1,1,0,0,1,1,0,1,0,0,0,15,16,0,0,0,1,0,0,0,0,1,3,0,2,1,0,1,1,1,0,3,0,1,1,0,0
16,14,0,0,0,0,0,0,1,2,1,0,3,1,1,0,1,0,1,0,1,1,0,1,0,0,16,10,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,2,0,0,0,1,1,0,0
17,380,3,0,0,0,1,3,3,7,11,14,14,28,29,32,36,32,23,29,34,26,27,19,8,1,17,388,0,3,0,0,0,0,3,10,13,26,24,29,39,27,25,41,18,37,35,19,16,10,8,4
18,125,0,0,0,0,0,5,6,9,14,5,10,7,4,10,5,10,8,15,4,5,4,2,2,0,18,112,0,0,0,1,0,1,2,5,9,8,5,3,9,10,9,2,4,10,9,2,5,11,4,3
19,106,1,1,0,1,1,2,4,6,5,6,8,7,5,5,11,8,7,5,5,7,8,3,0,0,19,106,0,1,1,0,0,0,4,6,9,9,5,6,6,5,9,6,10,4,8,6,4,2,1,4
20,56,1,0,0,0,0,1,7,3,4,2,2,5,3,6,3,3,3,5,1,3,1,2,1,0,20,56,0,1,0,0,0,0,6,2,5,3,3,2,5,5,1,4,3,2,3,3,2,2,2,2
21,57,0,0,0,0,0,2,0,2,2,3,3,5,5,8,3,5,3,7,3,2,2,2,0,0,21,57,0,0,0,0,0,0,3,2,3,4,4,3,6,5,3,5,2,8,5,1,2,0,1,0
22,45,0,0,0,0,1,0,0,1,4,0,4,4,3,5,3,5,2,5,3,1,3,1,0,0,22,40,0,0,0,0,0,0,0,2,2,4,4,3,6,1,2,2,4,4,3,2,0,0,0,1
23,39,0,0,0,0,0,1,2,2,3,1,6,2,5,4,4,1,3,3,2,0,0,0,0,0,23,36,0,1,0,0,0,0,0,3,2,2,3,6,4,4,6,1,2,0,1,1,0,0,0,0
24,57,0,0,0,0,0,1,3,4,4,1,3,3,2,2,3,5,5,6,4,3,2,4,2,0,24,61,0,0,0,0,0,0,0,1,3,3,3,1,3,2,4,6,10,5,4,3,3,3,3,4
25,150,0,0,0,0,0,7,7,8,12,10,5,6,23,10,10,5,9,14,4,16,2,0,2,0,25,130,0,0,2,0,0,1,9,4,5,7,13,9,4,9,3,11,14,14,8,8,2,4,1,2
26,70,0,0,0,0,0,4,7,3,3,5,4,5,3,4,4,7,3,6,6,3,1,2,0,0,26,77,0,0,0,0,0,0,4,2,4,9,6,5,4,3,10,5,5,4,2,6,1,2,3,2
27,230,1,0,1,1,1,7,5,14,7,12,8,14,11,25,12,23,6,30,16,13,8,8,6,1,27,244,0,1,0,0,0,1,5,4,19,18,15,13,22,15,17,11,13,22,22,19,10,8,7,2
28,21,0,0,1,0,0,0,0,0,1,0,1,0,1,2,4,0,4,1,4,1,1,0,0,0,28,21,0,0,0,0,0,0,0,0,1,0,3,1,1,3,3,3,1,3,1,1,0,0,0,0
29,15,0,0,0,0,0,1,0,0,1,1,0,0,2,2,2,0,1,0,2,0,1,1,1,0,29,13,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,1,2,0,2,0,0
30,193,0,0,0,0,0,10,16,13,17,18,9,17,7,11,9,14,8,11,8,10,7,6,2,0,30,195,0,1,2,0,0,0,2,10,11,11,6,8,11,9,21,9,15,20,18,12,16,9,1,2
31,138,0,0,0,0,1,6,9,15,10,6,7,6,13,8,7,15,10,15,5,1,3,1,0,0,31,155,0,0,0,0,0,1,3,7,9,11,3,10,9,16,13,10,8,13,11,10,7,6,5,2
32,62,0,0,0,0,1,1,3,3,3,6,5,3,3,1,4,4,7,4,4,4,2,1,3,0,32,59,0,0,0,0,0,1,5,4,4,4,0,3,3,4,5,9,2,4,1,2,2,2,3,0
33,124,0,0,0,0,0,1,3,3,11,5,7,7,10,11,8,8,16,9,10,7,4,4,0,0,33,124,0,0,0,0,0,0,2,7,7,18,10,7,10,5,7,9,4,10,9,4,4,6,3,2
34,63,0,0,0,0,0,1,5,5,1,4,7,6,5,5,5,2,4,3,5,2,2,1,0,0,34,58,0,0,0,1,0,0,1,2,6,5,4,4,3,3,5,3,3,2,7,2,2,2,1,2
35,41,0,1,0,0,0,0,0,5,7,0,5,2,3,1,4,1,3,4,1,1,1,2,0,0,35,39,0,0,0,0,1,0,1,0,1,3,2,2,1,3,0,4,5,7,3,2,1,2,1,0
36,123,0,0,0,0,0,8,12,8,14,11,5,7,3,7,9,9,6,7,6,5,2,2,2,0,36,129,0,0,0,0,0,0,1,5,3,6,7,3,7,6,11,16,10,10,8,10,7,10,6,2
37,223,1,0,0,0,0,8,11,18,12,16,16,8,10,14,15,17,19,30,14,5,6,1,2,0,37,246,0,0,0,0,0,0,5,10,12,21,18,14,15,11,17,24,14,14,13,21,16,11,8,2
38,333,4,0,0,0,0,5,12,15,18,14,18,14,20,22,16,27,29,47,24,21,14,12,1,0,38,330,0,0,1,0,0,2,14,21,24,25,23,17,23,20,15,19,14,21,29,20,19,10,8,3
39,290,0,2,0,0,2,1,8,12,11,18,18,12,16,25,25,17,32,39,22,9,6,8,5,2,39,257,0,1,0,0,0,1,8,24,38,24,20,24,8,17,23,13,8,15,6,7,6,3,5,4
40,199,0,1,0,0,1,4,8,7,12,7,15,19,17,12,7,11,21,27,14,8,3,4,1,0,40,178,0,2,0,0,0,0,3,8,18,15,12,8,8,12,9,20,10,15,16,10,7,3,2,0
41,122,1,0,0,0,0,12,12,9,8,7,8,7,4,8,7,5,5,8,6,2,6,4,2,1,41,137,0,2,1,0,0,0,6,6,5,8,4,6,2,6,9,8,13,11,16,7,11,3,9,2
42,80,0,0,0,0,0,3,5,13,5,2,4,3,7,4,1,6,6,5,7,2,4,3,0,0,42,69,0,0,0,0,0,0,0,6,4,6,1,6,3,5,0,2,3,4,8,8,5,2,3,3
43,115,1,1,0,0,1,2,7,4,9,6,9,5,6,6,10,6,11,10,3,6,5,5,2,0,43,105,0,0,0,0,0,3,3,6,13,9,1,6,5,5,4,9,7,6,7,7,5,5,3,0
44,58,0,0,0,0,0,1,0,2,3,6,2,2,4,4,14,6,2,2,2,4,4,0,0,0,44,56,0,0,0,0,0,0,3,8,1,5,4,2,4,1,5,4,2,4,4,4,1,3,1,0
45,138,0,0,0,0,0,0,3,2,1,6,4,14,14,3,28,13,3,13,11,11,7,5,0,0,45,124,0,0,0,0,0,0,6,17,10,7,8,6,6,4,12,12,9,5,12,4,3,2,1,0
46,24,0,0,0,0,0,1,2,0,2,2,1,1,2,5,4,0,3,0,1,0,0,0,0,0,46,21,0,1,0,0,0,0,1,2,3,1,0,2,2,0,1,1,0,3,0,1,3,0,0,0
47,83,1,0,0,0,0,3,1,4,10,6,3,4,3,5,14,4,7,4,8,4,2,0,0,0,47,81,0,1,0,0,0,0,5,6,10,5,5,4,5,2,1,6,8,3,7,4,2,3,2,1
48,173,2,0,0,0,1,5,4,5,9,8,7,13,23,12,12,10,14,24,3,12,5,0,1,3,48,163,0,3,0,0,0,2,11,8,10,9,12,16,11,13,10,9,10,8,7,8,7,4,4,1
49,331,1,0,0,1,1,2,6,8,12,10,15,27,19,25,24,25,41,44,25,19,12,6,8,0,49,330,0,1,0,0,0,4,8,29,32,38,25,23,32,21,23,13,12,18,15,14,9,10,3,0
50,106,0,0,0,0,1,2,4,5,9,12,5,11,4,5,10,7,7,8,6,2,3,1,4,0,50,113,0,0,0,0,0,0,2,6,5,9,11,7,7,4,5,10,6,9,11,6,8,5,1,1
51,33,0,0,0,0,0,2,0,4,3,3,0,0,2,3,2,0,2,3,2,2,2,2,0,1,51,36,0,0,0,0,0,0,0,0,2,1,1,1,3,4,2,2,4,3,4,1,1,2,2,2
52,36,0,0,0,0,1,1,6,1,2,2,4,1,3,2,2,2,3,3,0,1,0,0,1,1,52,48,0,1,1,0,0,0,0,2,1,1,1,4,3,3,3,6,4,3,2,3,3,3,3,1
53,185,1,0,0,1,3,6,14,8,15,11,7,11,13,10,11,9,10,9,11,11,13,7,3,1,53,193,0,1,0,0,0,0,5,6,12,10,10,16,12,11,7,17,10,13,16,14,13,7,7,6
54,148,0,0,0,0,1,5,8,7,12,9,7,6,10,12,11,9,12,10,7,7,5,6,3,1,54,171,0,1,1,0,0,0,1,4,5,10,5,14,15,18,10,8,18,14,11,13,6,9,4,1
55,133,1,0,0,0,1,2,8,8,12,11,11,9,13,7,7,7,10,7,6,2,7,1,3,0,55,134,0,1,0,1,0,1,3,7,8,11,8,8,5,7,4,11,11,14,11,3,5,5,5,4
56,25,1,0,0,0,0,1,0,3,0,2,3,2,2,3,3,1,1,1,2,0,0,0,0,0,56,29,0,2,0,0,0,1,2,0,3,4,1,3,1,2,2,1,3,2,0,0,1,1,0,0
