origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,139,4,2,19,25,3,18,68,0,0
2,196,7,5,29,41,2,25,82,0,5
3,255,6,11,32,58,2,18,125,1,2
4,23,1,0,2,1,1,7,7,1,3
5,45,4,1,9,3,2,12,13,0,1
6,15,0,0,2,3,0,2,8,0,0
7,19,1,0,7,1,0,3,7,0,0
8,74,1,0,3,33,1,6,30,0,0
9,18,0,0,4,2,0,4,7,0,1
10,1,0,0,0,0,0,0,1,0,0
11,24,0,0,4,3,1,4,12,0,0
12,137,3,1,28,19,5,23,50,4,4
13,227,6,6,37,42,5,35,87,1,8
14,15,0,1,2,4,0,2,6,0,0
15,13,1,0,1,0,0,3,8,0,0
16,12,0,0,1,4,0,1,5,1,0
17,293,5,10,18,93,9,18,131,2,7
18,72,3,1,18,10,2,9,25,1,3
19,58,6,1,6,10,0,15,18,0,2
20,37,3,2,5,12,0,2,12,1,0
21,37,0,0,2,11,0,4,20,0,0
22,12,3,1,1,3,0,0,4,0,0
23,18,1,0,1,3,0,3,10,0,0
24,51,2,4,17,8,0,11,7,1,1
25,172,8,4,28,14,2,25,90,1,0
26,70,1,3,10,3,0,3,47,2,1
27,168,4,9,28,41,1,18,65,1,1
28,16,1,1,2,3,0,1,8,0,0
29,9,0,0,1,6,0,0,1,1,0
30,172,7,4,40,25,7,32,55,1,1
31,75,2,2,25,6,2,17,21,0,0
32,39,2,1,4,9,0,5,14,1,3
33,60,2,4,7,11,1,11,20,2,2
34,50,2,2,10,10,1,12,12,1,0
35,48,0,3,4,11,1,9,19,0,1
36,108,9,1,34,9,0,29,24,1,1
37,144,11,4,37,17,2,34,37,0,2
38,166,8,8,26,27,1,26,63,2,5
39,78,3,12,11,17,2,6,26,1,0
40,120,3,5,16,28,3,14,46,0,5
41,104,2,10,17,4,0,32,31,5,3
42,48,1,2,6,7,1,12,18,1,0
43,53,1,4,7,6,1,10,22,0,2
44,17,0,0,6,2,0,8,1,0,0
45,59,0,3,6,21,0,5,21,1,2
46,18,0,0,2,3,1,3,7,0,2
47,38,0,2,11,4,0,8,12,0,1
48,239,6,6,10,31,3,10,164,5,4
49,137,7,11,17,33,6,9,50,0,4
50,67,0,2,13,9,0,17,22,1,3
51,26,0,1,2,3,3,12,5,0,0
52,36,2,0,10,5,2,4,12,0,1
53,190,5,11,27,23,6,46,64,7,1
54,127,6,3,26,28,2,21,37,2,2
55,80,3,4,11,6,0,23,29,2,2
56,23,0,0,1,4,0,9,9,0,0
57,19,0,0,4,2,0,3,8,1,1
58,12,0,0,0,0,0,6,6,0,0
59,88,7,1,25,8,1,24,19,0,3
60,74,2,0,21,12,1,20,17,0,1
61,29,4,2,2,4,2,1,12,0,2
62,29,1,2,2,5,1,6,11,0,1
63,108,4,6,18,21,0,17,41,0,1
64,220,6,12,22,72,4,18,74,2,10
65,65,3,0,15,16,0,14,16,0,1
66,25,0,0,6,3,1,8,7,0,0
67,89,7,2,14,15,2,14,33,1,1
