origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,129,0,0,0,0,0,3,8,15,10,7,10,9,4,11,6,5,11,9,7,2,7,3,1,1,1,147,0,1,0,0,0,1,3,5,6,11,7,6,4,8,11,12,8,17,14,6,10,4,9,3
2,268,1,0,0,0,0,3,15,12,25,18,16,19,24,20,19,14,19,15,13,12,10,7,6,0,2,286,0,2,0,0,1,1,4,14,19,16,13,17,22,12,20,26,26,23,27,9,10,13,8,3
3,360,2,0,1,0,1,4,10,19,17,24,30,23,33,29,27,21,17,37,21,14,13,11,4,2,3,323,0,2,0,1,0,3,2,19,23,25,28,25,15,20,25,22,23,15,23,17,10,7,9,7
4,19,0,0,0,0,0,0,3,1,1,2,1,2,1,1,0,1,4,1,0,1,0,0,0,0,4,24,0,0,0,0,0,0,2,1,1,2,1,1,1,2,1,0,0,3,4,1,2,0,1,1
5,71,2,0,0,0,1,1,4,5,0,4,2,8,7,6,2,6,8,5,4,3,0,1,1,1,5,70,0,1,0,0,0,0,1,6,2,4,2,6,5,5,4,5,2,4,6,3,5,1,6,1
6,24,0,0,0,0,0,1,1,3,0,0,1,1,1,3,3,2,1,5,0,1,0,1,0,0,6,27,0,0,0,0,0,0,0,2,0,0,3,2,4,3,1,2,1,4,2,2,1,0,0,0
7,34,1,0,0,0,0,1,3,0,4,0,1,2,1,1,3,3,2,4,4,2,2,0,0,0,7,31,0,1,0,0,0,0,1,3,1,0,0,1,1,1,2,6,3,3,1,2,4,1,0,0
8,110,1,0,0,0,0,1,2,2,3,1,3,13,6,11,9,10,11,13,4,7,7,4,2,0,8,111,0,0,0,0,0,0,1,10,5,6,8,13,6,10,9,6,12,5,10,5,2,2,1,0
9,30,0,0,0,0,0,1,0,4,0,2,2,2,2,1,1,2,7,1,2,2,0,0,1,0,9,35,0,1,0,0,0,0,2,1,4,2,1,2,2,4,2,0,2,2,4,4,2,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,38,0,0,0,0,0,1,2,2,3,5,6,1,0,3,5,2,2,4,2,0,0,0,0,0,11,34,0,0,0,0,0,0,1,1,3,3,1,2,0,0,5,3,3,5,3,1,0,1,2,0
12,135,0,0,0,0,1,10,13,23,9,8,5,10,6,8,2,7,9,2,8,5,4,4,0,1,12,140,0,0,1,0,0,1,3,5,5,7,4,10,5,4,8,14,10,12,18,7,7,8,5,5
13,253,0,0,0,0,1,5,23,18,23,14,18,16,11,12,11,15,17,15,20,10,10,8,4,2,13,264,0,0,0,0,0,0,5,6,11,8,12,16,9,12,21,15,18,28,31,18,18,15,16,3
14,27,0,0,0,0,0,3,2,1,2,0,2,4,2,1,2,1,3,0,1,0,3,0,0,0,14,30,0,0,0,0,0,1,1,1,2,3,0,1,4,4,3,1,1,3,3,1,0,0,1,0
15,21,0,0,0,0,0,0,1,0,1,2,2,1,2,0,1,2,1,3,2,3,0,0,0,0,15,22,0,0,1,0,0,0,2,1,0,1,2,1,1,0,2,2,2,0,4,1,1,1,0,0
16,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0
17,339,0,0,0,0,0,1,8,7,7,12,15,25,21,26,21,25,25,39,28,26,19,28,6,0,17,346,0,0,0,0,0,0,3,9,15,18,22,29,31,27,19,32,25,31,25,33,11,5,5,5
18,120,1,0,0,0,1,1,6,7,4,9,5,10,7,11,6,9,12,15,8,5,1,1,1,0,18,116,0,1,1,0,0,2,4,8,8,8,10,7,7,5,5,8,6,8,5,5,7,6,3,1
19,110,0,1,0,0,0,2,5,7,3,4,5,8,10,4,3,6,11,10,10,6,7,3,2,3,19,114,0,2,0,0,0,1,4,6,7,10,9,8,7,6,8,4,4,6,10,12,1,7,1,1
20,55,1,0,0,0,0,1,1,4,3,5,1,3,2,3,4,6,4,1,5,1,6,3,1,0,20,50,0,0,1,1,0,0,2,3,4,1,2,4,2,1,3,2,4,5,4,5,2,2,2,0
21,54,0,0,0,0,0,2,2,0,2,2,6,6,4,5,2,3,2,9,3,4,0,1,0,1,21,48,0,0,0,0,0,0,1,2,3,5,3,2,4,4,5,3,2,3,7,0,2,1,1,0
22,38,0,0,0,0,0,0,1,1,1,3,4,4,3,3,2,3,4,6,0,2,0,0,1,0,22,38,0,0,0,0,0,1,1,1,3,4,2,6,3,3,3,0,1,2,2,2,1,1,1,1
23,43,0,1,0,0,0,0,2,5,1,1,4,1,3,5,1,5,2,3,1,3,1,2,1,1,23,45,0,0,0,1,0,1,0,1,1,2,1,4,3,3,0,5,5,2,4,2,5,3,1,1
24,68,0,3,0,0,1,2,1,7,5,1,7,3,5,2,4,7,3,5,2,3,2,1,2,2,24,62,0,1,0,0,0,0,3,1,5,1,2,7,3,2,6,6,1,5,1,3,6,4,4,0
25,183,0,0,0,0,0,4,8,10,13,13,14,18,8,16,15,11,11,10,7,5,13,2,4,1,25,157,0,1,0,0,0,0,2,10,13,8,11,7,10,13,12,11,6,12,14,8,10,5,1,1
26,84,0,0,0,0,0,3,4,8,7,4,5,6,6,4,6,4,3,4,4,5,5,3,3,0,26,78,0,0,0,0,0,0,2,3,5,1,4,4,5,7,3,6,7,8,10,6,0,3,1,2
27,229,2,0,1,0,1,4,8,16,15,8,10,10,12,17,14,12,22,27,22,7,9,9,2,1,27,248,0,2,0,0,0,1,4,8,22,13,15,17,19,12,17,21,19,13,20,16,14,8,4,2
28,17,0,1,0,0,0,0,0,0,0,1,2,1,0,1,2,1,1,2,3,2,0,0,0,0,28,18,0,0,0,0,0,0,0,1,0,0,3,2,4,1,1,2,1,2,0,0,0,1,0,0
29,10,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,1,1,0,2,0,0,0,0,29,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,2,0,0,0,1
30,201,1,0,0,0,1,4,19,16,19,15,9,12,16,17,10,9,9,11,11,8,8,4,2,0,30,199,0,1,0,0,0,0,2,6,15,9,10,4,12,14,11,17,13,14,21,16,13,11,5,3
31,105,0,0,0,0,1,2,10,9,18,5,4,6,10,3,8,10,4,1,8,3,1,2,0,0,31,118,0,0,0,0,0,0,4,8,4,5,4,5,4,5,7,6,10,9,15,8,7,10,4,3
32,85,0,0,0,0,0,0,6,7,4,5,5,6,3,7,3,12,8,8,8,1,0,1,1,0,32,80,0,0,0,0,0,1,5,5,4,4,7,4,8,6,9,4,2,5,4,2,1,0,6,3
33,124,0,1,0,0,0,5,4,10,7,10,10,3,3,10,9,13,14,11,3,2,5,0,4,0,33,127,0,1,0,0,0,0,3,8,16,18,9,6,6,12,9,13,2,1,8,3,5,2,2,3
34,75,0,0,0,0,0,0,5,4,3,6,2,3,3,6,7,7,7,8,7,3,2,2,0,0,34,82,0,0,0,0,0,0,1,2,6,5,3,5,5,7,5,5,9,6,12,4,4,2,0,1
35,71,0,0,0,0,1,1,1,4,6,4,4,7,4,8,5,5,6,4,3,1,3,4,0,0,35,69,0,1,0,0,0,0,3,2,4,7,3,5,5,5,6,6,4,5,9,2,1,1,0,0
36,120,0,0,0,0,0,9,14,14,8,9,12,4,5,3,4,7,5,12,7,3,3,1,0,0,36,126,0,0,0,0,0,1,2,4,3,5,7,7,5,12,8,13,9,7,7,12,8,9,6,1
37,224,0,1,0,0,2,5,13,9,25,22,13,13,11,15,17,17,18,17,11,9,5,1,0,0,37,227,0,0,1,0,0,0,7,12,13,23,14,7,7,14,16,21,14,12,21,23,9,9,3,1
38,378,1,1,0,0,1,3,9,25,19,20,18,23,13,28,16,19,40,51,38,27,6,12,4,4,38,354,0,0,0,0,0,1,6,31,28,25,23,21,17,26,21,25,19,20,32,17,12,12,12,6
39,257,0,0,0,0,0,5,3,16,17,11,16,12,11,14,15,21,40,29,19,10,4,7,6,1,39,219,0,1,1,0,0,0,9,19,30,27,13,15,12,16,14,6,9,7,9,11,6,8,3,3
40,176,0,0,0,0,3,1,6,11,14,7,12,9,11,14,14,14,14,13,11,9,5,7,1,0,40,179,0,0,1,0,0,2,0,7,12,16,12,9,18,12,12,10,12,13,14,8,4,9,5,2
41,145,0,0,0,0,0,1,15,11,13,12,13,7,7,7,11,4,5,10,8,10,3,3,5,0,41,141,0,0,0,0,0,1,0,5,11,7,3,6,4,3,11,6,14,14,12,12,13,8,6,4
42,73,0,0,0,0,0,1,4,8,5,2,6,4,5,7,2,6,2,9,3,4,2,2,1,0,42,67,0,0,0,0,0,0,3,5,5,6,0,5,5,1,5,5,2,5,7,4,5,1,2,1
43,100,1,1,0,0,0,3,6,7,9,3,7,6,7,5,7,6,5,9,7,5,2,3,0,1,43,95,0,1,0,0,0,0,2,5,9,6,2,5,5,6,9,4,5,8,12,3,8,0,4,1
44,56,0,0,0,0,0,1,0,2,1,5,5,3,4,8,4,3,5,3,4,4,3,1,0,0,44,55,0,0,0,0,0,1,2,10,7,5,3,2,2,3,3,0,5,1,3,1,4,2,0,1
45,104,3,0,0,0,0,0,3,3,2,3,5,6,6,18,6,3,9,9,7,4,8,5,4,0,45,107,0,0,0,0,0,1,10,11,8,9,6,5,4,3,11,3,7,9,6,3,3,4,3,1
46,39,0,0,0,0,0,0,2,0,1,2,3,1,3,5,3,3,2,4,4,2,2,1,1,0,46,37,0,0,0,0,0,1,2,2,2,1,3,3,2,2,2,4,1,4,0,6,0,0,1,1
47,93,0,0,0,0,0,2,3,4,7,4,10,2,3,7,10,9,8,7,3,3,4,6,1,0,47,85,0,1,0,0,0,0,4,11,2,4,8,2,5,2,7,3,6,7,4,3,6,8,1,1
48,266,1,1,0,0,0,5,6,7,8,17,16,26,15,26,21,21,26,24,4,5,14,10,12,1,48,216,0,2,0,0,0,0,9,8,17,11,16,19,21,21,18,13,13,13,4,6,5,10,4,5
49,346,0,0,1,0,1,3,6,12,15,16,13,22,19,33,28,29,40,48,25,20,10,3,2,0,49,309,0,2,0,1,0,1,5,19,32,34,26,22,23,21,19,25,14,12,23,9,8,7,4,2
50,104,0,0,1,0,1,7,4,5,11,5,5,5,3,9,9,6,7,4,6,9,3,3,1,0,50,112,0,1,0,0,0,3,1,1,11,11,4,6,8,3,10,8,8,7,8,7,8,5,1,1
51,40,0,0,0,0,0,0,1,4,3,2,2,3,0,1,5,3,1,1,2,6,2,3,1,0,51,37,0,0,0,0,0,0,0,0,1,3,2,1,3,3,4,2,2,3,1,4,3,1,3,0
52,37,1,0,0,0,1,4,4,3,2,2,3,2,1,3,0,1,1,3,3,0,3,0,0,0,52,38,0,1,0,0,0,1,1,1,2,2,1,1,0,2,5,0,1,3,6,4,2,3,1,1
53,191,0,0,0,0,1,7,11,15,14,8,17,11,9,9,9,8,11,18,13,9,10,5,4,2,53,190,0,1,0,0,0,0,3,4,8,11,9,10,18,9,12,20,8,18,15,11,15,10,4,3
54,158,0,0,0,0,0,7,6,12,8,10,11,12,13,7,11,6,14,14,11,4,4,3,5,0,54,154,0,0,0,0,0,0,3,3,11,5,13,8,12,16,7,8,10,16,16,6,9,8,3,0
55,136,0,0,0,0,2,1,7,13,7,7,8,8,8,11,15,8,10,14,7,2,3,4,1,0,55,130,0,1,0,0,0,1,3,9,5,6,11,6,10,7,8,8,7,11,10,5,5,13,4,0
56,24,0,0,0,0,0,1,0,1,1,0,1,1,3,5,2,2,2,0,0,1,3,1,0,0,56,24,0,0,0,0,0,0,2,2,2,1,1,2,0,4,2,0,2,1,1,1,0,2,1,0
57,17,0,0,0,0,0,0,1,0,2,1,2,1,0,1,3,0,2,1,0,0,1,1,1,0,57,17,0,0,0,0,0,0,0,1,1,2,1,1,0,1,3,4,0,2,0,0,0,0,1,0
