origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,145,0,1,0,1,0,5,11,10,18,16,13,8,6,8,14,6,5,6,4,3,5,1,4,0,1,139,0,1,0,0,0,0,7,3,3,13,11,10,8,5,8,14,7,11,10,9,4,7,3,5
2,276,1,0,0,0,2,6,11,19,17,23,20,14,20,17,6,22,32,21,13,17,4,7,4,0,2,268,0,1,0,0,1,2,4,8,6,26,15,21,15,23,23,15,24,17,21,13,16,6,5,3
3,364,1,0,1,0,0,6,13,21,22,21,20,21,31,20,24,24,29,36,29,20,14,5,6,0,3,351,0,0,2,0,0,1,7,13,25,26,23,25,25,21,26,26,30,20,18,17,16,13,11,5
4,24,0,0,0,0,1,0,1,3,3,3,0,2,2,2,0,1,0,2,3,1,0,0,0,0,4,17,0,0,0,0,0,1,0,1,1,0,1,1,0,2,1,1,0,3,2,2,0,0,1,0
5,39,1,0,0,0,0,2,6,4,0,1,1,2,3,1,4,3,3,3,3,0,1,1,0,0,5,45,0,2,0,0,0,0,2,5,2,0,2,1,1,5,2,3,3,1,1,5,4,4,2,0
6,30,0,0,0,0,1,1,2,4,4,2,1,1,1,3,0,2,2,3,2,1,0,0,0,0,6,27,0,0,0,0,0,1,0,1,4,1,2,0,2,1,3,1,4,1,2,2,1,0,0,1
7,38,0,0,0,0,0,1,2,4,3,2,4,3,2,1,6,2,2,1,2,2,1,0,0,0,7,40,0,0,0,1,0,0,0,1,5,1,3,4,3,0,1,3,4,3,4,3,2,0,0,1
8,151,0,0,0,0,1,0,2,2,4,5,4,4,11,10,7,11,9,13,14,22,11,12,8,1,8,174,0,0,0,1,0,0,2,3,8,14,13,7,13,12,13,13,12,25,14,9,6,3,4,1
9,28,0,0,0,0,0,2,1,2,4,1,1,2,1,2,3,2,2,4,0,0,0,1,0,0,9,26,0,0,0,0,0,0,0,1,2,3,1,2,1,3,1,3,2,2,3,0,0,1,1,0
11,39,1,0,0,0,0,1,3,0,4,4,2,1,6,3,0,1,5,3,2,1,2,0,0,0,11,36,0,0,0,0,0,1,0,0,2,3,1,1,3,2,4,3,1,4,4,2,3,1,1,0
