origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,143,16,1,31,11,3,22,54,3,2
2,244,38,13,37,39,13,12,75,3,14
3,307,16,31,24,53,17,19,117,7,23
4,21,4,1,7,1,0,3,3,2,0
5,58,7,7,8,8,1,6,18,1,2
6,34,4,3,5,5,1,4,11,0,1
7,33,6,2,2,4,1,2,12,3,1
8,86,3,8,4,20,3,7,35,1,5
9,28,3,2,3,2,0,2,13,2,1
10,2,0,0,0,0,0,0,2,0,0
11,36,6,2,9,2,1,3,9,1,3
12,145,26,2,29,10,1,32,44,0,1
13,223,36,2,46,28,6,44,53,3,5
14,28,2,5,3,4,1,4,6,1,2
15,10,2,1,1,0,0,2,4,0,0
16,5,0,1,1,0,1,0,2,0,0
17,349,12,30,24,98,11,13,136,5,20
18,112,8,15,14,13,3,22,25,2,10
19,90,10,10,9,10,2,12,32,2,3
20,53,7,2,9,9,2,8,14,0,2
21,46,1,2,6,9,0,7,19,0,2
22,33,1,2,1,7,3,1,11,1,6
23,45,3,8,7,5,0,5,12,2,3
24,69,7,3,15,12,2,9,19,1,1
25,199,22,7,15,17,3,22,110,0,3
26,103,8,9,15,9,2,6,44,4,6
27,214,24,26,34,30,8,18,59,1,14
28,13,1,3,0,4,0,0,4,0,1
29,5,0,0,0,1,1,0,2,0,1
30,209,29,9,53,24,8,21,54,2,9
31,116,23,13,15,8,10,16,25,1,5
32,55,10,10,7,2,3,4,14,2,3
33,96,7,13,9,22,2,10,27,0,6
34,60,9,3,7,10,4,8,11,0,8
35,54,6,0,12,3,4,7,19,0,3
36,126,28,1,29,6,2,24,33,1,2
37,218,33,20,34,16,11,25,55,4,20
38,323,24,55,30,43,9,29,84,9,40
39,228,15,56,15,27,3,11,52,4,45
40,171,17,18,22,25,9,14,51,1,14
41,129,19,6,25,10,2,28,36,1,2
42,59,7,4,5,3,4,7,20,0,9
43,98,12,12,14,11,2,16,22,1,8
44,43,2,11,2,7,1,5,8,2,5
45,96,2,17,1,23,3,6,29,1,14
46,35,1,3,5,1,4,8,12,1,0
47,90,11,17,7,16,1,8,17,2,11
48,283,9,9,11,22,5,10,198,10,9
49,329,9,66,13,68,13,17,93,8,42
50,86,10,7,13,6,6,9,21,2,12
51,30,1,1,1,1,4,5,15,0,2
52,37,4,4,4,2,1,9,12,1,0
53,193,25,11,36,16,5,43,45,7,5
54,165,23,7,18,33,3,22,51,1,7
55,136,17,18,16,10,5,17,36,4,13
56,35,2,2,3,0,1,7,9,5,6
57,18,1,1,1,1,1,2,7,4,0
58,26,0,0,3,5,0,2,16,0,0
59,103,10,3,25,10,4,21,28,0,2
60,120,20,2,20,7,5,15,41,4,6
61,30,1,3,5,3,1,3,12,1,1
62,47,3,10,7,6,0,4,11,2,4
63,223,13,39,19,31,5,9,73,8,26
64,390,22,38,27,88,21,20,150,5,19
65,125,9,15,19,24,3,16,27,2,10
66,30,3,2,4,3,2,7,6,2,1
67,251,9,37,13,55,7,23,78,6,23
68,138,14,16,10,27,4,19,36,2,10
69,43,9,1,9,4,1,9,8,1,1
70,134,20,3,25,8,7,19,47,0,5
71,161,18,45,13,14,5,11,38,2,15
72,92,19,7,14,4,4,12,24,1,7
73,131,23,15,21,16,2,15,27,0,12
74,64,14,6,18,1,1,8,12,1,3
75,236,30,18,30,40,12,19,62,5,20
76,79,1,11,3,13,3,3,33,2,10
77,118,26,1,22,9,3,17,40,0,0
78,105,28,3,17,6,7,10,27,1,6
79,23,1,7,2,4,0,0,4,1,4
80,39,2,7,1,13,1,0,12,1,2
81,108,16,7,24,14,3,11,26,2,5
82,142,17,6,18,11,5,28,48,2,7
84,91,15,2,12,7,7,20,24,1,3
85,36,5,0,9,3,2,8,7,1,1
86,318,59,8,64,29,6,51,89,6,6
87,168,11,19,29,30,3,26,29,8,13
88,238,43,20,43,32,6,22,61,3,8
89,236,23,26,22,43,13,14,71,3,21
90,122,15,5,29,9,4,17,38,0,5
91,114,10,12,27,13,1,14,28,2,7
92,52,8,4,3,8,0,5,16,1,7
93,125,22,12,25,12,2,15,28,0,9
94,36,2,4,2,7,1,4,9,2,5
95,120,14,13,21,23,5,11,21,5,7
96,110,12,6,20,19,7,16,17,4,9
97,63,10,5,15,7,3,10,10,1,2
98,22,3,1,3,4,2,3,2,1,3
99,124,12,22,17,16,5,13,26,2,11
100,150,25,11,26,22,5,14,38,3,6
101,56,10,2,7,11,1,7,14,2,2
102,121,8,14,8,16,7,8,42,5,13
103,100,11,9,10,13,8,5,38,0,6
104,12,0,3,0,2,1,3,3,0,0
105,150,5,20,11,34,5,3,41,2,29
106,115,3,22,4,22,4,5,37,2,16
107,16,0,0,0,8,0,1,3,1,3
108,231,15,53,13,45,8,14,46,3,34
109,111,12,3,18,12,1,22,38,1,4
110,107,17,6,24,10,2,23,16,3,6
111,130,30,4,30,17,4,16,26,0,3
112,286,47,16,67,34,5,29,71,5,12
113,6,4,0,0,0,0,0,2,0,0
114,60,6,3,11,4,3,6,24,0,3
115,139,26,5,30,11,2,25,36,1,3
116,55,15,1,11,1,4,3,19,0,1
117,189,26,7,41,19,10,19,51,8,8
118,141,21,7,30,18,5,19,34,2,5
119,112,12,16,17,14,7,15,20,3,8
120,161,21,10,34,24,10,18,38,3,3
121,29,4,2,7,5,0,3,8,0,0
122,90,7,12,12,13,2,15,17,1,11
123,86,11,8,13,16,2,8,25,0,3
124,291,31,36,22,50,8,16,104,9,15
125,188,16,16,5,55,5,12,66,2,11
126,247,16,21,14,80,4,17,78,2,15
127,151,23,23,25,11,3,12,39,1,14
128,112,8,7,6,29,10,6,37,0,9
129,65,6,4,5,10,2,8,22,1,7
130,92,5,21,8,17,2,7,24,2,6
131,36,5,6,9,2,2,3,5,1,3
132,31,1,2,5,4,3,2,13,0,1
133,102,4,16,6,18,2,12,28,6,10
134,19,0,3,1,3,2,1,8,0,1
135,48,1,7,13,4,2,9,7,0,5
136,265,40,23,57,26,17,31,56,5,10
137,143,28,4,44,8,5,24,25,2,3
138,13,0,0,4,0,0,6,2,0,1
139,63,18,0,15,5,0,9,14,1,1
140,94,19,1,22,10,1,19,20,0,2
141,178,39,4,40,19,7,32,35,0,2
142,117,18,4,23,14,2,23,29,3,1
143,264,6,26,12,79,11,21,94,4,11
144,156,22,8,23,22,6,22,45,1,7
145,179,31,9,46,12,6,20,45,5,5
146,52,9,2,9,2,0,9,16,1,4
147,139,6,8,8,47,9,10,46,1,4
148,225,27,20,28,33,11,13,74,2,17
149,78,7,13,9,13,5,9,18,0,4
150,136,16,8,13,24,5,10,50,1,9
151,42,4,0,10,2,2,11,11,2,0
152,17,5,0,2,2,1,2,5,0,0
153,36,9,1,7,1,0,10,7,1,0
154,297,44,18,58,43,13,38,66,4,13
155,69,4,7,8,6,1,5,31,1,6
156,61,5,7,16,2,2,7,19,1,2
157,59,2,10,11,2,1,8,16,4,5
158,71,8,3,3,13,5,4,31,0,4
159,75,5,7,7,14,3,9,27,1,2
160,19,3,3,2,0,0,1,4,1,5
161,24,5,2,4,4,1,1,6,1,0
162,73,15,5,13,11,4,5,14,0,6
163,34,2,4,2,7,3,3,12,0,1
164,32,2,1,1,5,2,2,14,0,5
165,79,13,4,15,4,6,13,20,3,1
166,37,8,3,7,2,1,7,7,0,2
167,147,19,24,13,29,5,6,35,2,14
168,24,6,0,2,6,0,4,5,0,1
169,101,9,13,12,16,6,9,22,4,10
170,39,1,2,2,10,2,3,19,0,0
171,69,5,9,4,11,2,5,21,5,7
172,98,6,10,20,9,6,14,30,0,3
173,43,2,5,2,12,3,0,16,1,2
174,10,0,1,0,1,1,1,5,0,1
175,9,1,1,0,1,0,3,2,0,1
176,83,9,5,12,17,4,9,18,1,8
177,224,28,21,22,51,5,19,59,3,16
178,105,28,7,18,9,2,18,21,2,0
179,28,4,3,2,4,2,4,8,0,1
180,73,9,3,12,8,3,13,18,2,5
181,70,10,1,11,8,2,13,21,0,4
182,43,3,1,14,5,0,7,11,0,2
183,54,17,0,9,5,0,11,12,0,0
184,55,10,2,13,6,2,8,12,0,2
185,146,29,7,27,21,3,17,32,0,10
186,84,15,5,28,6,4,10,15,0,1
187,283,23,26,16,74,9,19,104,2,10
188,229,11,48,18,29,5,25,57,12,24
189,216,37,10,32,40,11,23,55,2,6
190,81,11,1,12,11,4,13,26,1,2
191,49,10,2,12,3,3,7,12,0,0
192,378,38,45,51,92,17,28,82,7,18
193,234,28,17,44,41,11,36,48,0,9
194,26,6,0,5,3,0,4,8,0,0
195,171,25,9,40,10,9,27,43,1,7
196,11,0,1,2,3,2,0,2,0,1
197,314,33,19,47,60,11,27,90,4,23
198,200,28,18,27,45,4,25,40,2,11
199,225,41,11,45,31,9,26,50,2,10
200,62,14,2,10,3,2,15,15,1,0
201,109,21,4,23,14,7,14,24,1,1
202,60,8,4,12,4,3,10,14,2,3
203,292,39,15,41,50,12,28,92,3,12
204,63,19,0,16,4,2,11,9,0,2
205,123,20,11,26,9,3,16,35,1,2
206,209,28,13,52,23,7,26,50,0,10
207,187,36,9,41,20,6,27,40,2,6
208,361,58,26,60,59,16,33,91,3,15
209,265,38,11,33,67,9,21,71,0,15
210,193,22,17,27,40,9,14,53,1,10
211,86,8,5,18,8,2,14,25,3,3
212,47,5,3,12,6,0,2,17,0,2
213,563,69,42,124,60,18,72,136,16,26
214,244,43,9,58,27,5,46,50,0,6
215,159,24,7,30,16,4,26,40,3,9
216,52,10,1,15,2,0,15,8,1,0
217,70,7,1,10,6,2,23,20,0,1
218,275,59,6,62,20,2,44,71,1,10
219,36,2,0,8,1,1,17,6,0,1
220,37,5,3,9,2,1,12,3,1,1
