origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,143,1,0,0,0,0,5,4,12,11,14,14,4,10,12,12,8,8,5,6,6,6,4,1,0,1,157,0,3,0,1,0,1,1,2,7,4,12,10,15,13,13,8,10,13,11,10,7,6,5,4
2,314,1,0,0,0,0,4,9,13,17,31,22,20,24,23,20,24,23,26,18,15,8,11,4,1,2,307,0,6,0,0,1,2,8,10,15,12,19,32,33,31,19,14,20,20,29,14,5,5,7,4
3,344,2,2,0,0,0,1,10,10,19,19,20,21,18,36,29,30,24,30,21,18,17,7,9,1,3,345,0,2,0,1,0,1,9,8,27,23,26,21,23,25,32,22,22,24,27,17,10,6,11,6
4,22,0,0,0,0,0,0,1,2,3,1,2,0,2,2,2,1,0,3,0,1,0,0,2,0,4,19,0,1,0,0,0,0,2,0,0,0,2,0,2,0,1,1,1,1,2,3,0,2,0,1
5,62,1,0,0,1,1,0,1,0,4,8,1,9,4,5,4,4,3,4,3,4,1,2,1,1,5,49,0,0,0,0,0,2,2,1,5,4,2,4,4,3,2,2,3,2,1,4,5,1,2,0
6,18,0,0,0,0,1,0,1,2,1,0,2,1,1,0,1,0,1,2,0,2,0,0,2,1,6,18,0,0,0,0,0,1,0,1,0,1,1,0,4,1,0,0,1,1,1,0,3,0,0,2
7,27,0,0,0,0,0,1,1,0,2,2,0,4,1,2,4,1,0,1,2,1,3,1,1,0,7,33,0,0,0,0,0,0,1,1,0,2,1,2,4,0,2,3,1,3,3,6,1,2,1,0
8,102,3,3,1,0,0,0,2,3,4,2,5,4,5,11,6,10,8,11,5,3,7,5,4,0,8,110,0,1,0,0,0,0,2,0,4,5,10,6,3,6,11,8,10,12,13,6,5,5,3,0
9,18,0,0,0,0,0,1,1,1,1,3,1,1,1,2,0,1,0,1,0,1,1,2,0,0,9,14,0,0,0,0,0,1,0,0,1,1,1,0,3,1,0,0,0,1,0,0,2,1,1,1
10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
