origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,136,0,0,1,0,1,4,11,13,14,10,9,6,12,9,9,7,5,7,5,4,2,4,3,0,1,133,0,1,1,0,0,0,1,3,7,5,5,11,8,6,15,13,6,10,10,10,7,6,7,1
2,274,1,0,0,0,0,6,9,21,29,18,18,18,20,20,13,19,21,20,13,9,8,6,4,1,2,262,0,3,0,0,0,1,6,10,11,14,14,19,22,14,27,14,25,22,25,12,8,7,3,5
3,349,1,2,0,0,1,8,11,19,23,26,19,25,21,26,14,20,22,24,18,18,22,20,9,0,3,346,0,2,0,0,0,2,6,17,18,28,19,20,20,26,26,20,28,24,22,20,21,14,8,3
4,25,0,0,0,0,1,0,2,0,3,1,4,1,1,2,1,3,2,2,0,2,0,0,0,0,4,20,0,0,0,0,0,0,0,2,1,0,1,2,0,1,4,1,0,2,3,1,1,0,1,0
5,46,0,0,0,0,0,2,5,1,4,7,4,2,0,0,2,3,7,3,2,1,1,1,1,0,5,40,0,0,0,0,0,0,3,0,4,2,2,3,1,3,3,3,4,2,1,2,1,3,2,1
6,28,0,0,0,0,0,0,1,2,2,3,1,4,3,1,1,3,1,3,1,0,0,2,0,0,6,25,0,0,0,0,0,0,0,0,2,3,2,1,3,2,0,2,1,0,3,1,1,0,3,1
7,44,0,0,0,0,0,1,2,3,4,2,3,4,2,3,3,3,6,1,2,0,4,1,0,0,7,42,0,0,0,0,0,0,1,1,3,3,0,5,3,2,5,4,1,5,2,1,0,3,1,2
8,95,0,1,1,0,0,0,3,1,3,4,6,6,9,3,4,10,9,9,7,5,6,2,6,0,8,104,0,0,0,0,0,1,2,5,6,9,7,10,3,7,8,9,6,6,10,6,3,4,2,0
9,26,0,0,0,0,1,0,0,0,3,2,3,1,1,1,2,2,2,5,0,1,1,0,1,0,9,26,0,0,1,0,0,1,1,1,2,2,1,3,3,2,0,1,0,1,1,1,2,2,1,0
10,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,46,0,0,0,0,0,1,2,2,2,5,5,2,5,6,3,2,3,0,5,1,1,0,1,0,11,45,0,0,0,0,0,0,1,1,4,2,3,2,4,2,5,4,2,4,1,3,4,1,2,0
12,137,0,0,0,0,5,11,14,16,10,11,9,7,5,5,3,8,5,8,7,8,4,1,0,0,12,137,0,0,0,0,0,1,4,3,7,3,7,6,5,5,10,14,14,11,17,11,8,7,3,1
13,274,0,0,0,0,0,7,22,20,26,14,19,16,16,12,15,18,14,22,15,13,12,7,3,3,13,277,0,2,0,0,0,1,3,7,11,11,13,16,18,19,22,17,21,31,21,22,13,10,9,7
14,29,0,0,0,0,1,0,3,0,1,1,1,0,1,1,3,4,3,3,3,2,2,0,0,0,14,29,0,0,0,0,0,0,0,3,3,3,3,3,1,1,3,0,1,3,2,0,2,0,1,0
15,17,0,0,0,0,0,0,2,2,0,1,0,2,2,1,0,1,3,0,1,1,0,1,0,0,15,15,0,0,0,0,0,0,0,1,2,0,0,1,1,1,2,0,1,3,0,2,1,0,0,0
16,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,16,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,2,0,1,0,0
17,352,1,0,0,0,1,2,8,15,11,6,21,21,20,26,25,34,25,37,25,25,27,15,7,0,17,351,0,1,0,0,0,3,6,16,14,21,24,31,26,29,18,27,27,30,32,13,17,12,3,1
18,117,0,0,0,0,1,1,5,6,11,4,7,6,11,7,5,7,5,17,7,7,4,2,2,2,18,125,0,2,0,0,0,0,1,5,10,9,6,11,4,4,9,11,8,9,11,6,6,3,6,3
19,103,1,0,0,0,0,1,4,7,6,8,5,7,5,3,5,12,5,9,7,6,5,2,5,0,19,107,0,2,0,0,0,0,4,6,6,7,11,3,10,9,6,6,5,3,6,6,4,7,3,3
20,59,0,0,0,0,0,0,4,2,3,7,1,3,4,4,5,6,3,2,4,4,5,1,1,0,20,64,0,1,0,1,0,0,2,1,3,5,2,3,3,1,5,3,5,2,7,5,6,5,2,2
21,84,0,0,0,0,0,1,3,1,2,14,6,3,7,6,5,6,4,7,5,7,3,3,0,1,21,76,0,0,0,0,0,0,3,5,5,11,2,4,4,7,4,2,6,6,9,3,2,2,1,0
22,33,0,0,0,0,0,0,1,1,1,1,3,3,2,5,5,3,1,3,1,1,1,0,1,0,22,32,0,0,0,0,0,0,0,0,2,1,6,2,1,2,5,2,2,4,1,1,2,0,1,0
23,39,0,0,1,0,0,1,2,1,2,3,3,0,2,1,2,3,3,3,2,2,4,0,4,0,23,40,0,0,0,0,0,0,0,1,3,2,5,2,0,3,6,1,1,6,2,3,1,3,1,0
24,72,0,0,0,0,1,0,1,12,2,5,9,5,6,2,6,2,6,3,2,4,3,0,3,0,24,73,0,1,0,0,0,1,0,2,5,1,2,8,4,6,5,5,6,7,7,3,3,2,1,3
25,193,1,0,0,0,1,4,16,9,7,10,16,9,7,13,16,19,14,11,6,4,7,17,6,0,25,196,0,1,0,0,0,4,7,10,8,7,16,9,17,14,14,15,13,12,12,9,6,8,8,4
26,95,0,0,0,0,0,0,8,4,7,2,7,5,9,7,8,8,8,1,1,1,8,8,3,0,26,73,0,0,0,0,0,1,1,5,4,5,4,7,3,5,8,6,5,1,4,6,1,2,1,4
27,247,1,1,1,0,0,6,9,19,12,10,10,17,18,11,10,16,13,28,25,11,8,11,6,4,27,275,0,1,0,0,0,0,5,8,17,19,14,18,14,14,23,17,19,27,29,16,11,13,7,3
28,13,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,1,0,0,2,1,1,0,28,17,0,0,0,0,0,0,1,1,0,3,0,0,1,3,2,0,0,2,3,1,0,0,0,0
29,14,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,1,3,1,1,0,0,0,0,29,9,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,2,0
30,183,0,0,0,0,0,2,12,12,13,7,9,13,15,7,16,15,16,12,11,4,9,6,3,1,30,196,0,0,0,0,0,1,3,5,9,5,5,7,11,10,11,17,23,17,30,9,9,16,3,5
31,110,0,0,0,0,0,3,8,7,18,6,2,6,8,5,7,8,12,6,3,2,4,2,3,0,31,104,0,1,0,0,0,0,2,7,7,6,2,2,5,4,5,8,7,9,9,10,7,5,4,4
32,65,1,0,1,0,1,5,5,3,3,4,3,2,2,6,4,2,5,7,6,3,0,2,0,0,32,66,0,0,2,0,0,1,0,8,0,3,1,5,2,5,9,4,4,5,3,2,1,4,5,1
