origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,144,17,3,27,15,8,26,42,3,3
2,278,34,10,43,39,14,25,94,7,12
3,359,24,32,31,59,14,15,155,4,25
4,29,1,1,4,2,2,9,10,0,0
5,54,7,2,8,4,6,6,16,1,4
6,32,4,2,6,5,0,5,10,0,0
7,39,7,3,4,1,1,11,8,0,4
8,114,2,14,4,30,6,11,32,8,7
9,23,3,2,3,1,0,7,3,3,1
10,1,0,0,0,0,0,0,1,0,0
11,35,6,4,5,1,1,7,9,1,1
12,155,30,0,40,9,7,33,31,1,4
13,249,37,6,51,33,11,27,73,5,6
14,28,1,5,3,5,1,3,7,1,2
15,9,1,0,3,0,0,1,1,3,0
16,2,0,0,1,1,0,0,0,0,0
17,384,13,29,27,115,12,13,153,3,19
18,117,14,6,20,12,5,18,29,2,11
19,90,9,10,3,17,4,15,25,5,2
20,66,7,2,6,13,1,11,24,0,2
21,61,0,1,3,16,5,4,29,0,3
22,43,0,5,4,11,3,3,14,1,2
23,40,4,2,9,5,0,3,11,1,5
24,64,9,1,19,12,0,10,12,0,1
25,251,16,12,22,21,1,21,153,2,3
26,139,12,4,8,9,1,8,83,5,9
27,243,28,36,30,38,4,12,82,1,12
28,15,0,2,0,7,0,0,4,0,2
29,13,0,2,0,1,3,0,7,0,0
30,209,31,10,47,27,9,24,54,2,5
31,114,16,9,28,3,4,19,27,2,6
32,82,5,8,13,6,4,14,24,1,7
33,138,10,14,12,34,6,16,31,2,13
34,68,6,2,9,15,2,6,19,3,6
35,59,2,2,10,12,1,11,17,1,3
36,126,27,3,29,11,5,21,27,2,1
37,275,34,24,50,23,7,22,85,5,25
38,440,22,64,43,56,8,32,148,7,60
39,233,14,46,12,27,5,18,59,8,44
40,187,17,21,21,28,8,12,57,4,19
41,151,21,5,16,8,7,37,50,2,5
42,66,4,7,13,5,1,15,19,0,2
43,114,17,13,10,11,2,17,30,4,10
44,59,2,5,8,11,1,5,18,0,9
45,98,3,13,3,22,7,9,27,3,11
46,36,3,3,2,3,2,3,17,2,1
47,110,10,19,12,14,4,8,27,3,13
48,308,9,13,9,25,3,11,216,7,15
49,364,16,61,14,74,17,17,120,7,38
50,93,9,5,20,7,1,14,23,2,12
51,39,4,2,4,2,2,6,18,1,0
52,53,8,1,8,4,2,18,11,0,1
53,215,22,11,28,27,10,42,63,9,3
54,179,17,10,33,31,4,14,61,3,6
55,139,15,12,20,11,4,30,35,5,7
56,18,0,1,1,4,0,1,9,2,0
57,24,3,1,4,0,1,5,9,0,1
58,26,0,0,3,2,0,1,19,1,0
59,119,20,2,26,18,2,14,32,1,4
60,114,19,3,23,8,3,17,34,2,5
61,31,0,1,2,4,1,5,12,1,5
62,45,4,3,4,10,1,4,14,0,5
63,203,12,43,22,18,8,11,66,3,20
64,397,16,42,29,92,19,18,157,2,22
65,150,9,18,25,23,4,12,42,3,14
66,37,4,3,8,4,1,6,9,0,2
67,276,8,35,16,63,11,27,83,6,27
68,107,17,9,12,18,7,9,22,4,9
69,65,10,3,7,2,4,19,17,2,1
70,152,21,6,33,12,5,25,44,0,6
71,155,12,34,16,16,4,8,37,2,26
72,107,18,2,24,6,3,13,30,3,8
73,141,18,16,28,9,9,17,24,4,16
74,72,14,6,16,5,2,11,16,0,2
75,229,26,15,39,41,10,19,59,2,18
76,77,1,8,7,11,1,6,26,2,15
77,118,26,1,29,8,6,14,32,0,2
78,94,19,3,22,9,2,5,28,1,5
79,28,1,4,4,10,0,5,3,0,1
80,30,3,5,4,2,1,3,7,1,4
81,105,22,7,29,2,4,15,20,1,5
82,173,17,9,25,5,9,30,64,7,7
84,86,15,2,16,3,4,19,24,2,1
85,36,6,2,7,4,0,5,9,2,1
