origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,149,22,5,25,11,8,18,58,0,2
2,252,37,6,36,37,15,18,94,0,9
3,329,19,34,40,66,17,15,113,6,19
4,22,3,2,2,3,1,3,7,1,0
5,71,6,6,9,11,1,18,15,1,4
6,24,1,1,3,3,1,5,5,1,4
7,26,5,1,3,6,0,2,9,0,0
8,106,2,9,8,28,5,8,33,4,9
9,23,3,3,1,2,0,3,7,2,2
11,40,3,3,9,4,2,2,15,1,1
12,146,22,3,32,15,1,34,35,0,4
13,268,39,4,56,28,6,40,84,9,2
14,31,2,5,4,11,1,1,5,0,2
15,14,2,1,4,0,0,3,2,2,0
16,8,0,0,1,1,0,1,5,0,0
17,346,16,37,20,94,19,14,116,6,24
18,120,9,11,17,14,8,15,37,1,8
19,81,7,11,7,13,0,11,21,3,8
20,68,8,3,8,12,3,7,25,1,1
21,58,2,5,7,11,0,7,22,2,2
22,48,3,4,1,12,1,1,20,3,3
23,52,4,5,6,6,0,15,12,2,2
24,70,5,3,14,17,2,12,11,3,3
25,170,24,7,23,13,7,19,71,1,5
26,69,9,4,9,8,2,6,26,0,5
27,235,22,27,24,35,7,18,82,2,18
28,11,0,1,0,3,0,0,5,0,2
29,11,0,2,0,1,1,0,4,1,2
30,208,35,8,50,28,10,23,44,3,7
31,109,23,8,20,5,7,17,26,0,3
32,62,4,9,8,6,1,9,14,2,9
33,111,11,18,6,19,4,12,31,1,9
34,50,6,3,8,14,2,3,10,1,3
35,61,7,6,7,16,2,8,11,2,2
36,131,29,2,36,11,2,23,24,0,4
37,237,30,30,35,13,7,29,62,6,25
38,373,26,57,39,40,7,24,118,5,57
39,230,10,51,16,18,12,13,68,6,36
40,208,13,33,28,28,16,16,51,5,18
41,139,20,4,28,12,5,28,31,7,4
42,59,11,6,6,4,2,5,16,3,6
43,81,14,15,15,9,2,10,9,0,7
44,47,0,12,4,10,2,4,8,0,7
45,101,4,24,2,22,10,7,15,2,15
46,24,0,2,3,4,4,2,8,0,1
47,92,8,15,9,13,5,11,12,5,14
48,182,14,10,13,18,3,14,88,10,12
49,355,9,72,13,82,11,15,104,4,45
50,105,10,14,11,13,2,17,23,0,15
51,35,6,0,8,4,1,6,9,0,1
52,35,4,1,4,7,2,6,11,0,0
53,207,28,14,27,25,11,37,53,4,8
54,158,23,10,24,25,5,16,47,2,6
55,132,17,18,13,11,7,19,34,5,8
56,24,1,0,5,1,0,4,8,1,4
57,12,2,0,3,1,1,2,3,0,0
58,21,3,0,4,1,4,0,8,0,1
59,103,18,4,32,8,5,15,14,3,4
60,111,22,3,22,12,2,14,26,7,3
61,50,4,3,7,9,2,4,18,0,3
62,38,3,9,3,5,0,3,11,1,3
63,243,12,47,31,29,4,17,76,2,25
64,372,23,30,26,92,19,18,129,8,27
65,156,12,24,28,25,5,11,36,2,13
66,38,5,0,0,4,2,10,17,0,0
67,253,16,36,17,64,12,15,68,4,21
68,137,18,11,17,27,5,13,35,0,11
69,56,11,3,8,4,2,10,14,3,1
70,129,29,4,27,10,2,16,34,3,4
71,138,15,29,13,14,4,12,21,5,25
72,106,17,13,21,7,3,17,16,4,8
73,157,18,16,33,14,9,23,25,3,16
74,74,20,7,13,6,4,9,12,0,3
75,250,19,34,41,44,9,20,59,5,19
76,76,3,10,7,16,7,4,19,3,7
77,113,20,1,26,12,2,17,34,0,1
78,92,18,5,22,8,0,10,23,1,5
79,35,2,5,7,4,1,2,10,0,4
80,29,5,7,2,1,1,2,11,0,0
81,117,17,8,19,17,3,16,31,2,4
82,154,16,4,22,14,9,36,43,3,7
83,2,0,1,0,0,0,0,1,0,0
84,92,14,2,15,5,5,19,25,4,3
85,41,8,0,5,3,1,6,16,1,1
86,281,60,4,65,22,10,43,68,6,3
87,162,13,17,22,29,5,23,41,2,10
88,257,42,18,54,33,6,24,62,3,15
89,260,21,28,33,39,7,18,92,4,18
90,151,13,8,33,16,8,9,54,5,5
91,96,16,12,16,9,3,15,18,2,5
92,54,9,3,7,5,2,8,14,2,4
93,172,27,9,27,23,5,16,51,4,10
94,28,0,3,2,5,4,2,8,1,3
95,126,19,12,14,31,4,13,24,3,6
96,99,15,5,22,9,1,13,24,2,8
97,70,10,1,16,7,0,15,15,1,5
