origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
1,143,2,1,29,17,2,20,64,5,3
2,289,16,8,47,51,6,28,127,1,5
3,379,6,19,32,100,9,15,186,1,11
4,29,3,2,5,3,0,4,10,0,2
5,33,5,0,5,5,1,9,8,0,0
6,18,0,0,3,1,0,6,8,0,0
7,29,3,0,5,6,0,9,6,0,0
8,117,3,3,4,45,0,6,51,1,4
9,29,2,1,1,1,0,11,12,0,1
10,2,0,0,0,0,0,0,2,0,0
11,36,1,2,7,3,1,5,17,0,0
12,152,7,0,42,14,1,29,58,0,1
13,308,13,5,60,52,6,38,130,1,3
14,10,0,1,3,0,1,0,5,0,0
15,15,0,1,3,3,0,4,4,0,0
16,18,0,2,1,3,2,4,6,0,0
17,417,6,17,28,123,11,20,194,8,10
18,89,3,4,26,11,3,10,29,0,3
19,64,7,4,9,13,0,10,18,1,2
20,46,3,3,4,9,0,7,19,0,1
21,57,0,2,7,16,2,7,22,1,0
22,45,1,0,2,18,2,2,20,0,0
23,21,0,3,5,2,1,2,7,0,1
24,62,2,1,24,8,1,3,20,0,3
25,189,7,6,30,18,3,28,97,0,0
26,86,1,1,21,15,0,8,34,1,5
27,202,11,6,36,36,0,22,86,1,4
28,13,0,2,1,5,1,0,4,0,0
29,15,0,0,1,4,1,0,6,0,3
30,193,9,3,64,28,3,26,55,0,5
31,87,6,5,27,4,2,16,25,0,2
32,45,2,1,11,5,0,6,19,1,0
33,95,1,1,13,26,1,13,35,0,5
34,65,4,1,15,10,2,13,19,0,1
35,46,1,1,8,14,1,8,12,0,1
36,118,8,0,32,9,0,28,39,1,1
37,179,10,6,46,20,2,28,64,0,3
38,249,9,11,31,34,1,20,128,3,12
39,109,7,10,12,9,3,14,49,1,4
40,150,5,8,26,24,5,18,59,0,5
41,135,6,4,30,13,3,33,39,1,6
42,46,3,1,13,0,0,12,13,1,3
43,57,4,1,11,5,0,11,24,0,1
44,21,0,1,6,1,0,6,7,0,0
45,64,1,3,4,12,3,8,27,1,5
46,19,0,0,3,1,0,4,10,0,1
47,55,4,0,13,8,0,9,19,1,1
48,249,7,3,20,17,2,18,173,3,6
49,170,10,13,14,45,4,12,64,0,8
50,90,4,6,22,13,1,15,25,0,4
51,30,1,1,7,9,0,6,6,0,0
52,50,4,1,10,6,0,9,20,0,0
53,177,8,7,32,25,4,37,54,2,8
54,195,13,6,38,41,4,33,55,1,4
55,117,6,5,27,10,1,25,40,2,1
56,17,0,0,3,5,0,2,7,0,0
57,22,1,0,2,0,0,7,9,1,2
58,23,0,0,4,2,0,4,13,0,0
59,109,2,3,30,16,2,19,36,1,0
60,138,8,1,32,14,1,21,57,1,3
61,37,1,0,5,2,1,6,21,1,0
62,33,2,4,1,8,0,8,10,0,0
