Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
22,4003,4003,6,Sun,Short Term Visitor,HH,1798.09,0,1
41,4003,4003,6,Sun,Short Term Visitor,OH,1149.94,1,2
119,4003,4003,6,Sun,Short Term Visitor,OH,587.53,2,3
144,4003,4003,6,Sun,Short Term Visitor,WH,150.36,3,4
232,4003,4003,6,Sun,Short Term Visitor,OH,2678.91,0,1
257,4003,4003,6,Sun,Short Term Visitor,OH,363.96,4,5
317,4003,4003,6,Sun,Short Term Visitor,WH,460.77,0,1
346,4003,4003,6,Sun,Inbound Commuter,OH,131.93,0,1
414,4003,4003,6,Sun,Long Term Visitor,OO,382.01,0,1
477,4003,4003,6,Sun,Short Term Visitor,OO,791.08,0,1
634,4003,4003,6,Sun,Short Term Visitor,OH,289.22,3,4
895,4003,4003,6,Sun,Short Term Visitor,WH,234.24,1,2
972,4003,4003,6,Sun,Short Term Visitor,HO,182.19,0,1
1019,4003,4003,6,Sun,Short Term Visitor,WH,152.07,2,3
1081,4003,4003,6,Sun,Inbound Commuter,OH,207.97,2,3
1142,4003,4003,6,Sun,Inbound Commuter,HH,63.43,0,1
1341,4003,4003,6,Sun,Inbound Commuter,OH,96.91,4,5
2054,4003,4003,6,Sun,Resident Worker,OO,62.85,0,1
2064,4003,4003,6,Sun,Short Term Visitor,WH,27.82,4,5
2080,4003,4003,6,Sun,Inbound Commuter,OH,57.62,1,2
2671,4003,4003,6,Sun,Long Term Visitor,WO,28.67,0,1
2672,4003,4003,6,Sun,Long Term Visitor,OH,28.67,0,1
2915,4003,4003,6,Sun,Outbound Commuter,OW,66.38,0,1
3188,4003,4003,6,Sun,Home Worker,HH,25.77,0,1
3256,4003,4003,6,Sun,Long Term Visitor,OH,24.84,3,4
3456,4003,4003,6,Sun,Long Term Visitor,OH,52.73,1,2
3805,4003,4003,6,Sun,Short Term Visitor,WO,39.83,0,1
3851,4003,4003,6,Sun,Outbound Commuter,OO,105.6,0,1
3905,4003,4003,6,Sun,Short Term Visitor,WW,33.26,0,1
4177,4003,4003,6,Sun,Inbound Commuter,OH,317.35,16,17
4178,4003,4003,6,Sun,Inbound Commuter,HH,1214.7,19,20
4214,4003,4003,6,Sun,Short Term Visitor,OO,9281.56,13,14
4241,4003,4003,6,Sun,Long Term Visitor,OO,3223.34,19,20
4245,4003,4003,6,Sun,Short Term Visitor,HH,14545.97,10,11
4248,4003,4003,6,Sun,Short Term Visitor,HH,11289.36,8,9
4249,4003,4003,6,Sun,Short Term Visitor,HH,7704.69,20,21
4324,4003,4003,6,Sun,Short Term Visitor,OO,1529.34,5,6
4332,4003,4003,6,Sun,Long Term Visitor,OO,5941.96,9,10
4333,4003,4003,6,Sun,Long Term Visitor,OO,5240.32,13,14
4334,4003,4003,6,Sun,Long Term Visitor,OO,3349.95,17,18
4390,4003,4003,6,Sun,Short Term Visitor,HO,4693.72,12,13
4391,4003,4003,6,Sun,Short Term Visitor,OH,4156.48,14,15
4435,4003,4003,6,Sun,Short Term Visitor,OO,7723.93,14,15
4436,4003,4003,6,Sun,Short Term Visitor,OO,4995.53,19,20
4446,4003,4003,6,Sun,Long Term Visitor,OO,6530.6,12,13
4508,4003,4003,6,Sun,Short Term Visitor,HH,10787.65,13,14
4509,4003,4003,6,Sun,Short Term Visitor,HH,9805.26,15,16
4518,4003,4003,6,Sun,Short Term Visitor,HH,14784.66,11,12
4613,4003,4003,6,Sun,Short Term Visitor,WW,533.81,9,10
4614,4003,4003,6,Sun,Short Term Visitor,WW,896.84,12,13
4615,4003,4003,6,Sun,Short Term Visitor,WO,713.61,15,16
4773,4003,4003,6,Sun,Short Term Visitor,OO,10628.86,12,13
4779,4003,4003,6,Sun,Short Term Visitor,HH,14848.64,9,10
4799,4003,4003,6,Sun,Short Term Visitor,OO,5144.67,20,21
4810,4003,4003,6,Sun,Short Term Visitor,OO,7754.04,16,17
4811,4003,4003,6,Sun,Short Term Visitor,OO,7404.11,18,19
4829,4003,4003,6,Sun,Short Term Visitor,HH,8053.57,19,20
4850,4003,4003,6,Sun,Long Term Visitor,OO,1577.44,6,7
4853,4003,4003,6,Sun,Short Term Visitor,OO,9614.68,10,11
4854,4003,4003,6,Sun,Short Term Visitor,OO,8523.52,11,12
4855,4003,4003,6,Sun,Short Term Visitor,OO,8624.23,15,16
4885,4003,4003,6,Sun,Long Term Visitor,OO,4666.26,14,15
4897,4003,4003,6,Sun,Short Term Visitor,HW,1069.56,9,10
4898,4003,4003,6,Sun,Short Term Visitor,WH,403.21,10,11
4970,4003,4003,6,Sun,Short Term Visitor,HH,12958.45,12,13
4976,4003,4003,6,Sun,Inbound Commuter,HH,1050.99,15,16
4977,4003,4003,6,Sun,Inbound Commuter,HO,233.78,17,18
4978,4003,4003,6,Sun,Inbound Commuter,OH,706.89,19,20
4981,4003,4003,6,Sun,Inbound Commuter,HH,1113.01,10,11
4996,4003,4003,6,Sun,Short Term Visitor,HO,770.17,21,22
4997,4003,4003,6,Sun,Short Term Visitor,OH,3052.6,21,22
4998,4003,4003,6,Sun,Short Term Visitor,HH,7496.54,7,8
4999,4003,4003,6,Sun,Short Term Visitor,HH,10774.63,14,15
5040,4003,4003,6,Sun,Inbound Commuter,OO,1333.04,15,16
5041,4003,4003,6,Sun,Short Term Visitor,HO,1505.37,5,6
5042,4003,4003,6,Sun,Short Term Visitor,OH,3114.48,11,12
5049,4003,4003,6,Sun,Inbound Commuter,HO,370.6,16,17
5050,4003,4003,6,Sun,Inbound Commuter,OO,408.06,21,22
5176,4003,4003,6,Sun,Inbound Commuter,HH,1092.03,8,9
5196,4003,4003,6,Sun,Short Term Visitor,HH,10675.36,16,17
5197,4003,4003,6,Sun,Short Term Visitor,HH,9440.29,18,19
5243,4003,4003,6,Sun,Short Term Visitor,HO,5746.72,8,9
5332,4003,4003,6,Sun,Short Term Visitor,OH,547.45,8,9
5369,4003,4003,6,Sun,Outbound Commuter,OH,38.14,9,10
5370,4003,4003,6,Sun,Outbound Commuter,HH,38.14,12,13
5378,4003,4003,6,Sun,Inbound Commuter,OO,821.79,8,9
5379,4003,4003,6,Sun,Inbound Commuter,OO,1014.5,10,11
5380,4003,4003,6,Sun,Inbound Commuter,OO,849.07,17,18
5424,4003,4003,6,Sun,Short Term Visitor,OO,2088.0,7,8
5443,4003,4003,6,Sun,Long Term Visitor,OO,5247.66,8,9
5444,4003,4003,6,Sun,Long Term Visitor,OO,6652.15,11,12
5467,4003,4003,6,Sun,Resident Worker,OO,437.68,9,10
5468,4003,4003,6,Sun,Resident Worker,OO,669.63,11,12
5486,4003,4003,6,Sun,Short Term Visitor,OO,2685.08,21,22
5533,4003,4003,6,Sun,Long Term Visitor,OO,1973.76,20,21
5658,4003,4003,6,Sun,Short Term Visitor,HO,4775.41,11,12
5659,4003,4003,6,Sun,Short Term Visitor,OW,314.91,17,18
5660,4003,4003,6,Sun,Short Term Visitor,WH,1109.28,17,18
5710,4003,4003,6,Sun,Short Term Visitor,HO,2985.97,17,18
5711,4003,4003,6,Sun,Short Term Visitor,OH,4995.77,19,20
5717,4003,4003,6,Sun,Long Term Visitor,OO,3437.5,18,19
5801,4003,4003,6,Sun,Inbound Commuter,OO,860.06,9,10
5802,4003,4003,6,Sun,Inbound Commuter,OO,805.45,20,21
5815,4003,4003,6,Sun,Short Term Visitor,OO,2135.77,6,7
5816,4003,4003,6,Sun,Short Term Visitor,OO,5262.76,8,9
5817,4003,4003,6,Sun,Short Term Visitor,OO,9606.01,9,10
5946,4003,4003,6,Sun,Inbound Commuter,OO,231.51,5,6
6098,4003,4003,6,Sun,Short Term Visitor,HH,8655.83,17,18
6248,4003,4003,6,Sun,Short Term Visitor,HO,5679.91,9,10
6250,4003,4003,6,Sun,Short Term Visitor,OH,815.05,9,10
6251,4003,4003,6,Sun,Short Term Visitor,HO,3885.63,13,14
6252,4003,4003,6,Sun,Short Term Visitor,HH,8242.83,21,22
6260,4003,4003,6,Sun,Short Term Visitor,HO,5746.75,10,11
6261,4003,4003,6,Sun,Short Term Visitor,OH,3882.44,16,17
6295,4003,4003,6,Sun,Short Term Visitor,HO,1044.56,4,5
6296,4003,4003,6,Sun,Short Term Visitor,OH,449.19,6,7
6297,4003,4003,6,Sun,Short Term Visitor,HH,6438.55,6,7
6298,4003,4003,6,Sun,Short Term Visitor,HO,4211.62,7,8
6299,4003,4003,6,Sun,Short Term Visitor,OH,5258.49,20,21
6462,4003,4003,6,Sun,Inbound Commuter,HH,1840.5,9,10
6488,4003,4003,6,Sun,Short Term Visitor,HH,5263.01,5,6
6582,4003,4003,6,Sun,Short Term Visitor,HH,4763.53,22,23
6634,4003,4003,6,Sun,Short Term Visitor,HO,2432.25,15,16
6639,4003,4003,6,Sun,Long Term Visitor,OO,2661.43,7,8
6648,4003,4003,6,Sun,Long Term Visitor,OO,7490.76,10,11
6755,4003,4003,6,Sun,Short Term Visitor,OW,700.89,15,16
6757,4003,4003,6,Sun,Long Term Visitor,OO,3977.09,15,16
6797,4003,4003,6,Sun,Inbound Commuter,HO,282.09,7,8
6798,4003,4003,6,Sun,Inbound Commuter,OO,1649.0,13,14
