Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
2280,4005,4005,7,Mon,Short Term Visitor,HW,15928.8,8,9
2281,4005,4005,7,Mon,Short Term Visitor,HO,16434.69,8,9
2282,4005,4005,7,Mon,Short Term Visitor,OO,27516.84,10,11
2283,4005,4005,7,Mon,Short Term Visitor,OH,16934.48,16,17
2300,4005,4005,7,Mon,Short Term Visitor,HW,5803.51,11,12
2316,4005,4005,7,Mon,Short Term Visitor,HH,20873.86,10,11
2317,4005,4005,7,Mon,Short Term Visitor,HH,21173.55,15,16
2323,4005,4005,7,Mon,Short Term Visitor,HW,9917.16,9,10
2324,4005,4005,7,Mon,Short Term Visitor,WH,9759.45,14,15
2346,4005,4005,7,Mon,Short Term Visitor,WO,8657.89,14,15
2347,4005,4005,7,Mon,Short Term Visitor,OH,16880.31,17,18
2359,4005,4005,7,Mon,Short Term Visitor,HO,19255.93,7,8
2384,4005,4005,7,Mon,Long Term Visitor,OO,6264.38,7,8
2469,4005,4005,7,Mon,Short Term Visitor,HO,10939.56,12,13
2470,4005,4005,7,Mon,Short Term Visitor,OH,11381.52,12,13
2474,4005,4005,7,Mon,Long Term Visitor,OO,13318.86,11,12
2489,4005,4005,7,Mon,Short Term Visitor,OO,20148.45,19,20
2497,4005,4005,7,Mon,Short Term Visitor,HH,23679.0,7,8
2515,4005,4005,7,Mon,Short Term Visitor,HW,29175.96,6,7
2524,4005,4005,7,Mon,Short Term Visitor,OH,19281.81,20,21
2525,4005,4005,7,Mon,Short Term Visitor,OW,6290.37,6,7
2526,4005,4005,7,Mon,Short Term Visitor,WW,6400.18,14,15
2527,4005,4005,7,Mon,Short Term Visitor,WW,4254.61,16,17
2552,4005,4005,7,Mon,Home Worker,OO,393.75,13,14
2553,4005,4005,7,Mon,Home Worker,OO,210.73,17,18
2563,4005,4005,7,Mon,Long Term Visitor,OH,257.5,7,8
2564,4005,4005,7,Mon,Short Term Visitor,HO,10833.59,5,6
2568,4005,4005,7,Mon,Short Term Visitor,WH,5738.54,12,13
2619,4005,4005,7,Mon,Short Term Visitor,OH,19810.36,19,20
2620,4005,4005,7,Mon,Short Term Visitor,HH,19611.18,14,15
2621,4005,4005,7,Mon,Short Term Visitor,HH,20251.64,18,19
2638,4005,4005,7,Mon,Short Term Visitor,HO,12650.27,10,11
2657,4005,4005,7,Mon,Short Term Visitor,WH,7537.84,19,20
2659,4005,4005,7,Mon,Short Term Visitor,HH,14751.28,5,6
2690,4005,4005,7,Mon,Short Term Visitor,HO,12648.23,11,12
2691,4005,4005,7,Mon,Short Term Visitor,OH,13529.67,13,14
2694,4005,4005,7,Mon,Short Term Visitor,OH,6994.17,10,11
2779,4005,4005,7,Mon,Short Term Visitor,HH,5274.35,4,5
2780,4005,4005,7,Mon,Short Term Visitor,HO,14652.28,9,10
2781,4005,4005,7,Mon,Short Term Visitor,OH,4414.57,9,10
2857,4005,4005,7,Mon,Short Term Visitor,HW,2729.08,15,16
2858,4005,4005,7,Mon,Short Term Visitor,WH,17128.54,16,17
2859,4005,4005,7,Mon,Short Term Visitor,HO,11360.43,17,18
2878,4005,4005,7,Mon,Short Term Visitor,HO,10452.07,13,14
2880,4005,4005,7,Mon,Short Term Visitor,WW,6545.6,11,12
2884,4005,4005,7,Mon,Short Term Visitor,HO,10478.32,15,16
