Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
22,4003,4003,27,Sun,Short Term Visitor,OH,3130.53,0,1
60,4003,4003,27,Sun,Short Term Visitor,OO,721.19,0,1
67,4003,4003,27,Sun,Inbound Commuter,HH,219.0,0,1
99,4003,4003,27,Sun,Short Term Visitor,HH,1865.22,0,1
191,4003,4003,27,Sun,Short Term Visitor,OH,538.35,3,4
203,4003,4003,27,Sun,Short Term Visitor,WH,683.93,0,1
402,4003,4003,27,Sun,Short Term Visitor,HO,137.4,0,1
403,4003,4003,27,Sun,Short Term Visitor,OH,758.61,2,3
447,4003,4003,27,Sun,Long Term Visitor,OO,727.95,0,1
549,4003,4003,27,Sun,Short Term Visitor,OH,1716.38,1,2
561,4003,4003,27,Sun,Inbound Commuter,OH,142.45,1,2
773,4003,4003,27,Sun,Short Term Visitor,WH,313.67,1,2
950,4003,4003,27,Sun,Short Term Visitor,WH,238.56,4,5
984,4003,4003,27,Sun,Long Term Visitor,HH,66.76,0,1
1045,4003,4003,27,Sun,Inbound Commuter,OH,33.44,2,3
1191,4003,4003,27,Sun,Short Term Visitor,WO,49.62,0,1
1205,4003,4003,27,Sun,Inbound Commuter,OH,74.41,3,4
1223,4003,4003,27,Sun,Long Term Visitor,OH,18.19,0,1
1284,4003,4003,27,Sun,Long Term Visitor,OH,35.91,2,3
1311,4003,4003,27,Sun,Short Term Visitor,WH,116.65,2,3
1349,4003,4003,27,Sun,Long Term Visitor,OH,23.07,1,2
1434,4003,4003,27,Sun,Inbound Commuter,OH,132.29,0,1
1515,4003,4003,27,Sun,Outbound Commuter,OO,85.96,0,1
1840,4003,4003,27,Sun,Short Term Visitor,OW,40.74,0,1
2000,4003,4003,27,Sun,Short Term Visitor,OH,198.67,4,5
2034,4003,4003,27,Sun,Inbound Commuter,OO,33.7,0,1
2266,4003,4003,27,Sun,Home Worker,OO,121.82,0,1
3595,4003,4003,27,Sun,Short Term Visitor,HW,43.44,0,1
4003,4003,4003,27,Sun,Long Term Visitor,OO,3930.68,17,18
4026,4003,4003,27,Sun,Short Term Visitor,OO,9960.56,11,12
4035,4003,4003,27,Sun,Long Term Visitor,OO,6501.71,12,13
4043,4003,4003,27,Sun,Short Term Visitor,HH,9213.54,14,15
