Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
1614,1614,176,137,1,Tue,Resident Worker,OH,49.94,19,20
1645,1645,128,126,1,Tue,Home Worker,HH,28.46,4,5
1669,1669,224,89,1,Tue,Resident Worker,OO,37.16,13,14
1670,1670,89,123,1,Tue,Resident Worker,OO,37.16,14,15
1674,1674,93,93,1,Tue,Home Worker,HH,39.86,8,9
1695,1695,117,142,1,Tue,Resident Worker,HW,31.46,8,9
1696,1696,188,117,1,Tue,Resident Worker,HH,31.46,13,14
1697,1697,117,117,1,Tue,Resident Worker,HH,74.6,21,22
1701,1701,195,143,1,Tue,Home Worker,HO,43.48,14,15
1702,1702,143,192,1,Tue,Home Worker,OH,43.48,17,18
1705,1705,74,51,1,Tue,Resident Worker,OO,49.89,11,12
1790,1790,119,104,1,Tue,Home Worker,HO,42.75,9,10
1791,1791,104,119,1,Tue,Home Worker,OH,42.75,14,15
1823,1823,192,192,1,Tue,Resident Worker,OO,45.28,21,22
1827,1827,96,230,1,Tue,Short Term Visitor,OO,47.23,18,19
1859,1859,43,53,1,Tue,Home Worker,HH,64.56,15,16
1886,1886,122,86,1,Tue,Home Worker,HH,35.59,7,8
1978,1978,229,40,1,Tue,Long Term Visitor,HO,38.91,13,14
2020,2020,33,27,1,Tue,Home Worker,HO,67.76,7,8
2021,2021,27,33,1,Tue,Home Worker,OH,67.76,10,11
2022,2022,33,189,1,Tue,Home Worker,HO,67.76,14,15
2110,2110,154,154,1,Tue,Long Term Visitor,HH,45.55,15,16
2124,2124,214,214,1,Tue,Home Worker,HH,152.34,7,8
2136,2136,3,3,1,Tue,Home Worker,HH,62.8,16,17
2151,2151,125,3,1,Tue,Long Term Visitor,OO,30.03,15,16
2158,2158,155,155,1,Tue,Resident Worker,OO,55.97,8,9
2177,2177,218,218,1,Tue,Long Term Visitor,OO,24.28,14,15
2180,2180,117,117,1,Tue,Home Worker,HH,64.09,6,7
2181,2181,143,117,1,Tue,Home Worker,HH,29.2,16,17
2188,2188,195,195,1,Tue,Home Worker,HH,55.4,7,8
2199,2199,64,106,1,Tue,Inbound Commuter,OW,67.04,7,8
2236,2236,117,213,1,Tue,Resident Worker,HW,84.2,6,7
2239,2239,111,208,1,Tue,Resident Worker,HW,54.7,7,8
2240,2240,208,111,1,Tue,Resident Worker,WH,54.7,12,13
2244,2244,12,12,1,Tue,Outbound Commuter,HH,36.8,7,8
2298,2298,152,152,1,Tue,Home Worker,HH,64.94,7,8
2299,2299,55,47,1,Tue,Resident Worker,HH,55.24,9,10
2300,2300,47,69,1,Tue,Resident Worker,HH,55.24,14,15
2301,2301,69,47,1,Tue,Resident Worker,HH,55.24,15,16
2322,2322,44,99,1,Tue,Home Worker,HO,50.78,10,11
2323,2323,99,192,1,Tue,Home Worker,OO,50.78,11,12
2324,2324,192,112,1,Tue,Home Worker,OO,50.78,12,13
2325,2325,112,37,1,Tue,Home Worker,OO,50.78,14,15
