Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
0,4005,4005,3,Thu,Short Term Visitor,OH,3948.76,0,1
1,4005,4005,3,Thu,Short Term Visitor,HH,3472.69,0,1
17,4005,4005,3,Thu,Short Term Visitor,OH,1106.99,4,5
22,4005,4005,3,Thu,Short Term Visitor,OO,1250.55,0,1
27,4005,4005,3,Thu,Short Term Visitor,OH,890.64,2,3
29,4005,4005,3,Thu,Short Term Visitor,OH,977.13,3,4
53,4005,4005,3,Thu,Short Term Visitor,WH,1108.28,0,1
71,4005,4005,3,Thu,Short Term Visitor,WH,427.46,3,4
76,4005,4005,3,Thu,Short Term Visitor,OH,1638.25,1,2
142,4005,4005,3,Thu,Long Term Visitor,OO,488.11,0,1
179,4005,4005,3,Thu,Short Term Visitor,HO,221.86,0,1
237,4005,4005,3,Thu,Short Term Visitor,WH,288.78,1,2
277,4005,4005,3,Thu,Inbound Commuter,HH,98.73,0,1
301,4005,4005,3,Thu,Long Term Visitor,OH,10.07,0,1
393,4005,4005,3,Thu,Short Term Visitor,WH,276.98,2,3
446,4005,4005,3,Thu,Long Term Visitor,HH,110.44,0,1
712,4005,4005,3,Thu,Short Term Visitor,HW,105.89,0,1
865,4005,4005,3,Thu,Short Term Visitor,WH,295.6,4,5
879,4005,4005,3,Thu,Short Term Visitor,OW,24.95,0,1
887,4005,4005,3,Thu,Inbound Commuter,HO,30.7,0,1
888,4005,4005,3,Thu,Inbound Commuter,OH,94.41,1,2
956,4005,4005,3,Thu,Inbound Commuter,WH,55.67,0,1
1141,4005,4005,3,Thu,Inbound Commuter,OH,93.53,0,1
1272,4005,4005,3,Thu,Inbound Commuter,OH,41.84,3,4
1419,4005,4005,3,Thu,Inbound Commuter,OH,17.5,2,3
1516,4005,4005,3,Thu,Long Term Visitor,OH,19.22,2,3
1676,4005,4005,3,Thu,Short Term Visitor,WW,15.39,0,1
2065,4005,4005,3,Thu,Short Term Visitor,WO,13757.71,17,18
2066,4005,4005,3,Thu,Short Term Visitor,OO,15970.79,20,21
2072,4005,4005,3,Thu,Short Term Visitor,OO,23343.89,8,9
2073,4005,4005,3,Thu,Short Term Visitor,HW,17109.1,8,9
2074,4005,4005,3,Thu,Short Term Visitor,WW,8332.51,11,12
2075,4005,4005,3,Thu,Short Term Visitor,WW,3155.62,17,18
2076,4005,4005,3,Thu,Short Term Visitor,WH,9254.52,18,19
2077,4005,4005,3,Thu,Short Term Visitor,HH,14858.04,21,22
2078,4005,4005,3,Thu,Short Term Visitor,HH,9152.25,22,23
2094,4005,4005,3,Thu,Short Term Visitor,OO,6579.04,5,6
2095,4005,4005,3,Thu,Short Term Visitor,OW,9421.29,7,8
2096,4005,4005,3,Thu,Short Term Visitor,WO,3206.16,9,10
2097,4005,4005,3,Thu,Short Term Visitor,OO,30309.14,13,14
2098,4005,4005,3,Thu,Short Term Visitor,OO,31519.42,14,15
2099,4005,4005,3,Thu,Long Term Visitor,OO,21347.38,9,10
2100,4005,4005,3,Thu,Long Term Visitor,OO,20700.64,10,11
2101,4005,4005,3,Thu,Long Term Visitor,OO,14000.71,14,15
2107,4005,4005,3,Thu,Short Term Visitor,HH,19686.04,12,13
2108,4005,4005,3,Thu,Short Term Visitor,HW,28679.17,6,7
2109,4005,4005,3,Thu,Short Term Visitor,WH,13666.12,15,16
2110,4005,4005,3,Thu,Short Term Visitor,OO,18740.07,7,8
2111,4005,4005,3,Thu,Short Term Visitor,OO,30647.35,12,13
2112,4005,4005,3,Thu,Short Term Visitor,OO,30995.01,16,17
2113,4005,4005,3,Thu,Short Term Visitor,OO,21203.86,19,20
2136,4005,4005,3,Thu,Short Term Visitor,HO,12116.7,11,12
2137,4005,4005,3,Thu,Short Term Visitor,OH,17024.26,16,17
2138,4005,4005,3,Thu,Short Term Visitor,HH,18184.42,19,20
2175,4005,4005,3,Thu,Long Term Visitor,OO,16486.33,16,17
2189,4005,4005,3,Thu,Short Term Visitor,OO,30227.58,10,11
2190,4005,4005,3,Thu,Short Term Visitor,OO,32792.67,17,18
2191,4005,4005,3,Thu,Short Term Visitor,OO,25692.31,18,19
2199,4005,4005,3,Thu,Short Term Visitor,HW,32069.09,7,8
2200,4005,4005,3,Thu,Short Term Visitor,WH,18271.86,17,18
2239,4005,4005,3,Thu,Short Term Visitor,OO,5770.01,22,23
2243,4005,4005,3,Thu,Short Term Visitor,HH,21006.61,9,10
2244,4005,4005,3,Thu,Short Term Visitor,HH,20927.29,15,16
2260,4005,4005,3,Thu,Short Term Visitor,HH,22472.78,14,15
2266,4005,4005,3,Thu,Short Term Visitor,HH,22449.45,6,7
2303,4005,4005,3,Thu,Short Term Visitor,HH,24141.44,7,8
2323,4005,4005,3,Thu,Inbound Commuter,HH,1170.19,6,7
2332,4005,4005,3,Thu,Short Term Visitor,WW,6419.02,13,14
2360,4005,4005,3,Thu,Short Term Visitor,HH,15358.06,5,6
2371,4005,4005,3,Thu,Short Term Visitor,HO,11653.48,17,18
2372,4005,4005,3,Thu,Long Term Visitor,OO,18401.78,8,9
2373,4005,4005,3,Thu,Long Term Visitor,OO,15979.16,15,16
2388,4005,4005,3,Thu,Short Term Visitor,WW,5076.4,9,10
2389,4005,4005,3,Thu,Short Term Visitor,HH,16401.74,20,21
2402,4005,4005,3,Thu,Short Term Visitor,HO,17977.17,8,9
2403,4005,4005,3,Thu,Short Term Visitor,OH,11636.23,12,13
2404,4005,4005,3,Thu,Short Term Visitor,HO,8801.69,18,19
2414,4005,4005,3,Thu,Short Term Visitor,WH,3063.79,11,12
2415,4005,4005,3,Thu,Short Term Visitor,HW,3015.74,14,15
2416,4005,4005,3,Thu,Short Term Visitor,HH,23068.2,16,17
2417,4005,4005,3,Thu,Short Term Visitor,HH,25406.23,17,18
2422,4005,4005,3,Thu,Inbound Commuter,OO,799.74,10,11
2441,4005,4005,3,Thu,Short Term Visitor,OW,5128.55,9,10
2451,4005,4005,3,Thu,Short Term Visitor,HO,12976.35,14,15
2456,4005,4005,3,Thu,Long Term Visitor,OO,3391.24,22,23
2459,4005,4005,3,Thu,Short Term Visitor,WH,17057.78,16,17
2475,4005,4005,3,Thu,Long Term Visitor,OO,13156.09,18,19
2488,4005,4005,3,Thu,Short Term Visitor,OH,19373.12,20,21
2489,4005,4005,3,Thu,Short Term Visitor,HO,21559.05,6,7
2490,4005,4005,3,Thu,Short Term Visitor,OH,6691.04,10,11
2511,4005,4005,3,Thu,Short Term Visitor,OH,19725.48,19,20
2535,4005,4005,3,Thu,Short Term Visitor,OO,16125.9,6,7
2548,4005,4005,3,Thu,Short Term Visitor,OH,8934.65,11,12
2558,4005,4005,3,Thu,Short Term Visitor,OO,31450.0,11,12
2572,4005,4005,3,Thu,Short Term Visitor,HO,11368.08,13,14
2573,4005,4005,3,Thu,Short Term Visitor,OH,15453.58,15,16
2574,4005,4005,3,Thu,Short Term Visitor,HO,10970.62,12,13
2575,4005,4005,3,Thu,Short Term Visitor,OH,15557.12,21,22
2579,4005,4005,3,Thu,Short Term Visitor,HO,15463.0,9,10
2580,4005,4005,3,Thu,Short Term Visitor,HO,4118.69,20,21
2590,4005,4005,3,Thu,Short Term Visitor,HH,18578.51,13,14
2597,4005,4005,3,Thu,Short Term Visitor,OO,31326.82,15,16
2600,4005,4005,3,Thu,Long Term Visitor,OO,16643.81,13,14
