Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
1,4005,4005,22,Tue,Short Term Visitor,WH,323.13,1,2
3,4005,4005,22,Tue,Short Term Visitor,OH,1189.18,4,5
17,4005,4005,22,Tue,Short Term Visitor,OH,3140.48,0,1
19,4005,4005,22,Tue,Short Term Visitor,OH,859.8,3,4
32,4005,4005,22,Tue,Short Term Visitor,HH,2385.03,0,1
34,4005,4005,22,Tue,Short Term Visitor,OH,1824.05,1,2
61,4005,4005,22,Tue,Inbound Commuter,HH,58.67,0,1
63,4005,4005,22,Tue,Short Term Visitor,WH,350.55,2,3
80,4005,4005,22,Tue,Short Term Visitor,WH,1471.77,0,1
81,4005,4005,22,Tue,Short Term Visitor,OO,913.57,0,1
89,4005,4005,22,Tue,Short Term Visitor,HO,297.84,0,1
97,4005,4005,22,Tue,Short Term Visitor,OH,863.11,2,3
170,4005,4005,22,Tue,Long Term Visitor,HH,60.72,0,1
178,4005,4005,22,Tue,Short Term Visitor,WO,125.68,0,1
215,4005,4005,22,Tue,Short Term Visitor,WH,201.43,4,5
233,4005,4005,22,Tue,Long Term Visitor,OH,51.21,4,5
248,4005,4005,22,Tue,Short Term Visitor,WH,214.9,3,4
361,4005,4005,22,Tue,Long Term Visitor,WH,98.55,0,1
362,4005,4005,22,Tue,Inbound Commuter,OH,170.78,0,1
494,4005,4005,22,Tue,Short Term Visitor,HW,110.21,0,1
554,4005,4005,22,Tue,Long Term Visitor,OO,195.0,0,1
814,4005,4005,22,Tue,Inbound Commuter,OH,15.13,4,5
988,4005,4005,22,Tue,Short Term Visitor,OW,58.28,0,1
1031,4005,4005,22,Tue,Long Term Visitor,OH,16.57,0,1
1058,4005,4005,22,Tue,Inbound Commuter,OH,14.45,3,4
1080,4005,4005,22,Tue,Long Term Visitor,WH,12.4,2,3
1188,4005,4005,22,Tue,Inbound Commuter,OH,51.55,1,2
1324,4005,4005,22,Tue,Resident Worker,OO,13.47,0,1
1430,4005,4005,22,Tue,Long Term Visitor,OH,31.6,3,4
1634,4005,4005,22,Tue,Outbound Commuter,HW,21.31,0,1
1695,4005,4005,22,Tue,Home Worker,OO,25.08,0,1
1753,4005,4005,22,Tue,Inbound Commuter,OH,29.74,2,3
1789,4005,4005,22,Tue,Short Term Visitor,HH,21029.51,9,10
1819,4005,4005,22,Tue,Short Term Visitor,HO,20860.47,6,7
1820,4005,4005,22,Tue,Short Term Visitor,OO,17269.48,7,8
1821,4005,4005,22,Tue,Short Term Visitor,OO,20807.1,8,9
1822,4005,4005,22,Tue,Short Term Visitor,OO,23478.41,9,10
1823,4005,4005,22,Tue,Short Term Visitor,OO,28292.74,11,12
1824,4005,4005,22,Tue,Short Term Visitor,OO,26433.98,12,13
1825,4005,4005,22,Tue,Short Term Visitor,OH,12376.67,13,14
1826,4005,4005,22,Tue,Short Term Visitor,HH,23758.31,17,18
1827,4005,4005,22,Tue,Short Term Visitor,HH,7684.52,22,23
1852,4005,4005,22,Tue,Short Term Visitor,HW,10523.01,9,10
1853,4005,4005,22,Tue,Short Term Visitor,WW,6823.79,10,11
1854,4005,4005,22,Tue,Short Term Visitor,WH,7075.35,13,14
1855,4005,4005,22,Tue,Short Term Visitor,HH,22808.34,16,17
1861,4005,4005,22,Tue,Long Term Visitor,OO,7264.06,14,15
1862,4005,4005,22,Tue,Long Term Visitor,OO,7662.32,15,16
1904,4005,4005,22,Tue,Short Term Visitor,HW,33625.21,7,8
1905,4005,4005,22,Tue,Short Term Visitor,WH,13905.97,15,16
1935,4005,4005,22,Tue,Short Term Visitor,OW,4214.76,11,12
1936,4005,4005,22,Tue,Short Term Visitor,WO,7931.29,13,14
1937,4005,4005,22,Tue,Short Term Visitor,OW,3077.65,16,17
1938,4005,4005,22,Tue,Short Term Visitor,WO,13280.39,17,18
1942,4005,4005,22,Tue,Short Term Visitor,OO,27412.98,17,18
1950,4005,4005,22,Tue,Short Term Visitor,WO,14375.13,15,16
1951,4005,4005,22,Tue,Short Term Visitor,WH,18493.59,16,17
1952,4005,4005,22,Tue,Short Term Visitor,HO,5184.53,19,20
1953,4005,4005,22,Tue,Short Term Visitor,OO,16229.9,20,21
1954,4005,4005,22,Tue,Short Term Visitor,OO,5034.68,22,23
1955,4005,4005,22,Tue,Short Term Visitor,OO,1675.59,23,24
1963,4005,4005,22,Tue,Long Term Visitor,OO,5130.88,19,20
1964,4005,4005,22,Tue,Long Term Visitor,OO,4429.33,20,21
1965,4005,4005,22,Tue,Long Term Visitor,OO,541.69,23,24
1976,4005,4005,22,Tue,Short Term Visitor,OO,27311.98,13,14
1987,4005,4005,22,Tue,Short Term Visitor,OO,7635.88,5,6
1988,4005,4005,22,Tue,Short Term Visitor,OO,20542.45,19,20
1990,4005,4005,22,Tue,Short Term Visitor,OO,18023.51,6,7
1991,4005,4005,22,Tue,Short Term Visitor,OH,14779.46,15,16
2004,4005,4005,22,Tue,Short Term Visitor,HO,16835.58,8,9
2005,4005,4005,22,Tue,Short Term Visitor,OO,27985.3,14,15
2006,4005,4005,22,Tue,Short Term Visitor,OH,15554.91,16,17
2007,4005,4005,22,Tue,Short Term Visitor,HO,7694.81,18,19
2008,4005,4005,22,Tue,Short Term Visitor,OH,8140.43,22,23
2012,4005,4005,22,Tue,Short Term Visitor,HO,12218.47,10,11
2013,4005,4005,22,Tue,Short Term Visitor,OH,9250.72,11,12
2016,4005,4005,22,Tue,Short Term Visitor,HW,30579.12,6,7
2024,4005,4005,22,Tue,Short Term Visitor,OH,1615.7,6,7
2025,4005,4005,22,Tue,Short Term Visitor,HH,19127.77,10,11
2034,4005,4005,22,Tue,Long Term Visitor,OO,4150.5,6,7
2041,4005,4005,22,Tue,Resident Worker,OO,501.31,12,13
2054,4005,4005,22,Tue,Short Term Visitor,HO,19816.75,7,8
2055,4005,4005,22,Tue,Short Term Visitor,OH,14831.64,21,22
2080,4005,4005,22,Tue,Short Term Visitor,HO,12698.71,16,17
2081,4005,4005,22,Tue,Short Term Visitor,OH,17564.12,18,19
2092,4005,4005,22,Tue,Outbound Commuter,OW,240.88,7,8
2100,4005,4005,22,Tue,Short Term Visitor,HH,18796.89,12,13
2143,4005,4005,22,Tue,Short Term Visitor,WH,9386.24,18,19
2151,4005,4005,22,Tue,Short Term Visitor,OO,29342.59,15,16
2152,4005,4005,22,Tue,Short Term Visitor,OH,19320.1,20,21
2188,4005,4005,22,Tue,Short Term Visitor,HH,20312.77,15,16
2195,4005,4005,22,Tue,Short Term Visitor,OW,4364.74,13,14
2196,4005,4005,22,Tue,Short Term Visitor,WW,3676.67,17,18
2197,4005,4005,22,Tue,Short Term Visitor,WH,18448.83,17,18
2201,4005,4005,22,Tue,Short Term Visitor,OO,27921.2,16,17
2202,4005,4005,22,Tue,Short Term Visitor,OW,7158.01,6,7
2203,4005,4005,22,Tue,Short Term Visitor,WW,2726.49,7,8
2204,4005,4005,22,Tue,Short Term Visitor,WW,7415.04,11,12
2205,4005,4005,22,Tue,Short Term Visitor,WW,5072.57,16,17
