Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
3,4005,4005,20,Sun,Short Term Visitor,OH,6333.69,0,1
8,4005,4005,20,Sun,Short Term Visitor,OH,3576.32,1,2
28,4005,4005,20,Sun,Short Term Visitor,WO,253.06,0,1
60,4005,4005,20,Sun,Short Term Visitor,WH,1914.42,0,1
81,4005,4005,20,Sun,Short Term Visitor,HH,3962.55,0,1
82,4005,4005,20,Sun,Short Term Visitor,OH,1965.6,2,3
85,4005,4005,20,Sun,Short Term Visitor,OH,864.0,3,4
151,4005,4005,20,Sun,Short Term Visitor,WH,387.63,1,2
171,4005,4005,20,Sun,Short Term Visitor,WH,243.4,4,5
189,4005,4005,20,Sun,Short Term Visitor,OO,1197.34,0,1
199,4005,4005,20,Sun,Short Term Visitor,HW,126.83,0,1
216,4005,4005,20,Sun,Long Term Visitor,OO,878.98,0,1
229,4005,4005,20,Sun,Inbound Commuter,HH,88.2,0,1
301,4005,4005,20,Sun,Short Term Visitor,WW,204.61,0,1
345,4005,4005,20,Sun,Short Term Visitor,HO,438.3,0,1
357,4005,4005,20,Sun,Short Term Visitor,WH,313.08,3,4
361,4005,4005,20,Sun,Short Term Visitor,WH,264.87,2,3
628,4005,4005,20,Sun,Short Term Visitor,OH,884.04,4,5
783,4005,4005,20,Sun,Resident Worker,OO,46.43,0,1
811,4005,4005,20,Sun,Long Term Visitor,HH,201.1,0,1
813,4005,4005,20,Sun,Long Term Visitor,OH,44.64,0,1
816,4005,4005,20,Sun,Home Worker,OO,88.98,0,1
871,4005,4005,20,Sun,Inbound Commuter,OH,198.72,0,1
876,4005,4005,20,Sun,Long Term Visitor,OH,31.59,3,4
1152,4005,4005,20,Sun,Long Term Visitor,OH,96.01,1,2
1214,4005,4005,20,Sun,Outbound Commuter,HW,40.55,0,1
1420,4005,4005,20,Sun,Long Term Visitor,OH,32.97,2,3
1529,4005,4005,20,Sun,Inbound Commuter,OH,13.77,4,5
1692,4005,4005,20,Sun,Inbound Commuter,OH,30.32,2,3
2605,4005,4005,20,Sun,Inbound Commuter,OH,125.35,1,2
3134,4005,4005,20,Sun,Outbound Commuter,OO,25.36,0,1
3138,4005,4005,20,Sun,Long Term Visitor,WO,37.45,0,1
3209,4005,4005,20,Sun,Inbound Commuter,OO,29.51,0,1
3760,4005,4005,20,Sun,Short Term Visitor,HH,26090.92,11,12
3815,4005,4005,20,Sun,Short Term Visitor,HH,8545.73,5,6
3816,4005,4005,20,Sun,Short Term Visitor,HO,8649.93,6,7
3817,4005,4005,20,Sun,Short Term Visitor,OH,8864.82,11,12
3844,4005,4005,20,Sun,Short Term Visitor,HH,33909.25,9,10
3846,4005,4005,20,Sun,Short Term Visitor,HW,4561.54,7,8
3847,4005,4005,20,Sun,Short Term Visitor,WH,2866.54,17,18
3881,4005,4005,20,Sun,Short Term Visitor,HW,3590.52,6,7
3882,4005,4005,20,Sun,Short Term Visitor,WO,2212.48,9,10
3883,4005,4005,20,Sun,Short Term Visitor,OW,2166.21,11,12
3884,4005,4005,20,Sun,Short Term Visitor,WH,2388.41,18,19
3885,4005,4005,20,Sun,Short Term Visitor,HO,3844.41,19,20
3886,4005,4005,20,Sun,Short Term Visitor,OH,12718.05,20,21
3887,4005,4005,20,Sun,Short Term Visitor,HH,13779.16,21,22
3888,4005,4005,20,Sun,Short Term Visitor,HH,2400.02,23,24
3889,4005,4005,20,Sun,Short Term Visitor,HH,28956.47,10,11
3890,4005,4005,20,Sun,Short Term Visitor,HH,19428.98,7,8
3894,4005,4005,20,Sun,Short Term Visitor,HO,17950.68,10,11
3895,4005,4005,20,Sun,Short Term Visitor,OO,20076.14,15,16
3896,4005,4005,20,Sun,Short Term Visitor,OH,14142.15,19,20
3900,4005,4005,20,Sun,Short Term Visitor,WO,2191.4,12,13
3901,4005,4005,20,Sun,Short Term Visitor,OO,8258.79,21,22
3903,4005,4005,20,Sun,Long Term Visitor,OO,798.72,23,24
3906,4005,4005,20,Sun,Short Term Visitor,OO,5761.51,6,7
3907,4005,4005,20,Sun,Short Term Visitor,OO,16447.39,19,20
3911,4005,4005,20,Sun,Short Term Visitor,HO,19002.63,8,9
3912,4005,4005,20,Sun,Short Term Visitor,OH,10781.66,21,22
3917,4005,4005,20,Sun,Short Term Visitor,HH,18649.36,19,20
3925,4005,4005,20,Sun,Short Term Visitor,OO,33184.7,12,13
3926,4005,4005,20,Sun,Short Term Visitor,OO,27355.86,13,14
3927,4005,4005,20,Sun,Short Term Visitor,OO,24750.09,14,15
3928,4005,4005,20,Sun,Short Term Visitor,HO,2773.15,20,21
3936,4005,4005,20,Sun,Long Term Visitor,OO,15852.33,9,10
3946,4005,4005,20,Sun,Long Term Visitor,OO,10627.43,8,9
