Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
10,1175,1175,5,Sat,Home Worker,OO,8.69,0,1
12,1220,1318,5,Sat,Home Worker,OH,23.35,2,3
30,1208,1132,5,Sat,Home Worker,OH,80.02,2,3
50,1109,1212,5,Sat,Outbound Commuter,OH,45.33,0,1
66,1109,1179,5,Sat,Home Worker,OH,8.66,1,2
86,1241,1322,5,Sat,Resident Worker,OH,8.42,0,1
88,1143,1198,5,Sat,Resident Worker,WO,19.3,0,1
89,1198,1243,5,Sat,Resident Worker,OH,19.3,0,1
106,1149,1147,5,Sat,Home Worker,OH,15.02,0,1
146,1182,1182,5,Sat,Home Worker,HH,18.14,0,1
152,1127,1132,5,Sat,Home Worker,OH,65.75,0,1
190,1262,1198,5,Sat,Home Worker,OH,25.5,0,1
197,1147,1185,5,Sat,Home Worker,OH,50.59,1,2
215,1344,1297,5,Sat,Home Worker,OH,44.6,1,2
267,1140,1103,5,Sat,Long Term Visitor,OO,33.07,0,1
277,1141,1141,5,Sat,Long Term Visitor,OO,88.15,0,1
278,1202,1211,5,Sat,Home Worker,OH,30.08,0,1
282,1132,1216,5,Sat,Resident Worker,OH,46.29,0,1
302,1109,1243,5,Sat,Home Worker,OH,27.22,3,4
317,1176,1140,5,Sat,Long Term Visitor,OO,9.47,0,1
329,1335,1238,5,Sat,Resident Worker,HW,54.16,0,1
330,1238,1335,5,Sat,Resident Worker,WH,54.16,0,1
459,1220,1326,5,Sat,Resident Worker,HH,22.62,0,1
497,1145,1182,5,Sat,Resident Worker,HH,20.48,0,1
512,1132,1337,5,Sat,Resident Worker,WH,45.66,4,5
520,1203,1259,5,Sat,Home Worker,OH,50.11,2,3
554,1145,1130,5,Sat,Resident Worker,OH,78.14,0,1
555,1317,1251,5,Sat,Home Worker,HH,19.44,0,1
558,1306,1318,5,Sat,Home Worker,OH,18.5,3,4
568,1232,1243,5,Sat,Resident Worker,OO,48.85,0,1
590,1243,1292,5,Sat,Home Worker,OH,35.72,1,2
612,1121,1296,5,Sat,Resident Worker,OH,69.93,2,3
613,1232,1214,5,Sat,Home Worker,OH,47.13,0,1
642,1270,1253,5,Sat,Resident Worker,OH,25.9,1,2
696,1147,1156,5,Sat,Home Worker,OH,46.46,3,4
727,1157,1214,5,Sat,Home Worker,OH,44.92,0,1
764,1303,1300,5,Sat,Outbound Commuter,OO,27.08,0,1
835,1109,1149,5,Sat,Long Term Visitor,OO,33.17,0,1
847,1232,1241,5,Sat,Resident Worker,HH,43.2,0,1
882,1215,1251,5,Sat,Resident Worker,WH,23.63,4,5
900,1263,1267,5,Sat,Home Worker,HH,24.92,0,1
933,1318,1318,5,Sat,Home Worker,HH,31.42,0,1
941,1144,1144,5,Sat,Home Worker,HH,19.63,0,1
954,1261,1265,5,Sat,Home Worker,HO,64.93,0,1
955,1265,1261,5,Sat,Home Worker,OH,64.93,0,1
956,1241,1218,5,Sat,Resident Worker,OH,23.31,3,4
960,1228,1226,5,Sat,Resident Worker,OO,80.44,0,1
972,1211,1233,5,Sat,Resident Worker,OH,35.35,0,1
1029,1229,1210,5,Sat,Outbound Commuter,OO,70.44,0,1
1030,1210,1320,5,Sat,Outbound Commuter,OO,70.44,0,1
1036,1103,1224,5,Sat,Home Worker,OH,23.52,0,1
1047,1330,1103,5,Sat,Resident Worker,OH,6.45,0,1
1080,1225,1314,5,Sat,Home Worker,OH,46.67,0,1
1099,1232,1211,5,Sat,Resident Worker,OO,48.78,0,1
1123,1263,1263,5,Sat,Home Worker,HH,59.82,0,1
1137,1262,1226,5,Sat,Resident Worker,OH,45.41,0,1
1138,1202,1235,5,Sat,Resident Worker,WH,40.28,0,1
1162,1109,1225,5,Sat,Home Worker,OH,24.0,0,1
1183,1314,1314,5,Sat,Home Worker,HH,27.03,0,1
