Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
2,4005,4005,21,Mon,Short Term Visitor,HH,2878.86,0,1
4,4005,4005,21,Mon,Short Term Visitor,OO,671.62,0,1
5,4005,4005,21,Mon,Short Term Visitor,OH,1912.2,1,2
22,4005,4005,21,Mon,Short Term Visitor,OH,3099.42,0,1
24,4005,4005,21,Mon,Short Term Visitor,OH,988.66,2,3
42,4005,4005,21,Mon,Short Term Visitor,WH,289.61,1,2
49,4005,4005,21,Mon,Short Term Visitor,OH,917.33,4,5
64,4005,4005,21,Mon,Long Term Visitor,OH,51.22,0,1
67,4005,4005,21,Mon,Short Term Visitor,HO,244.27,0,1
70,4005,4005,21,Mon,Short Term Visitor,WH,1177.11,0,1
99,4005,4005,21,Mon,Short Term Visitor,OW,47.75,0,1
125,4005,4005,21,Mon,Long Term Visitor,OO,526.87,0,1
218,4005,4005,21,Mon,Short Term Visitor,WH,296.38,2,3
236,4005,4005,21,Mon,Inbound Commuter,OO,94.66,0,1
252,4005,4005,21,Mon,Short Term Visitor,OH,565.65,3,4
271,4005,4005,21,Mon,Inbound Commuter,OH,20.37,1,2
350,4005,4005,21,Mon,Short Term Visitor,HW,161.81,0,1
376,4005,4005,21,Mon,Resident Worker,OO,95.67,0,1
379,4005,4005,21,Mon,Short Term Visitor,WH,110.57,4,5
443,4005,4005,21,Mon,Short Term Visitor,WH,198.55,3,4
537,4005,4005,21,Mon,Short Term Visitor,WW,26.35,0,1
545,4005,4005,21,Mon,Inbound Commuter,OH,34.65,3,4
565,4005,4005,21,Mon,Short Term Visitor,WO,30.28,0,1
625,4005,4005,21,Mon,Home Worker,OO,36.87,0,1
769,4005,4005,21,Mon,Inbound Commuter,HO,13.64,0,1
785,4005,4005,21,Mon,Inbound Commuter,HH,47.87,0,1
946,4005,4005,21,Mon,Long Term Visitor,HH,73.78,0,1
1062,4005,4005,21,Mon,Inbound Commuter,OH,25.42,2,3
1262,4005,4005,21,Mon,Long Term Visitor,OH,20.95,3,4
1449,4005,4005,21,Mon,Inbound Commuter,OH,23.74,4,5
1523,4005,4005,21,Mon,Inbound Commuter,OH,20.1,0,1
1674,4005,4005,21,Mon,Long Term Visitor,OH,32.54,2,3
1743,4005,4005,21,Mon,Short Term Visitor,HH,18817.55,13,14
1766,4005,4005,21,Mon,Resident Worker,OO,343.84,11,12
