Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
13,1240,1136,30,Wed,Resident Worker,OH,51.81,0,1
27,1261,1267,30,Wed,Resident Worker,WH,78.0,0,1
52,1175,1175,30,Wed,Long Term Visitor,OO,72.2,0,1
59,1281,1277,30,Wed,Long Term Visitor,OO,38.98,0,1
65,1252,1252,30,Wed,Home Worker,HH,38.03,0,1
112,1270,1270,30,Wed,Resident Worker,HH,38.37,0,1
155,1314,1234,30,Wed,Resident Worker,OH,44.28,1,2
158,1228,1337,30,Wed,Home Worker,OH,63.12,0,1
183,1187,1286,30,Wed,Resident Worker,WH,56.53,1,2
187,1133,1135,30,Wed,Home Worker,OH,51.95,1,2
200,1189,1166,30,Wed,Resident Worker,OH,51.86,0,1
266,1243,1218,30,Wed,Resident Worker,OO,69.38,0,1
275,1212,1229,30,Wed,Resident Worker,OH,62.99,1,2
286,1220,1241,30,Wed,Home Worker,OH,24.83,4,5
291,1189,1211,30,Wed,Resident Worker,WH,57.36,4,5
299,1297,1334,30,Wed,Home Worker,OH,31.38,1,2
302,1135,1136,30,Wed,Resident Worker,HW,35.49,0,1
303,1136,1135,30,Wed,Resident Worker,WH,35.49,0,1
309,1106,1150,30,Wed,Resident Worker,WH,36.39,0,1
324,1334,1203,30,Wed,Resident Worker,OH,29.01,0,1
356,1183,1334,30,Wed,Home Worker,OH,41.36,1,2
358,1311,1225,30,Wed,Home Worker,OH,24.44,1,2
406,1104,1139,30,Wed,Resident Worker,OH,8.74,1,2
443,1226,1312,30,Wed,Home Worker,OH,41.33,0,1
455,1232,1166,30,Wed,Home Worker,OH,43.62,0,1
538,1232,1235,30,Wed,Home Worker,OH,70.53,0,1
553,1270,1249,30,Wed,Home Worker,OH,28.73,1,2
554,1317,1211,30,Wed,Home Worker,OH,45.24,0,1
573,1263,1262,30,Wed,Resident Worker,HH,25.89,0,1
574,1235,1192,30,Wed,Resident Worker,WH,82.42,0,1
577,1262,1226,30,Wed,Long Term Visitor,OO,31.22,0,1
603,1154,1109,30,Wed,Resident Worker,WH,17.03,0,1
611,1269,1205,30,Wed,Resident Worker,OH,26.02,1,2
620,1262,1263,30,Wed,Resident Worker,WH,72.75,1,2
625,1221,1221,30,Wed,Resident Worker,OO,36.13,0,1
666,1235,1234,30,Wed,Resident Worker,WO,42.09,0,1
675,1251,1251,30,Wed,Home Worker,HH,28.79,0,1
683,1203,1223,30,Wed,Resident Worker,OH,27.01,0,1
741,1225,1261,30,Wed,Resident Worker,OH,61.22,0,1
768,1319,1319,30,Wed,Home Worker,HH,29.65,0,1
770,1149,1149,30,Wed,Long Term Visitor,HH,23.13,0,1
792,1208,1225,30,Wed,Home Worker,OH,22.5,2,3
820,1308,1106,30,Wed,Long Term Visitor,OO,37.77,0,1
837,1102,1289,30,Wed,Home Worker,OH,44.81,4,5
892,1156,1297,30,Wed,Home Worker,OH,42.56,0,1
906,1149,1273,30,Wed,Home Worker,OH,56.98,3,4
913,1109,1294,30,Wed,Resident Worker,WH,8.7,0,1
937,1262,1262,30,Wed,Resident Worker,WW,45.0,0,1
938,1262,1226,30,Wed,Resident Worker,WH,45.0,1,2
941,1139,1309,30,Wed,Home Worker,OH,7.86,0,1
947,1153,1149,30,Wed,Outbound Commuter,OO,59.25,0,1
950,1154,1334,30,Wed,Home Worker,OH,35.29,1,2
954,1261,1261,30,Wed,Resident Worker,OO,26.71,0,1
955,1299,1106,30,Wed,Resident Worker,WH,20.16,4,5
960,1228,1224,30,Wed,Resident Worker,OH,38.08,3,4
966,1132,1225,30,Wed,Resident Worker,OH,17.7,0,1
972,1143,1323,30,Wed,Home Worker,OH,25.92,0,1
974,1315,1244,30,Wed,Home Worker,OH,33.31,0,1
986,1326,1326,30,Wed,Resident Worker,HH,22.55,0,1
996,1314,1235,30,Wed,Home Worker,OH,33.0,4,5
1001,1232,1205,30,Wed,Resident Worker,WH,31.73,0,1
1030,1264,1259,30,Wed,Home Worker,OH,71.45,0,1
1053,1141,1106,30,Wed,Resident Worker,WH,21.14,1,2
1062,1270,1246,30,Wed,Short Term Visitor,OO,39.11,0,1
1077,1192,1109,30,Wed,Home Worker,OH,13.69,0,1
1091,1252,1325,30,Wed,Home Worker,OH,29.13,1,2
1092,1185,1334,30,Wed,Long Term Visitor,OO,37.03,0,1
