Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
2,4004,4004,17,Thu,Short Term Visitor,WH,119.91,3,4
72,4004,4004,17,Thu,Long Term Visitor,HH,71.38,0,1
152,4004,4004,17,Thu,Short Term Visitor,OO,348.85,0,1
228,4004,4004,17,Thu,Short Term Visitor,OH,100.67,1,2
391,4004,4004,17,Thu,Short Term Visitor,HH,421.76,0,1
412,4004,4004,17,Thu,Short Term Visitor,WH,48.18,1,2
438,4004,4004,17,Thu,Short Term Visitor,OH,152.63,2,3
458,4004,4004,17,Thu,Long Term Visitor,OO,85.21,0,1
466,4004,4004,17,Thu,Short Term Visitor,OH,27.72,3,4
470,4004,4004,17,Thu,Short Term Visitor,OH,283.91,0,1
814,4004,4004,17,Thu,Resident Worker,HH,21.66,0,1
854,4004,4004,17,Thu,Inbound Commuter,OO,31.25,0,1
956,4004,4004,17,Thu,Short Term Visitor,OW,15.68,0,1
957,4004,4004,17,Thu,Short Term Visitor,WH,76.7,0,1
975,4004,4004,17,Thu,Short Term Visitor,HW,28.42,0,1
1141,4004,4004,17,Thu,Short Term Visitor,OH,50.62,4,5
1331,4004,4004,17,Thu,Long Term Visitor,HO,23.13,0,1
1631,4004,4004,17,Thu,Inbound Commuter,HO,19.26,0,1
1632,4004,4004,17,Thu,Inbound Commuter,OH,19.26,3,4
1732,4004,4004,17,Thu,Short Term Visitor,HO,19.02,0,1
2307,4004,4004,17,Thu,Short Term Visitor,HO,1339.99,12,13
2344,4004,4004,17,Thu,Short Term Visitor,OO,6754.25,10,11
2422,4004,4004,17,Thu,Long Term Visitor,OO,2590.27,7,8
2423,4004,4004,17,Thu,Long Term Visitor,OO,8470.47,10,11
2440,4004,4004,17,Thu,Short Term Visitor,HW,1632.4,7,8
2441,4004,4004,17,Thu,Short Term Visitor,WO,107.72,8,9
2442,4004,4004,17,Thu,Short Term Visitor,OW,431.93,13,14
2510,4004,4004,17,Thu,Short Term Visitor,OW,807.74,7,8
2511,4004,4004,17,Thu,Short Term Visitor,WO,328.85,18,19
2545,4004,4004,17,Thu,Short Term Visitor,HH,3284.78,16,17
2593,4004,4004,17,Thu,Long Term Visitor,OO,6843.77,9,10
2594,4004,4004,17,Thu,Long Term Visitor,OO,5486.44,13,14
2595,4004,4004,17,Thu,Long Term Visitor,OO,4654.85,15,16
2676,4004,4004,17,Thu,Long Term Visitor,OO,5121.95,16,17
2685,4004,4004,17,Thu,Short Term Visitor,HH,3525.16,11,12
2686,4004,4004,17,Thu,Short Term Visitor,HH,3372.78,17,18
2695,4004,4004,17,Thu,Short Term Visitor,OO,6324.16,16,17
2701,4004,4004,17,Thu,Short Term Visitor,HO,1831.76,9,10
2702,4004,4004,17,Thu,Short Term Visitor,OH,1187.14,13,14
2722,4004,4004,17,Thu,Long Term Visitor,OO,2893.22,20,21
2794,4004,4004,17,Thu,Short Term Visitor,HH,2869.17,12,13
2810,4004,4004,17,Thu,Long Term Visitor,OO,7539.45,11,12
2891,4004,4004,17,Thu,Short Term Visitor,OO,6267.58,11,12
2915,4004,4004,17,Thu,Short Term Visitor,HW,1048.1,8,9
2916,4004,4004,17,Thu,Short Term Visitor,WH,256.45,21,22
3014,4004,4004,17,Thu,Outbound Commuter,WW,348.03,11,12
3015,4004,4004,17,Thu,Outbound Commuter,WO,200.79,14,15
3057,4004,4004,17,Thu,Short Term Visitor,OO,5263.82,13,14
3058,4004,4004,17,Thu,Short Term Visitor,OO,5393.77,17,18
3093,4004,4004,17,Thu,Short Term Visitor,HH,730.95,4,5
3174,4004,4004,17,Thu,Long Term Visitor,OO,4933.07,17,18
3235,4004,4004,17,Thu,Short Term Visitor,HH,3102.47,6,7
3424,4004,4004,17,Thu,Inbound Commuter,HH,77.87,20,21
3432,4004,4004,17,Thu,Inbound Commuter,OO,122.61,13,14
3433,4004,4004,17,Thu,Inbound Commuter,OO,133.3,14,15
3493,4004,4004,17,Thu,Short Term Visitor,OO,5992.01,14,15
3544,4004,4004,17,Thu,Long Term Visitor,OO,6535.97,12,13
3586,4004,4004,17,Thu,Short Term Visitor,OO,6729.42,12,13
3617,4004,4004,17,Thu,Short Term Visitor,HO,1910.32,7,8
3710,4004,4004,17,Thu,Long Term Visitor,OO,4958.95,18,19
3739,4004,4004,17,Thu,Short Term Visitor,HH,4013.0,8,9
3740,4004,4004,17,Thu,Short Term Visitor,HO,1608.74,8,9
3741,4004,4004,17,Thu,Short Term Visitor,OO,6877.05,9,10
3742,4004,4004,17,Thu,Short Term Visitor,OH,441.85,9,10
3743,4004,4004,17,Thu,Short Term Visitor,HO,1880.7,11,12
3744,4004,4004,17,Thu,Short Term Visitor,OH,1064.5,12,13
3745,4004,4004,17,Thu,Short Term Visitor,HH,2674.56,13,14
3746,4004,4004,17,Thu,Short Term Visitor,HO,822.37,14,15
3747,4004,4004,17,Thu,Short Term Visitor,OH,1161.94,15,16
3834,4004,4004,17,Thu,Short Term Visitor,HH,857.74,22,23
3966,4004,4004,17,Thu,Home Worker,OO,83.47,9,10
3967,4004,4004,17,Thu,Home Worker,OO,172.0,10,11
3968,4004,4004,17,Thu,Home Worker,OO,81.67,12,13
4090,4004,4004,17,Thu,Short Term Visitor,OO,5803.66,15,16
4144,4004,4004,17,Thu,Long Term Visitor,OO,525.6,5,6
4200,4004,4004,17,Thu,Short Term Visitor,OO,3956.44,19,20
4241,4004,4004,17,Thu,Long Term Visitor,OO,5311.34,8,9
4371,4004,4004,17,Thu,Short Term Visitor,HH,1608.8,20,21
4430,4004,4004,17,Thu,Short Term Visitor,HH,2525.89,5,6
4440,4004,4004,17,Thu,Short Term Visitor,OO,2017.95,7,8
4698,4004,4004,17,Thu,Long Term Visitor,OO,4870.81,14,15
5089,4004,4004,17,Thu,Short Term Visitor,OO,4225.04,8,9
5152,4004,4004,17,Thu,Short Term Visitor,OO,2365.11,21,22
5430,4004,4004,17,Thu,Short Term Visitor,HH,3920.56,10,11
5541,4004,4004,17,Thu,Long Term Visitor,OO,1148.94,22,23
5619,4004,4004,17,Thu,Short Term Visitor,WW,558.12,15,16
5724,4004,4004,17,Thu,Short Term Visitor,HW,538.21,9,10
5729,4004,4004,17,Thu,Short Term Visitor,WH,33.06,23,24
5959,4004,4004,17,Thu,Short Term Visitor,HH,2011.28,19,20
6094,4004,4004,17,Thu,Short Term Visitor,OH,792.97,18,19
6183,4004,4004,17,Thu,Short Term Visitor,WH,257.09,11,12
6318,4004,4004,17,Thu,Short Term Visitor,HH,2860.52,15,16
6349,4004,4004,17,Thu,Short Term Visitor,HO,568.22,5,6
