Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
10,4005,4005,17,Thu,Short Term Visitor,OH,965.52,4,5
12,4005,4005,17,Thu,Short Term Visitor,OH,3431.22,0,1
20,4005,4005,17,Thu,Short Term Visitor,HH,3237.6,0,1
23,4005,4005,17,Thu,Short Term Visitor,OH,863.0,2,3
53,4005,4005,17,Thu,Short Term Visitor,OO,823.92,0,1
55,4005,4005,17,Thu,Short Term Visitor,WH,1355.64,0,1
57,4005,4005,17,Thu,Short Term Visitor,OH,2030.19,1,2
79,4005,4005,17,Thu,Short Term Visitor,HO,223.66,0,1
81,4005,4005,17,Thu,Short Term Visitor,WH,414.14,4,5
97,4005,4005,17,Thu,Inbound Commuter,HH,46.53,0,1
115,4005,4005,17,Thu,Short Term Visitor,OH,608.78,3,4
155,4005,4005,17,Thu,Home Worker,HO,9.13,0,1
173,4005,4005,17,Thu,Short Term Visitor,WW,65.58,0,1
186,4005,4005,17,Thu,Long Term Visitor,OH,43.46,1,2
217,4005,4005,17,Thu,Short Term Visitor,WH,237.68,2,3
297,4005,4005,17,Thu,Long Term Visitor,HO,45.3,0,1
387,4005,4005,17,Thu,Short Term Visitor,WO,80.24,0,1
425,4005,4005,17,Thu,Short Term Visitor,HW,43.88,0,1
426,4005,4005,17,Thu,Short Term Visitor,WH,243.56,1,2
449,4005,4005,17,Thu,Short Term Visitor,WH,276.95,3,4
487,4005,4005,17,Thu,Inbound Commuter,OH,145.53,0,1
491,4005,4005,17,Thu,Long Term Visitor,OH,31.77,0,1
551,4005,4005,17,Thu,Long Term Visitor,OO,566.05,0,1
970,4005,4005,17,Thu,Inbound Commuter,HO,10.47,0,1
1064,4005,4005,17,Thu,Inbound Commuter,OH,62.69,1,2
1183,4005,4005,17,Thu,Long Term Visitor,HH,17.58,0,1
1469,4005,4005,17,Thu,Long Term Visitor,OH,84.55,2,3
1918,4005,4005,17,Thu,Long Term Visitor,WH,35.1,1,2
2080,4005,4005,17,Thu,Inbound Commuter,OH,61.76,2,3
2188,4005,4005,17,Thu,Short Term Visitor,OO,22139.61,8,9
2197,4005,4005,17,Thu,Short Term Visitor,HO,20795.23,6,7
2198,4005,4005,17,Thu,Short Term Visitor,OO,30577.01,11,12
2199,4005,4005,17,Thu,Short Term Visitor,OH,13055.93,13,14
2200,4005,4005,17,Thu,Short Term Visitor,HW,31416.97,7,8
2201,4005,4005,17,Thu,Short Term Visitor,WH,17743.25,16,17
2202,4005,4005,17,Thu,Short Term Visitor,HH,7526.22,22,23
2235,4005,4005,17,Thu,Short Term Visitor,HW,10423.14,9,10
2236,4005,4005,17,Thu,Short Term Visitor,WH,2994.92,10,11
2237,4005,4005,17,Thu,Short Term Visitor,OO,31734.47,14,15
2255,4005,4005,17,Thu,Short Term Visitor,HH,20638.85,10,11
2256,4005,4005,17,Thu,Short Term Visitor,HH,22712.32,16,17
2283,4005,4005,17,Thu,Short Term Visitor,HW,1200.45,18,19
2284,4005,4005,17,Thu,Short Term Visitor,WH,5660.55,19,20
2288,4005,4005,17,Thu,Short Term Visitor,OO,29679.79,16,17
2305,4005,4005,17,Thu,Long Term Visitor,OO,11844.63,12,13
2308,4005,4005,17,Thu,Short Term Visitor,HH,21497.28,9,10
2325,4005,4005,17,Thu,Short Term Visitor,OW,5846.79,9,10
2326,4005,4005,17,Thu,Short Term Visitor,WO,7126.63,12,13
2327,4005,4005,17,Thu,Short Term Visitor,OW,3062.13,15,16
2328,4005,4005,17,Thu,Short Term Visitor,WW,3925.56,17,18
2329,4005,4005,17,Thu,Short Term Visitor,WO,3246.47,20,21
2330,4005,4005,17,Thu,Short Term Visitor,OO,14764.4,6,7
2335,4005,4005,17,Thu,Short Term Visitor,HO,3135.25,4,5
2336,4005,4005,17,Thu,Short Term Visitor,OW,6435.12,6,7
2337,4005,4005,17,Thu,Short Term Visitor,WO,16052.09,16,17
2338,4005,4005,17,Thu,Short Term Visitor,OO,11758.77,21,22
2339,4005,4005,17,Thu,Short Term Visitor,OW,283.45,22,23
2341,4005,4005,17,Thu,Short Term Visitor,HH,18593.47,14,15
2347,4005,4005,17,Thu,Short Term Visitor,HO,11610.84,13,14
2348,4005,4005,17,Thu,Short Term Visitor,OH,15401.19,15,16
2349,4005,4005,17,Thu,Short Term Visitor,HO,12885.55,17,18
2350,4005,4005,17,Thu,Short Term Visitor,OH,19157.92,20,21
2351,4005,4005,17,Thu,Short Term Visitor,OO,20283.23,19,20
2356,4005,4005,17,Thu,Short Term Visitor,OO,34189.54,15,16
2363,4005,4005,17,Thu,Short Term Visitor,OO,6796.71,5,6
2373,4005,4005,17,Thu,Short Term Visitor,OO,15926.01,20,21
2386,4005,4005,17,Thu,Short Term Visitor,HW,29888.17,6,7
2387,4005,4005,17,Thu,Short Term Visitor,WH,13245.65,15,16
2453,4005,4005,17,Thu,Inbound Commuter,HH,978.64,6,7
2456,4005,4005,17,Thu,Inbound Commuter,HH,685.19,16,17
2459,4005,4005,17,Thu,Short Term Visitor,OO,32429.59,17,18
