Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
386,386,914,903,1,Tue,Long Term Visitor,OO,77.76,6,7
387,387,903,914,1,Tue,Long Term Visitor,OO,411.0,20,21
393,393,514,514,1,Tue,Home Worker,HH,47.43,14,15
394,394,1031,588,1,Tue,Short Term Visitor,OO,15.31,9,10
397,397,775,716,1,Tue,Long Term Visitor,OO,32.29,15,16
404,404,950,950,1,Tue,Home Worker,HH,116.12,13,14
405,405,897,936,1,Tue,Long Term Visitor,OO,58.19,13,14
406,406,936,897,1,Tue,Long Term Visitor,OO,230.96,15,16
411,411,800,916,1,Tue,Long Term Visitor,OO,39.19,17,18
425,425,792,632,1,Tue,Resident Worker,HW,40.48,9,10
426,426,632,668,1,Tue,Resident Worker,WH,40.48,16,17
434,434,773,956,1,Tue,Resident Worker,HW,44.08,7,8
435,435,956,956,1,Tue,Resident Worker,WW,44.08,14,15
436,436,956,772,1,Tue,Resident Worker,WH,44.08,16,17
438,438,906,897,1,Tue,Long Term Visitor,OO,68.97,5,6
439,439,877,1020,1,Tue,Long Term Visitor,OO,30.65,20,21
440,440,934,895,1,Tue,Long Term Visitor,OO,83.86,11,12
450,450,787,787,1,Tue,Home Worker,HH,57.29,13,14
452,452,1070,499,1,Tue,Short Term Visitor,OO,70.17,19,20
453,453,499,1070,1,Tue,Short Term Visitor,OO,70.17,23,24
456,456,977,801,1,Tue,Long Term Visitor,OO,138.63,10,11
458,458,726,726,1,Tue,Resident Worker,WW,58.91,8,9
459,459,726,832,1,Tue,Resident Worker,WO,58.91,15,16
460,460,832,682,1,Tue,Resident Worker,OO,58.91,16,17
465,465,324,304,1,Tue,Resident Worker,HO,39.86,6,7
466,466,304,305,1,Tue,Resident Worker,OO,39.86,7,8
467,467,305,305,1,Tue,Resident Worker,OO,39.86,8,9
468,468,305,304,1,Tue,Resident Worker,OO,39.86,13,14
469,469,304,324,1,Tue,Resident Worker,OH,39.86,17,18
474,474,977,906,1,Tue,Long Term Visitor,OO,167.01,18,19
479,479,903,903,1,Tue,Long Term Visitor,OO,3336.65,13,14
484,484,499,632,1,Tue,Resident Worker,OO,42.77,9,10
485,485,632,499,1,Tue,Resident Worker,OO,47.27,20,21
486,486,499,634,1,Tue,Resident Worker,OO,28.46,20,21
487,487,775,1070,1,Tue,Home Worker,HO,51.29,8,9
488,488,1070,775,1,Tue,Home Worker,OH,51.29,10,11
489,489,775,500,1,Tue,Home Worker,HO,51.29,15,16
490,490,500,888,1,Tue,Home Worker,OO,51.29,16,17
491,491,888,775,1,Tue,Home Worker,OH,51.29,17,18
494,494,788,897,1,Tue,Resident Worker,OW,36.17,6,7
495,495,897,706,1,Tue,Resident Worker,WO,36.17,15,16
496,496,706,510,1,Tue,Resident Worker,OO,36.17,16,17
497,497,510,1082,1,Tue,Resident Worker,OO,36.17,17,18
517,517,342,374,1,Tue,Home Worker,HO,71.43,10,11
518,518,374,474,1,Tue,Home Worker,OO,71.43,12,13
519,519,474,1053,1,Tue,Home Worker,OO,71.43,12,13
520,520,1053,342,1,Tue,Home Worker,OH,71.43,14,15
525,525,839,446,1,Tue,Home Worker,HO,31.53,13,14
526,526,446,839,1,Tue,Home Worker,OH,31.53,18,19
528,528,879,630,1,Tue,Resident Worker,HW,48.93,6,7
529,529,630,775,1,Tue,Resident Worker,WO,48.93,11,12
535,535,1006,469,1,Tue,Home Worker,HO,47.94,7,8
