Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
5395,5395,4004,4004,1,Tue,Short Term Visitor,WO,591.92,13,14
5396,5396,4004,4004,1,Tue,Short Term Visitor,WW,770.46,14,15
5398,5398,4004,4004,1,Tue,Short Term Visitor,OH,1109.71,21,22
5468,5468,4004,4004,1,Tue,Short Term Visitor,WW,894.48,11,12
5469,5469,4004,4004,1,Tue,Short Term Visitor,WW,1058.66,12,13
5470,5470,4004,4004,1,Tue,Short Term Visitor,WW,364.5,17,18
5471,5471,4004,4004,1,Tue,Short Term Visitor,WW,232.39,19,20
5472,5472,4004,4004,1,Tue,Short Term Visitor,WW,85.31,20,21
5863,5863,4004,4004,1,Tue,Short Term Visitor,HH,2702.86,12,13
6114,6114,4004,4004,1,Tue,Short Term Visitor,HO,1967.31,9,10
6115,6115,4004,4004,1,Tue,Short Term Visitor,HH,3176.61,13,14
6116,6116,4004,4004,1,Tue,Short Term Visitor,HO,791.91,16,17
6117,6117,4004,4004,1,Tue,Short Term Visitor,OH,1200.6,17,18
6630,6630,4004,4004,1,Tue,Inbound Commuter,HH,69.02,15,16
6705,6705,4004,4004,1,Tue,Long Term Visitor,HO,50.44,16,17
6706,6706,4004,4004,1,Tue,Long Term Visitor,OH,127.1,18,19
6792,6792,4004,4004,1,Tue,Short Term Visitor,OO,5311.14,8,9
6998,6998,4004,4004,1,Tue,Short Term Visitor,OW,743.88,10,11
6999,6999,4004,4004,1,Tue,Short Term Visitor,WO,744.55,15,16
7000,7000,4004,4004,1,Tue,Short Term Visitor,OW,273.08,16,17
7001,7001,4004,4004,1,Tue,Short Term Visitor,WW,106.25,21,22
7002,7002,4004,4004,1,Tue,Short Term Visitor,WO,148.43,21,22
7030,7030,4004,4004,1,Tue,Short Term Visitor,OW,158.93,5,6
7031,7031,4004,4004,1,Tue,Short Term Visitor,WO,818.03,14,15
7416,7416,4004,4004,1,Tue,Short Term Visitor,HH,2244.62,15,16
7457,7457,4004,4004,1,Tue,Short Term Visitor,HH,2910.78,19,20
7634,7634,4004,4004,1,Tue,Short Term Visitor,OO,1702.72,6,7
8155,8155,4004,4004,1,Tue,Short Term Visitor,OH,435.14,22,23
8299,8299,4004,4004,1,Tue,Short Term Visitor,HH,1846.05,21,22
8313,8313,4004,4004,1,Tue,Short Term Visitor,WH,1190.67,17,18
8330,8330,4004,4004,1,Tue,Outbound Commuter,WO,233.66,15,16
8331,8331,4004,4004,1,Tue,Outbound Commuter,OO,101.58,16,17
8357,8357,4004,4004,1,Tue,Short Term Visitor,OO,4798.96,15,16
8371,8371,4004,4004,1,Tue,Long Term Visitor,OH,126.5,5,6
8381,8381,4004,4004,1,Tue,Short Term Visitor,HO,474.07,19,20
8625,8625,4004,4004,1,Tue,Short Term Visitor,OO,1759.29,21,22
8847,8847,4004,4004,1,Tue,Short Term Visitor,HW,466.47,10,11
8848,8848,4004,4004,1,Tue,Short Term Visitor,WH,280.56,11,12
9047,9047,4004,4004,1,Tue,Resident Worker,OO,97.82,7,8
9154,9154,4004,4004,1,Tue,Short Term Visitor,HW,1716.14,6,7
9763,9763,4004,4004,1,Tue,Short Term Visitor,HO,1807.65,7,8
9770,9770,4004,4004,1,Tue,Short Term Visitor,OH,1232.89,18,19
9875,9875,4004,4004,1,Tue,Inbound Commuter,OO,150.17,8,9
9876,9876,4004,4004,1,Tue,Inbound Commuter,OO,141.19,17,18
10015,10015,4004,4004,1,Tue,Short Term Visitor,WW,561.86,16,17
10016,10016,4004,4004,1,Tue,Short Term Visitor,WO,408.6,18,19
10017,10017,4004,4004,1,Tue,Short Term Visitor,HW,605.01,9,10
10018,10018,4004,4004,1,Tue,Short Term Visitor,HO,207.82,21,22
10084,10084,4004,4004,1,Tue,Short Term Visitor,HW,462.25,5,6
10085,10085,4004,4004,1,Tue,Short Term Visitor,WH,429.14,14,15
10110,10110,4004,4004,1,Tue,Inbound Commuter,OH,28.15,20,21
10181,10181,4004,4004,1,Tue,Short Term Visitor,HW,282.78,11,12
10182,10182,4004,4004,1,Tue,Short Term Visitor,WH,444.74,13,14
10186,10186,4004,4004,1,Tue,Short Term Visitor,HO,761.77,15,16
10367,10367,4004,4004,1,Tue,Short Term Visitor,WW,468.18,8,9
10449,10449,4004,4004,1,Tue,Outbound Commuter,HW,24.39,7,8
10450,10450,4004,4004,1,Tue,Outbound Commuter,WH,24.39,14,15
10554,10554,4004,4004,1,Tue,Short Term Visitor,OH,650.39,11,12
11239,11239,4004,4004,1,Tue,Short Term Visitor,HO,1171.02,14,15
11390,11390,4004,4004,1,Tue,Short Term Visitor,WO,459.31,10,11
11685,11685,4004,4004,1,Tue,Short Term Visitor,WW,696.26,9,10
11686,11686,4004,4004,1,Tue,Short Term Visitor,WO,823.23,17,18
11704,11704,4004,4004,1,Tue,Short Term Visitor,HH,786.35,4,5
12135,12135,4004,4004,1,Tue,Short Term Visitor,OH,1214.8,14,15
12831,12831,4004,4004,1,Tue,Outbound Commuter,OO,165.56,17,18
13004,13004,4004,4004,1,Tue,Short Term Visitor,HO,215.51,20,21
13005,13005,4004,4004,1,Tue,Short Term Visitor,OH,1188.32,20,21
13043,13043,4004,4004,1,Tue,Short Term Visitor,WH,573.75,18,19
13062,13062,4004,4004,1,Tue,Short Term Visitor,OH,518.88,9,10
13141,13141,4004,4004,1,Tue,Inbound Commuter,HH,156.82,7,8
13144,13144,4004,4004,1,Tue,Short Term Visitor,WH,134.34,8,9
13207,13207,4004,4004,1,Tue,Short Term Visitor,WO,246.47,20,21
13295,13295,4004,4004,1,Tue,Short Term Visitor,HO,554.01,18,19
13852,13852,4004,4004,1,Tue,Short Term Visitor,HO,169.59,22,23
14052,14052,4004,4004,1,Tue,Short Term Visitor,HO,1221.41,12,13
14241,14241,4004,4004,1,Tue,Short Term Visitor,HW,142.4,4,5
14242,14242,4004,4004,1,Tue,Short Term Visitor,OW,405.6,13,14
14243,14243,4004,4004,1,Tue,Short Term Visitor,WH,127.38,22,23
14425,14425,4004,4004,1,Tue,Short Term Visitor,OO,779.48,22,23
14759,14759,4004,4004,1,Tue,Short Term Visitor,OW,317.07,15,16
14913,14913,4004,4004,1,Tue,Short Term Visitor,HO,1273.79,11,12
15104,15104,4004,4004,1,Tue,Inbound Commuter,OW,18.94,14,15
15380,15380,4004,4004,1,Tue,Outbound Commuter,WO,107.0,12,13
15406,15406,4004,4004,1,Tue,Outbound Commuter,OO,55.29,19,20
15484,15484,4004,4004,1,Tue,Short Term Visitor,HW,82.32,23,24
15788,15788,4004,4004,1,Tue,Short Term Visitor,OH,979.25,13,14
16036,16036,4004,4004,1,Tue,Short Term Visitor,OH,860.18,10,11
17902,17902,4004,4004,1,Tue,Short Term Visitor,HH,216.78,23,24
18864,18864,4004,4004,1,Tue,Inbound Commuter,HO,54.77,8,9
19042,19042,4004,4004,1,Tue,Long Term Visitor,HH,299.73,6,7
19195,19195,4004,4004,1,Tue,Short Term Visitor,HW,94.59,15,16
19976,19976,4004,4004,1,Tue,Inbound Commuter,OO,149.21,5,6
20060,20060,4004,4004,1,Tue,Short Term Visitor,HW,208.12,12,13
20428,20428,4004,4004,1,Tue,Short Term Visitor,HW,52.7,17,18
20753,20753,4004,4004,1,Tue,Home Worker,OO,90.03,8,9
21474,21474,4004,4004,1,Tue,Long Term Visitor,HO,110.39,6,7
21812,21812,4004,4004,1,Tue,Home Worker,OO,248.25,14,15
21928,21928,4004,4004,1,Tue,Outbound Commuter,WW,251.04,12,13
21998,21998,4004,4004,1,Tue,Long Term Visitor,HO,46.57,7,8
