Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
1314,1314,4001,4001,1,Tue,Short Term Visitor,WW,4391.24,13,14
1315,1315,4001,4001,1,Tue,Short Term Visitor,WO,9961.45,15,16
1334,1334,4001,4001,1,Tue,Short Term Visitor,HO,10047.41,6,7
1335,1335,4001,4001,1,Tue,Short Term Visitor,OH,10200.66,12,13
1397,1397,4001,4001,1,Tue,Short Term Visitor,WH,17351.74,17,18
1407,1407,4001,4001,1,Tue,Short Term Visitor,WW,4352.1,14,15
1473,1473,4001,4001,1,Tue,Short Term Visitor,HO,10800.42,17,18
1488,1488,4001,4001,1,Tue,Long Term Visitor,OO,9859.29,18,19
1512,1512,4001,4001,1,Tue,Short Term Visitor,OH,5776.54,10,11
1564,1564,4001,4001,1,Tue,Short Term Visitor,HW,6562.66,10,11
1565,1565,4001,4001,1,Tue,Short Term Visitor,HW,20473.93,8,9
1566,1566,4001,4001,1,Tue,Short Term Visitor,WH,1176.22,9,10
1576,1576,4001,4001,1,Tue,Short Term Visitor,HH,7829.4,21,22
1587,1587,4001,4001,1,Tue,Inbound Commuter,HO,92.44,8,9
1588,1588,4001,4001,1,Tue,Inbound Commuter,OO,686.5,10,11
1589,1589,4001,4001,1,Tue,Inbound Commuter,OH,248.93,13,14
1590,1590,4001,4001,1,Tue,Inbound Commuter,HO,91.08,13,14
1591,1591,4001,4001,1,Tue,Inbound Commuter,OH,108.94,14,15
1709,1709,4001,4001,1,Tue,Home Worker,OH,166.79,17,18
1712,1712,4001,4001,1,Tue,Outbound Commuter,OO,404.54,11,12
1713,1713,4001,4001,1,Tue,Outbound Commuter,OO,382.04,13,14
1735,1735,4001,4001,1,Tue,Long Term Visitor,OO,12225.22,16,17
1756,1756,4001,4001,1,Tue,Short Term Visitor,OO,22851.2,14,15
1850,1850,4001,4001,1,Tue,Short Term Visitor,OW,4824.64,7,8
1856,1856,4001,4001,1,Tue,Outbound Commuter,OW,310.7,12,13
1894,1894,4001,4001,1,Tue,Long Term Visitor,OO,13706.64,14,15
1911,1911,4001,4001,1,Tue,Short Term Visitor,HO,15947.88,9,10
1925,1925,4001,4001,1,Tue,Short Term Visitor,WH,7070.1,14,15
2143,2143,4001,4001,1,Tue,Short Term Visitor,HW,2581.08,16,17
2144,2144,4001,4001,1,Tue,Short Term Visitor,WH,5833.02,19,20
2174,2174,4001,4001,1,Tue,Short Term Visitor,OO,10624.95,7,8
2222,2222,4001,4001,1,Tue,Short Term Visitor,WW,2519.26,16,17
2294,2294,4001,4001,1,Tue,Long Term Visitor,HO,33.24,9,10
2295,2295,4001,4001,1,Tue,Long Term Visitor,OH,33.24,14,15
2296,2296,4001,4001,1,Tue,Long Term Visitor,HH,243.2,15,16
2316,2316,4001,4001,1,Tue,Inbound Commuter,WO,315.15,15,16
2410,2410,4001,4001,1,Tue,Long Term Visitor,OO,16394.08,10,11
2416,2416,4001,4001,1,Tue,Short Term Visitor,OH,13662.56,14,15
2429,2429,4001,4001,1,Tue,Short Term Visitor,OW,2691.69,6,7
2430,2430,4001,4001,1,Tue,Short Term Visitor,WW,1348.59,7,8
2431,2431,4001,4001,1,Tue,Short Term Visitor,WW,3414.75,15,16
2504,2504,4001,4001,1,Tue,Short Term Visitor,WO,2577.66,9,10
2541,2541,4001,4001,1,Tue,Long Term Visitor,OO,1287.28,5,6
2565,2565,4001,4001,1,Tue,Short Term Visitor,WW,1688.35,17,18
2573,2573,4001,4001,1,Tue,Short Term Visitor,WO,5123.65,12,13
2576,2576,4001,4001,1,Tue,Short Term Visitor,WH,4577.85,20,21
2601,2601,4001,4001,1,Tue,Short Term Visitor,HH,11957.45,6,7
2615,2615,4001,4001,1,Tue,Short Term Visitor,WW,3910.99,9,10
2655,2655,4001,4001,1,Tue,Inbound Commuter,HH,289.57,10,11
2656,2656,4001,4001,1,Tue,Inbound Commuter,HO,258.96,12,13
