TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
507,7239,6719,8,71,12,6,2,58
27,10484,9424,9,94,28,14,13,58
365,1936,2401,0,21,4,6,1,10
150,6887,6791,0,68,16,2,7,57
134,635,801,0,7,0,0,0,5
880,10503,11507,4,111,26,3,2,86
138,490,419,0,4,0,1,0,3
79,1555,1684,0,18,0,0,3,11
114,14164,2392,0,23,8,1,0,22
808,5230,4865,3,38,56,6,0,22
839,3317,3776,1,52,10,1,2,29
217,1985,2152,2,28,1,5,0,17
914,17475,16559,9,120,192,23,8,54
180,3762,2728,1,37,3,0,0,19
1119,4795,4238,0,40,1,0,0,23
452,1826,2945,0,28,4,2,0,11
1147,5813,6598,3,40,92,8,2,38
754,4494,3506,2,40,9,0,0,25
1208,3980,4061,2,44,5,4,3,27
828,1074,1214,0,8,4,0,0,2
1132,9538,9119,4,84,3,4,1,51
488,1403,1613,0,15,2,0,0,13
787,13103,12918,7,199,41,5,7,110
1199,1919,2235,0,29,2,3,1,12
1340,1091,1001,2,9,0,3,0,2
888,33958,33122,26,394,36,5,12,221
73,6928,7135,2,85,4,2,0,49
71,4959,14092,4,78,9,5,10,27
67,7346,8294,7,105,10,6,16,40
559,2473,3532,1,27,0,0,0,21
818,3238,3142,0,32,9,0,1,15
379,1503,1652,0,22,6,0,0,12
923,5313,4305,1,31,42,17,3,10
321,4335,4337,3,42,5,1,0,21
323,10824,10268,1,94,9,4,5,64
718,6638,6171,1,89,27,6,7,41
1143,7694,3580,8,42,32,12,2,20
1010,1904,1866,3,9,14,4,0,3
483,4753,5117,4,74,10,0,1,47
661,3965,4775,2,72,6,1,0,25
130,5004,5390,1,67,10,6,1,32
1130,4615,5376,2,48,5,1,0,41
518,1834,2401,0,29,14,8,5,8
1241,5275,5703,2,69,5,0,2,66
1220,1821,1444,0,19,3,1,0,15
4001,1565952,1560615,282,225,518,728,289,224
1035,2721,3058,0,35,7,6,1,13
705,1404,855,0,14,0,0,0,6
1129,11253,10414,2,98,16,6,2,53
77,4473,3878,0,49,19,2,0,40
672,2806,11517,1,27,0,2,2,17
1250,2224,2620,2,35,1,0,0,15
655,9579,9094,9,134,15,2,3,85
95,7019,7002,3,71,0,0,4,39
1216,4248,4737,5,61,6,4,3,28
7,1035,1274,0,18,2,2,0,3
662,8582,9073,4,98,14,2,0,82
530,654,413,0,7,1,1,0,1
721,4298,4754,0,75,10,9,6,20
899,13886,35714,12,45,229,10,10,31
907,42401,1170,0,4,23,0,0,0
477,6779,7247,1,113,11,5,1,67
1169,2455,184,0,0,0,0,0,0
998,4488,4062,1,58,6,1,1,48
1323,1688,1803,0,21,3,0,0,13
34,3480,3727,1,31,3,3,2,28
163,2004,2134,1,29,2,0,0,16
336,1558,1663,2,13,2,0,0,14
503,8396,4158,7,39,5,10,11,21
1231,2129,2195,3,35,8,4,0,13
598,5289,5601,0,85,6,6,6,36
139,2898,2347,0,25,0,0,1,25
118,6454,7320,2,76,18,8,1,56
226,4808,4634,3,32,7,15,2,21
1302,1363,1426,0,17,0,0,0,21
1226,18874,18400,5,162,11,11,1,83
892,1787,291,0,6,0,1,0,0
1242,2451,12279,0,26,6,0,1,27
408,366,269,0,0,0,0,0,0
199,7995,8036,1,145,13,1,0,89
216,2361,2572,0,26,2,0,2,27
315,4028,4467,4,55,4,0,2,17
