TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
507,6927,6297,10,76,3,4,1,62
27,9547,9340,10,93,32,17,8,57
365,1848,1908,0,20,1,0,0,10
150,6130,5745,2,72,18,5,1,38
1180,2779,6309,1,35,7,6,6,23
880,11587,12347,1,112,26,4,3,72
1184,961,912,0,10,7,0,0,5
79,1261,1822,0,17,1,2,5,6
1321,2601,2150,0,47,0,2,0,19
808,5696,5638,0,37,60,18,0,25
839,3505,4250,2,50,12,5,2,40
217,2196,2577,0,27,7,3,0,24
914,18422,16788,6,103,197,30,2,62
7,1050,1224,0,17,0,0,0,9
1119,3767,4048,2,34,0,0,1,20
452,1287,1087,0,14,2,1,0,9
1297,5694,5623,1,63,8,0,0,48
667,15492,16176,17,325,27,13,8,149
1208,4648,5239,2,50,3,5,2,42
828,1216,2054,0,16,2,0,0,9
1132,10089,10052,3,91,7,3,0,54
488,1748,4053,0,19,0,0,0,19
787,13569,13127,10,190,37,11,9,122
1199,2337,2145,3,26,1,10,1,12
558,1654,9428,1,13,1,0,1,12
888,39689,30889,16,377,47,10,5,222
73,6907,7685,2,96,4,1,0,56
71,7219,15015,12,96,19,8,14,33
67,11848,12766,14,139,9,15,14,82
559,2674,69548,0,28,0,0,0,12
818,63336,3426,0,41,3,5,3,17
379,1239,1080,0,16,2,0,0,9
709,6165,19880,1,67,8,4,4,41
931,13559,14307,5,162,131,16,17,52
718,13661,5207,3,85,13,7,8,32
1143,2444,2947,5,42,22,17,6,14
483,3924,4319,2,64,7,0,7,40
661,4068,4418,1,65,4,1,0,23
127,5433,6089,2,83,11,6,4,39
130,4607,4522,4,50,4,3,1,37
1130,4599,4370,3,31,3,0,0,33
518,2381,84372,2,26,18,16,2,8
1241,5725,5109,1,72,4,0,0,53
909,16119,17483,10,91,216,21,10,45
897,141210,144074,83,549,762,159,75,291
552,2506,2624,1,28,1,0,2,18
725,7815,8089,7,133,15,15,8,50
705,1227,1171,0,13,1,0,0,12
1129,9875,9705,0,98,14,5,3,57
77,4045,3606,0,39,15,10,0,28
1149,10905,10375,6,106,74,11,7,72
1250,2415,2624,3,38,1,0,0,23
989,1231,1506,1,23,0,0,0,16
655,8398,10402,6,147,20,4,2,72
82,7566,7309,6,79,9,5,8,47
1216,5756,5637,0,75,9,8,0,31
662,7695,7093,1,83,8,2,0,56
530,8176,301,0,1,0,0,0,3
721,4474,4658,0,72,9,11,8,17
899,19584,19393,20,58,223,23,20,39
363,62,384,0,1,0,0,0,0
477,7457,7727,3,118,13,3,2,72
1169,725,171,0,0,0,0,0,2
998,4446,4137,0,63,7,0,0,47
1323,2581,2500,4,25,0,0,0,30
1125,372,362,0,6,0,0,0,0
1198,4843,4862,0,68,3,6,6,38
417,313,381,0,1,0,0,0,2
503,4081,9166,7,37,8,8,8,14
1231,3548,2642,3,35,9,4,0,15
598,5611,5688,4,88,5,8,4,30
139,1809,1806,0,20,1,0,0,19
118,6848,6038,5,64,6,5,1,57
226,4241,4616,4,33,9,20,0,24
1302,1263,1410,0,16,0,0,0,17
1226,18557,19158,9,167,24,7,11,89
892,214,126,0,1,0,0,0,0
1242,1945,2194,0,30,2,0,0,27
408,158,2346,0,1,0,0,0,1
199,7777,7716,3,142,17,3,3,78
216,2751,2502,0,30,0,0,0,30
315,3985,11802,1,56,2,5,5,16
644,754,1064,0,12,0,0,0,7
794,6094,6407,2,78,6,3,0,57
385,50,75,0,0,0,0,0,0
796,15081,13541,10,173,90,17,6,76
529,574,901,0,2,4,0,0,2
334,3307,3124,0,31,2,0,0,41
1040,6148,5875,3,82,53,5,0,38
996,154,206,0,1,0,0,0,0
1255,3145,2918,0,24,0,0,0,20
1025,9344,8733,0,17,107,35,0,13
736,818,959,0,16,0,0,0,8
362,1387,759,0,1,2,0,0,11
138,448,1284,0,3,0,0,0,2
809,6271,4994,2,46,48,14,3,20
1338,3660,3736,0,36,2,0,0,19
776,1636,507,0,5,0,6,0,0
104,943,1277,0,12,0,0,1,4
475,1947,1451,0,20,2,2,0,6
754,3469,3020,1,43,1,0,0,22
403,720,989,0,3,1,0,0,2
1038,8436,9400,6,106,68,14,9,32
1202,4061,4063,2,47,3,9,2,18
697,837,1228,0,11,0,0,1,5
16,306,485,0,1,0,0,0,1
326,1078,753,0,10,0,0,0,6
103,4429,393374,0,53,11,5,5,21
1188,5411,5076,5,57,16,7,3,44
1328,775,385,0,0,0,1,3,0
317,6421,1636,1,15,1,0,3,10
1248,1760,2090,0,23,2,0,0,18
208,14126,12883,6,221,11,4,7,103
311,6412,16255,2,69,3,6,2,37
885,1812,1712,0,19,4,1,0,8
322,2638,2315,0,20,0,1,0,17
