TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
1074,6785,1175174,0,97,9,11,8,35
507,7525,6740,14,81,14,5,8,58
1110,645,2513,0,0,7,0,0,4
27,10876,10108,9,106,41,10,11,56
365,1640,1836,0,18,4,0,0,4
150,7369,7691,3,85,36,8,2,42
319,2090,2672,0,15,2,2,2,16
880,12397,11217,2,113,28,4,2,71
138,673,582,0,2,0,0,0,7
79,978,1062,0,14,0,0,1,4
114,2286,2737,0,25,17,4,0,12
808,11069,20459,1,53,165,17,7,26
839,4311,5418,3,54,20,6,2,53
217,2243,2185,3,25,1,3,0,23
914,30673,29884,8,99,337,37,3,73
1326,1540,1650,0,22,0,0,0,14
1119,4032,5189,1,46,12,5,0,18
16,344,1199107,0,0,3,0,0,1
809,9792,9656,2,44,157,9,2,30
667,21531,22321,12,424,29,14,9,236
12,6293,6190,5,66,11,9,5,47
1208,4225,4647,0,54,8,9,2,29
828,1501,2446,0,25,0,1,0,7
1132,12138,11639,5,107,13,2,1,53
488,1748,3623,0,19,5,0,0,8
211,4297,3551,4,43,1,0,0,35
787,12014,12386,6,181,47,8,7,118
1199,19834,2361,1,31,4,4,4,9
558,2091,6426,2,12,0,0,0,14
888,32428,32738,15,370,52,7,5,263
73,7913,8428,5,98,8,2,3,58
433,4737,4302,2,45,7,0,0,24
67,9922,10542,5,121,12,7,16,68
818,2265,2511,1,22,9,0,1,13
379,1536,1621,0,17,5,0,0,16
49,15560,16590,7,199,29,25,28,75
323,11163,11245,4,112,23,8,2,60
718,7310,6504,0,98,23,8,5,38
1143,3856,3791,9,39,61,14,3,9
483,4986,4893,2,74,5,1,2,52
661,3753,4688,1,72,7,1,0,26
130,3565,3657,1,47,6,3,2,24
1130,5544,5643,0,48,5,0,2,31
518,1837,2640,0,27,8,8,6,6
1241,5689,5813,2,89,10,0,0,58
909,33531,32845,9,100,348,29,11,68
4001,1723142,1728412,299,207,762,888,307,193
628,18509,19707,13,244,31,10,6,163
1035,3033,554367,0,40,20,5,2,14
725,6963,8593,7,118,26,20,5,55
705,552,609,0,7,0,0,0,6
1129,10618,9414,5,78,8,9,0,66
77,4077,4054,0,49,17,5,0,33
672,3153,3194,1,37,1,2,2,13
1250,1645,2005,1,42,2,1,0,5
989,2563,878,0,13,4,0,0,9
655,10567,10472,3,152,21,8,9,82
82,6532,6541,6,72,15,6,5,37
1216,5234,5873,0,59,36,7,0,38
7,1106,1583,0,13,4,0,2,10
662,6418,7094,2,100,18,1,0,47
530,664,477,0,8,0,0,0,2
721,5188,5754,1,79,16,6,7,30
899,16300,20595,12,67,198,18,16,32
907,1049,3527,0,3,26,0,0,2
879,11145,11939,2,104,13,0,0,79
439,6156,7017,5,90,11,4,9,23
1292,1950,2017,0,28,4,0,0,14
1323,2251,2132,0,27,5,0,0,15
34,3624,3935,2,32,2,1,4,22
1223,3971,3609,2,33,15,2,0,29
417,328,304,0,0,0,0,0,3
503,5257,4473,5,40,8,9,10,14
1231,2797,2443,0,28,15,5,0,13
598,6762,7230,6,97,26,14,6,37
165,2974,2647,0,28,6,0,0,19
118,6633,6520,3,75,11,1,2,53
226,4737,4362,7,25,19,12,2,15
1226,17982,18357,6,152,29,8,5,77
1242,2531,2631,1,31,6,1,1,27
1327,719,785,0,9,0,0,0,0
199,7826,7357,3,139,10,1,3,77
216,2676,2575,3,25,1,2,0,29
572,1878,2376,1,18,2,5,0,10
315,3527,3216,0,41,9,3,1,11
803,5594,4907,0,23,81,9,1,15
794,5988,5907,2,62,13,1,0,65
1079,1465,1411,4,12,4,0,1,6
1330,2532,2235,0,19,0,0,0,10
796,16533,15183,8,150,122,11,5,101
529,420,1971,0,3,2,1,0,2
334,3020,2835,0,31,6,0,0,26
1040,7418,7821,3,79,71,6,0,67
362,920,943,0,8,1,0,0,6
3,15152,15176,14,118,55,48,30,76
842,9018,9972,1,80,50,15,2,61
1198,5515,21161,1,68,14,6,8,39
