TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
27,10299,8684,9,97,27,10,10,55
365,1059,595881,0,14,0,1,0,9
150,5865,5260,2,68,13,5,3,32
134,939,1300,0,9,0,2,0,9
880,11414,11946,4,108,30,5,3,65
1184,1081,1736,0,15,15,3,0,5
79,1446,315869,0,26,0,1,2,5
1321,1513,1931,0,35,5,2,0,18
808,6433,5082,0,41,56,13,1,19
839,4173,4119,1,49,16,0,2,39
217,1972,1924,0,21,0,1,0,20
914,21932,18231,8,110,207,23,7,55
180,2809,2413,0,29,1,1,0,18
1119,4974,4764,1,44,5,2,0,21
16,728,434,0,3,1,1,0,1
809,6468,5769,1,48,72,12,1,19
667,20471,20946,10,386,28,18,17,214
1208,3966,3700,0,42,9,2,2,24
828,1702,1882,0,23,2,0,0,4
1132,9710,10265,5,88,13,3,1,47
488,1926,1130,0,15,2,0,0,9
787,12585,12652,7,205,34,5,9,118
1199,2102,2215,1,27,3,3,4,12
558,2041,1655,0,14,1,0,0,8
888,32972,32863,20,387,36,11,2,240
73,6112,6249,0,92,2,1,2,40
433,4126,4250,2,48,2,1,0,26
67,10835,11126,6,127,10,17,18,71
818,3675,3740,1,42,11,4,3,13
1349,2379,2899,0,39,0,3,0,11
709,2097,17137,0,35,0,2,3,6
931,15099,31252,1,163,167,27,13,51
773,9871,9926,0,94,10,1,2,59
1143,3705,18650,9,42,35,17,5,15
1010,3959,3853,5,16,36,10,3,13
483,3275,3735,1,55,3,3,2,36
661,3624,3807,2,62,7,2,0,19
968,2389,2617,0,25,4,0,0,13
130,3368,12675,0,49,3,3,0,17
1130,6953,5036,2,46,3,0,0,29
518,2885,6060,2,33,16,20,8,3
1241,4790,5071,3,65,5,0,0,62
1220,1788,1636,0,33,1,0,0,14
4001,1598678,1603331,281,214,640,758,300,208
1035,3703,3572,1,42,16,5,2,17
705,1035,1068,0,14,2,0,0,14
1129,10505,10700,1,95,15,0,0,64
77,3987,3602,1,47,11,5,0,36
672,3304,3599,1,39,1,1,3,15
373,2500,1193,0,16,0,0,0,6
655,9582,10081,6,144,18,9,3,93
82,7959,7769,4,85,13,5,5,42
1216,4531,6244,0,56,10,4,0,40
7,2842,1329,1,21,1,0,0,5
662,6739,6669,1,82,2,1,0,57
530,893,1330,0,6,0,1,0,4
721,4102,4908,3,80,7,6,5,19
899,19060,21381,8,81,202,17,20,37
879,11791,10903,0,111,8,1,0,70
439,4984,5940,3,76,11,9,6,29
998,4954,4979,3,67,11,1,0,47
1323,1913,2149,0,35,1,0,0,19
34,2617,3056,2,29,1,2,4,12
1223,4407,4043,1,40,18,0,0,33
336,1945,1723,2,18,0,0,0,16
503,4778,4298,4,42,5,9,9,16
62,1829,2020,0,22,5,0,3,7
1231,2440,2066,0,30,6,3,2,13
598,5536,6201,4,82,11,11,3,33
139,3419,3357,0,38,2,1,1,33
118,6529,5941,4,64,14,6,0,44
226,4329,4652,2,27,18,20,3,18
1297,6271,6383,0,62,8,3,0,58
1226,19971,20249,9,176,24,5,2,93
892,1969,27,0,0,0,0,0,0
1298,3102,3168,0,34,4,0,3,15
408,1178,465,1,1,0,0,0,2
1269,6287,6345,0,92,15,5,0,45
1335,2530,1783,0,13,10,0,0,16
315,4485,4679,1,52,6,3,2,26
803,3215,2944,2,24,47,2,0,10
794,5396,5629,2,72,9,1,0,60
1058,2398,2357,0,21,2,0,0,15
796,14905,12239,2,146,85,7,4,95
529,6893,546,0,6,0,0,1,1
334,3395,2898,1,31,3,0,0,30
1040,6446,6095,4,72,51,1,1,58
996,313,4045,0,3,0,0,0,0
3,18932,13651,15,126,43,37,23,73
842,8512,9220,2,78,26,11,1,61
736,1082,989,0,21,0,2,0,3
