TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
1074,3196,9119,0,37,6,2,0,24
507,5264,15192,10,47,15,7,0,54
1110,36089,510,0,2,7,0,0,1
27,6120,6147,7,66,21,11,2,35
365,934,2423,0,9,5,0,0,7
150,4246,4766,1,42,30,5,0,35
1180,2451,2068,0,12,19,11,2,10
880,11182,12115,7,113,25,3,0,72
1184,833,1002,0,9,9,1,0,7
79,662,436,0,5,0,0,0,4
1321,1020,759,0,18,2,0,0,8
808,9356,8474,1,53,107,21,0,37
839,11412,3136,0,36,17,3,0,24
217,1831,1906,0,16,5,4,0,15
914,18205,20879,9,78,272,36,1,50
180,2216,21248,4,26,3,0,0,13
1119,3876,4204,0,36,10,0,0,23
16,146,1979,0,0,0,0,0,1
809,8064,7779,4,36,103,23,2,35
667,8841,7540,11,155,20,7,0,115
12,6680,7572,12,52,26,24,1,49
1208,1863,2289,1,18,15,3,0,15
828,904,833,0,8,0,1,0,2
1132,11206,10486,5,71,20,2,0,60
488,1500,2339,0,14,0,1,0,9
787,9224,9325,10,140,41,8,0,81
1199,10777,872,4,8,3,2,0,2
28,458,347,0,2,0,0,1,0
888,26281,32572,18,226,56,24,1,197
73,4193,4561,1,48,2,3,0,27
71,3060,11172,2,40,7,7,0,17
67,3632,3778,8,33,3,0,2,27
610,568,1014,0,8,1,0,0,4
818,5061,1725,0,19,7,1,0,6
379,699,19584,0,7,1,2,0,7
709,4178,3932,2,34,14,10,3,31
931,10321,13678,2,52,199,18,3,40
718,2716,3926,2,53,14,8,0,44
1143,3311,2959,10,26,43,13,1,12
516,3228,12186,0,23,11,2,1,22
661,2932,3398,1,43,3,1,1,16
130,2030,12264,2,25,2,0,2,14
1130,4591,30794,0,39,9,6,0,30
518,560711,514,0,5,2,1,0,1
1298,2613,2999,3,24,8,0,0,19
1220,2050,1932,0,38,5,2,0,7
4001,1212581,1237991,181,381,765,843,179,303
628,11002,27127,10,104,16,10,2,79
552,1463,1275,0,14,1,0,0,13
725,3351,3647,8,57,13,2,0,31
956,12251,661,0,0,11,0,0,0
1129,9189,8656,0,73,21,8,2,43
77,3458,3376,0,32,24,7,0,25
672,3752,4418,0,45,6,4,0,22
1250,3087,3609,1,50,8,1,0,20
655,5958,6161,8,83,10,3,0,57
95,4862,4934,2,37,5,0,1,30
1216,4833,5355,1,51,16,15,0,33
7,477,631,0,8,2,0,0,3
662,5473,5581,0,59,20,2,0,44
530,22741,421,0,6,4,0,0,0
721,115934,1094,0,14,9,0,0,4
899,10745,11586,10,41,131,11,6,30
477,4103,4158,1,53,2,0,0,63
439,1976,2955,2,25,5,3,1,14
998,4030,3984,4,52,15,3,0,34
1323,1918,2105,0,20,3,0,0,21
34,2525,2746,3,21,2,6,0,17
1223,3914,3225,5,26,13,2,0,24
417,215,371,0,0,0,0,0,3
503,4256,4544,6,40,9,12,8,20
62,907,1595,0,4,3,0,1,7
1231,511395,1814,0,26,4,5,2,8
598,2448,2519,1,29,6,6,0,13
165,2850,2458,2,24,7,4,0,11
118,3741,3765,0,38,10,1,0,30
226,4933,5165,4,17,31,28,3,17
1226,17189,16106,7,122,45,6,2,65
892,94,16,0,1,0,0,0,0
1242,1101,1215,2,13,6,0,0,10
881,6660,7252,0,65,24,0,0,38
199,4550,4177,1,69,10,0,0,56
862,5999,6260,3,82,19,7,0,41
315,3216,3227,4,25,8,2,1,17
803,18335,3459,0,18,55,7,1,18
520,188,962,0,2,0,0,0,2
1058,2321,2109,0,18,4,0,0,14
1147,9411,11339,6,36,174,8,5,39
796,10826,11162,6,99,100,15,3,78
529,692,400,0,3,1,0,0,1
334,3372,3332,2,30,2,0,0,34
1040,4197,4235,1,34,44,2,0,35
1067,2713,3140,3,29,6,2,0,30
1255,2548,26954,0,14,1,0,0,15
842,4758,4630,2,35,14,5,0,27
3,8240,7573,4,59,40,28,12,37
736,779,682,0,12,2,0,0,8
138,729,620,0,4,2,0,0,4
1338,2720,3535,0,21,6,0,0,23
104,670,850,0,6,2,0,1,0
475,613,23878,0,7,1,0,0,3
568,3477,4071,2,32,6,2,0,23
403,721,1152,0,7,0,0,0,0
947,2500,2475,0,22,13,7,1,15
1038,23915,2202,1,19,30,0,0,7
749,289,445,0,1,0,0,0,1
776,246,856,0,5,1,1,0,0
644,897,1629,0,15,5,0,0,0
326,556001,1051,1,14,0,2,0,4
103,3222,3016,0,27,15,6,0,12
1188,3337,29211,5,37,10,2,1,38
1328,28071,295,0,1,0,0,0,2
1248,2414,2324,0,27,13,0,0,19
208,7986,8289,6,128,23,2,0,65
311,4646,4978,1,52,8,5,0,29
885,1304,1298,1,11,0,0,0,7
15,930960,475,1,4,1,0,0,2
1145,11838,13026,11,110,126,35,6,90
462,1575,2188,2,16,11,6,0,13
431,703,1098,0,5,0,0,0,2
1011,5295,4681,3,11,53,24,0,1
1006,18088,18027,12,143,34,6,3,95
771,4987,4975,1,37,12,1,0,35
586,1532,1382,0,15,4,1,0,11
544,2061,3864,1,24,3,0,0,13
155,1794,1714,0,13,6,1,0,13
147,3256,3722,1,44,11,0,0,15
1336,676,99831,0,2,3,0,0,3
517,893,942,0,10,4,0,0,5
94,393,628,0,2,0,0,0,3
1000,448,12410,0,1,6,0,0,3
52,1946,2582,1,18,1,0,0,16
363,434,678,0,6,1,2,0,0
761,449,595,0,8,0,0,0,1
1179,545,26777,1,4,4,3,2,4
875,5296,5325,2,38,4,1,0,43
223,642,214,0,0,0,0,0,1
611,1906,1974,2,18,7,1,0,16
212,2391,2407,1,27,7,1,0,22
872,5825,6299,2,70,24,3,0,68
1148,6708,60135,2,33,73,6,0,17
537,1476,173,0,2,0,0,0,0
948,3508,4196,0,24,53,3,0,17
397,262,375,0,4,0,0,0,4
653,442,835,0,5,0,0,0,4
592,675,643,0,4,4,0,0,3
974,4665,193456,3,33,36,13,0,19
204,2581,2581,0,29,4,1,0,24
679,1920,1640,0,12,1,0,0,14
450,1297,1413,0,20,1,0,0,8
4002,393081,394822,54,61,303,407,72,57
1010,4825,4063,0,23,38,8,2,11
442,866,1098,0,11,0,0,0,6
1054,1592,2288,0,17,2,0,0,8
1277,3742,2671,5,1,26,29,1,1
689,753,1363,0,11,9,3,0,7
758,4943,4922,0,62,6,1,0,37
113,164,128,0,1,0,0,0,0
314,1012,597,0,4,3,1,0,2
1162,1450,858,0,1,1,0,0,12
954,3601,3628,0,38,19,2,0,26
1281,18996,12927,6,20,108,124,1,21
906,41085,46132,7,102,402,24,6,54
