TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
507,6942,6678,8,88,12,4,7,60
1110,14936,485,0,4,5,0,0,1
27,21066,10484,8,121,37,13,13,45
365,2211,2395,0,29,2,1,0,11
150,6889,6948,2,70,34,9,3,45
134,1190,858,1,11,0,0,0,4
880,12836,13011,6,113,41,7,3,65
1184,1393,1646,0,11,13,0,0,7
79,1057,1306,0,11,0,0,3,11
114,2363,2190,0,24,10,3,0,13
808,7984,6565,3,43,86,16,0,22
839,4499,4837,0,54,5,6,2,43
217,2841,2753,0,33,6,3,0,23
914,28827,23564,8,111,286,28,9,67
180,2871,2854,0,40,2,0,0,16
1119,5174,5084,1,44,7,0,3,24
809,7196,6885,0,61,92,11,1,24
667,23572,24431,11,406,30,12,19,286
1208,5028,4747,3,58,4,8,1,33
828,1651,2001659,0,27,2,2,0,8
1132,10519,10828,3,97,12,2,0,50
488,2528,2860,0,24,5,0,0,19
787,28917,12741,7,203,32,9,14,114
1199,20011,3321,3,35,11,6,0,17
1340,808,1444,0,8,1,0,0,7
888,31920,31253,18,361,47,3,9,241
73,6014,6708,1,91,0,1,3,39
71,15935,6470,0,81,15,7,14,32
67,12099,12557,8,132,17,18,21,74
760,5973,5766,0,53,13,0,1,40
676,5424,22196,4,83,10,2,5,43
670,2112,2169,0,26,2,0,0,14
49,14266,16261,9,170,44,22,28,85
321,5057,4596,3,38,2,3,8,31
931,15672,15373,2,133,170,13,10,51
718,7064,5956,1,98,14,5,6,40
1143,3921,3686,8,48,38,10,4,16
483,5418,5334,0,94,5,0,5,44
661,9983,3548,0,54,5,0,1,19
130,4337,4893,1,52,4,9,3,36
1130,5404,5803,0,48,4,0,1,40
518,2913,2827,0,30,6,5,3,11
1241,5859,5930,1,73,17,0,0,58
1220,2228,2176,3,36,3,0,0,13
897,226511,180876,85,593,833,119,91,344
1035,3317,3311,0,28,22,5,4,19
1346,2182,8955,0,32,0,2,3,8
725,8049,8719,10,126,20,13,9,67
705,1236,1145,1,16,6,1,0,8
1129,10917,11300,2,99,23,9,1,61
77,4797,4155,1,63,10,2,0,36
672,3316,3079,0,37,1,3,0,12
1250,2360,2476,0,31,8,0,0,21
989,1185444,1409,0,24,6,0,4,14
655,11270,11230,7,160,9,3,7,111
82,7870,7911,7,86,20,6,6,42
1216,4732,4434,0,63,13,4,1,22
7,1315,1384,2,18,3,0,3,7
662,8407,8452,1,98,10,5,2,71
52,2675,2784,0,31,3,0,1,12
721,4670,5838,2,85,12,7,3,25
899,22861,21191,8,57,214,30,19,38
363,992,564,0,4,0,0,0,3
477,8401,8317,0,130,12,1,1,82
998,5146,5237,0,74,16,3,0,46
1323,2228,2213,2,31,3,0,0,12
34,3242,3701,1,30,4,7,2,18
1198,5824,6186,2,87,6,8,8,30
417,1593,524,0,1,0,0,0,6
503,5383,10890,7,30,7,14,9,21
1231,1925,2557,0,26,9,6,0,12
598,6177,7057,5,99,11,12,5,25
165,2934,2740,2,30,8,0,0,15
118,7036,6767,0,70,7,2,0,71
226,4192,11299,7,18,13,18,3,17
1297,6589,6354,2,66,11,1,0,45
1226,19327,19601,10,155,30,10,3,92
892,335,137,0,0,0,0,0,0
1242,13535,3101,0,41,3,2,0,35
660,1087,746,0,12,1,0,0,2
199,7401,7463,4,148,12,1,1,80
1335,1447,1455,1,14,10,0,0,4
315,3374,3399,3,31,8,1,2,25
803,5344,6160,0,22,107,7,3,13
794,7264,7528,1,92,9,4,1,62
1058,2349,2431,1,16,1,1,1,20
908,24384,25171,11,108,302,26,18,61
796,15278,27562,5,190,104,16,5,97
529,523,366,0,1,5,0,0,0
334,3756,3614,0,36,4,1,0,35
1040,6996,6628,0,89,54,3,2,51
698,1991,1617,0,19,0,1,1,16
1229,5098,4233,0,37,4,1,0,25
62,1846,1902,0,13,12,0,2,14
3,15843,16342,13,133,63,42,27,75
891,3622,3401,3,20,18,2,2,23
138,1193,554,0,5,0,0,0,5
1338,3825,4493,0,26,2,0,0,28
104,1121,704,0,14,0,0,0,2
475,1668,3530,2,22,2,1,0,16
754,2468,2612,1,40,1,0,0,14
403,740,871,0,7,0,0,0,2
1038,7022,6802,1,96,50,3,4,24
776,485,1313,0,3,1,0,0,0
644,1386,24421,1,22,2,1,0,7
326,1022,985,5,8,1,0,0,4
103,4602,5285,0,53,11,9,6,17
1188,5689,5691,2,66,12,8,3,52
1328,270,901,0,0,1,3,0,0
317,1866,3165,0,12,2,0,5,8
1248,2669,2821,0,43,6,0,0,30
473,1542,1787,0,24,5,0,0,16
208,13729,13505,5,208,21,4,3,133
311,5925,4822,1,44,5,2,2,36
885,1231,1741,0,17,6,1,0,8
201,6351,6498,0,52,2,5,0,41
462,2341,2692,0,41,8,3,0,16
431,1371,3288,0,7,0,0,0,9
1006,22734,22854,9,207,25,8,4,138
771,5421,5665,1,48,10,1,1,38
586,2387,3714,0,37,0,2,0,19
504,1977,1575,0,11,4,2,1,7
155,4292,3417,0,46,1,4,1,21
564,20297,1561,2,9,0,0,2,13
1336,2583,899,0,5,8,0,0,3
517,2456,1898,0,24,3,3,6,8
94,1850,2903,0,20,2,2,0,18
1000,685,18466,0,8,2,0,0,6
228,1483,1942,0,10,7,5,3,7
1344,2329,3043,0,23,0,0,2,25
