TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
412,1549,14469,0,14,0,0,1,9
744,4003,4113,1,74,7,3,2,22
436,1652,169,0,2,0,0,0,0
486,6181,6243,1,107,16,1,1,55
647,693,1650,0,11,0,1,0,4
108,9541,9864,3,153,7,0,10,52
1257,1986159,123,0,0,0,1,0,0
1133,5499,4804,1,47,12,1,0,32
930,8698,8016,0,45,118,10,1,31
865,6965,7236,1,100,20,6,0,55
873,1479,2125,0,13,12,4,0,2
24,3279,3025,4,31,0,3,0,27
153,1626,1812,0,25,0,0,0,9
220,1514,1420,1,29,0,0,0,3
41,8316,8613,2,71,4,5,1,40
532,1514,1232,1,12,2,1,2,7
957,11471,12249,5,141,54,33,16,52
1106,27256,27182,8,151,333,29,14,70
467,2228,2617,0,28,6,2,0,14
176,3760,4456,0,37,4,3,2,31
958,22405,23331,7,258,130,26,9,107
1115,3280,3300,0,33,10,0,0,23
1320,851,1391,0,6,0,0,0,8
1111,713,1112,0,0,19,0,0,1
1274,806,1087,0,0,14,0,0,4
637,6384,6638,2,76,24,20,13,27
126,10218,10172,3,118,19,7,7,87
878,2133,4115,0,42,27,3,3,7
362,1058,1085,0,10,7,0,0,4
1122,741,7232,0,8,2,0,0,3
657,1362,938,0,10,4,0,0,3
45,3763,4440,1,50,7,4,1,27
724,1607,2157,0,32,7,0,1,8
675,5660,5521,1,73,7,0,1,56
748,7111,7035,2,99,10,11,2,57
894,1127,1661,0,3,36,6,0,1
1305,45,3583,0,0,0,0,0,0
471,3085,3528,0,45,3,0,1,39
917,27873,29453,12,148,346,26,14,86
306,3553,3442,5,21,7,6,2,15
772,15535,15849,8,134,31,9,0,86
414,2578,1983,0,24,0,0,0,14
1247,1614,1475,0,19,4,0,0,7
21,1829,140446,0,15,3,4,3,15
1339,36650,1458,0,6,2,0,0,11
424,10508,10076,2,80,3,0,0,62
759,3016,2792,2,22,2,0,0,23
900,33206,42200,14,103,231,34,25,53
633,15614,14639,5,192,29,5,1,147
586,1867,1690,0,25,2,0,0,15
749,661,711,0,6,0,0,1,2
1080,14,11304,0,0,0,0,0,0
472,1385673,8343,1,139,13,5,5,54
911,15014,16911,2,131,182,15,7,59
92,2170,13477,2,25,2,1,0,17
569,1053,1108,0,11,0,0,0,0
1318,6943,6703,3,101,19,2,0,64
1180,2658,6703,3,31,15,6,3,8
168,1189,12149,0,12,2,0,0,6
166,1724,2018,0,20,1,0,0,11
351,2042,2237,0,15,1,0,0,16
760,4699,4816,0,51,10,0,0,36
670,2055,2163,0,20,3,0,0,17
426,3697,3430,1,33,1,1,0,17
1149,16234,16443,10,118,167,20,6,87
127,5088,5582,1,86,16,0,5,37
157,2730,2941,0,26,5,2,1,19
660,402,427,0,4,0,0,0,0
110,5382,5398,1,54,2,1,0,43
345,3236,2999,1,32,2,0,2,18
890,920,1520,1,10,5,4,2,7
659,6472,6186,0,87,7,7,2,38
1124,1691,1685,0,18,6,0,0,13
1261,13947,15327,9,124,19,6,18,73
311,6528,6911,2,72,10,2,5,50
201,6679,6286,0,53,5,1,2,43
617,1857466,401,0,3,0,0,0,4
1186,1487,1310,0,10,13,0,0,7
739,1866,1986,1,33,3,0,0,19
159,4139,3582,1,38,14,1,0,15
904,56281,50184,14,182,425,36,42,66
552,2099,2662,0,23,4,1,0,21
1141,13773,16451,3,37,238,10,5,17
604,10173,2645,0,34,4,1,0,30
1102,16720,10012,10,89,142,13,10,62
1236,579,336,0,4,0,0,0,0
546,1589,2061,0,21,4,1,0,14
972,24438,25513,4,92,295,67,10,13
920,7822,6009,0,35,94,6,7,21
768,2916,3001,0,21,3,3,0,28
916,24407,26433,5,126,286,16,7,115
468,1762,1882,1,33,1,2,0,7
726,5977,6641,5,113,3,7,6,40
1046,2682,3403,0,34,1,0,1,23
181,2906,2967,0,27,7,0,0,32
677,1505,6532,0,16,3,2,0,5
1001,1862,1717,0,36,5,0,0,5
1007,14836,14843,10,103,53,22,4,65
411,1778,14360,0,23,0,0,0,4
1078,2904,3265,1,27,14,0,0,16
555,2982,3617,1,32,2,0,1,16
978,26753,21918,1,15,287,84,2,19
869,1917,2193,3,16,1,0,0,15
1047,1309,1157,0,8,1,0,1,10
473,2164,2682,0,40,4,0,0,10
799,35290,38673,15,222,441,38,21,83
189,8058,8359,1,115,15,4,3,72
1011,3876,5591,6,9,60,22,6,3
729,3645,3900,1,79,7,2,1,19
59,5823,5649,2,49,9,0,0,38
384,1040,1257,0,13,1,0,1,8
955,6187,6450,1,54,46,13,2,43
1317,4624,4309,4,69,4,0,0,59
1349,1808852,1995,0,35,0,0,0,6
1296,7421,8028,1,72,4,0,0,46
444,883,1245,1,13,0,0,0,3
1174,983,990,0,7,17,7,0,5
144,7551,7988,0,75,16,1,4,54
1200,4758,4554,1,73,8,9,4,22
1165,992,1267,0,13,3,0,0,1
229,6634,7054,10,84,10,8,7,56
693,1661,2165,0,11,4,0,0,18
648,1627,1650,0,16,7,1,0,12
385,5086,151,0,0,0,0,0,1
737,1986,1732581,3,50,4,0,0,15
713,6101,5815,4,80,24,5,11,36
715,2411,2344,0,39,4,3,0,23
355,1249,607,0,7,3,0,0,3
877,5413,7683,0,27,120,25,0,7
1350,274,553,0,8,0,0,0,1
804,8881,20367,4,43,132,7,2,16
833,3749,3971,0,37,1,1,0,24
842,9799,9027,3,71,27,11,3,63
600,2292,2662,0,39,5,1,0,17
6,1105,1468,1,14,3,2,2,6
1306,130331,45,0,0,0,0,0,0
1057,3638,3789,0,46,2,2,0,19
542,297,299,0,3,0,0,0,1
640,1463,17537,1,28,3,1,0,10
1260,2360,2283,0,8,6,4,0,18
821,9782,10519,5,148,28,15,10,55
1,6515,5812,4,52,26,9,2,44
965,3598,4579,2,59,20,12,6,26
883,12006,12633,2,156,48,3,3,105
1214,4199,4543,3,47,13,3,2,34
964,5623,3800,2,33,27,7,5,15
90,5254,5748,3,46,16,4,0,47
536,393,419,0,4,0,0,0,0
1270,13016,12273,4,169,23,0,0,79
1203,5362,5282,3,70,7,5,8,37
33,5141,4898,1,42,4,5,4,34
329,2985,3062,1,28,1,0,2,25
970,13339,5587,0,14,93,20,0,4
178,4632,4473,0,53,8,2,0,37
1019,4619,4377,1,22,41,9,1,32
415,919,930,0,3,0,0,0,8
761,1057,1663,0,18,0,0,0,10
132,1524,2417,0,19,1,0,0,7
1273,3711,3112,1,26,2,1,0,25
1242,2517,3377,0,43,5,0,2,33
1232,20264,19946,7,267,45,13,6,144
227,1814,1766,0,15,0,3,4,19
1275,4953,5250,0,11,57,30,0,1
1181,1590,1879,0,37,5,8,4,21
688,5754,5833,0,71,14,3,2,30
1189,2895,8301,0,22,14,0,1,11
696,1164,2131,0,17,0,0,0,4
206,8774,8365,0,109,14,1,1,78
831,1788,2070,0,16,0,0,0,9
832,16393,16696,8,154,13,6,2,117
188,8639,8988,1,157,11,0,2,53
699,2333,2892,3,23,3,1,0,9
1187,1524,2174,1,12,19,0,0,9
357,919,735,0,7,2,1,0,2
14,1126,9609,0,8,0,0,2,12
